result/io_traces.ns537.oracleGeneral.zst clock2 cache size      157, 2200000 req, miss ratio 0.5044, byte miss ratio 0.5044
result/io_traces.ns537.oracleGeneral.zst clock2 cache size      472, 2200000 req, miss ratio 0.4922, byte miss ratio 0.4922
result/io_traces.ns537.oracleGeneral.zst clock2 cache size     1574, 2200000 req, miss ratio 0.4876, byte miss ratio 0.4876
result/io_traces.ns537.oracleGeneral.zst clock2 cache size     4722, 2200000 req, miss ratio 0.4556, byte miss ratio 0.4556
result/io_traces.ns537.oracleGeneral.zst clock2 cache size    15742, 2200000 req, miss ratio 0.4340, byte miss ratio 0.4340
result/io_traces.ns537.oracleGeneral.zst clock2 cache size    31484, 2200000 req, miss ratio 0.3053, byte miss ratio 0.3053
result/io_traces.ns537.oracleGeneral.zst clock2 cache size    62968, 2200000 req, miss ratio 0.1266, byte miss ratio 0.1266
result/io_traces.ns537.oracleGeneral.zst clock2 cache size   125937, 2200000 req, miss ratio 0.0769, byte miss ratio 0.0769
result/io_traces.ns537.oracleGeneral.zst FIFO cache size      157, 2200000 req, miss ratio 0.5509, byte miss ratio 0.5509
result/io_traces.ns537.oracleGeneral.zst FIFO cache size      472, 2200000 req, miss ratio 0.5118, byte miss ratio 0.5118
result/io_traces.ns537.oracleGeneral.zst FIFO cache size     1574, 2200000 req, miss ratio 0.4955, byte miss ratio 0.4955
result/io_traces.ns537.oracleGeneral.zst FIFO cache size     4722, 2200000 req, miss ratio 0.4713, byte miss ratio 0.4713
result/io_traces.ns537.oracleGeneral.zst FIFO cache size    15742, 2200000 req, miss ratio 0.3774, byte miss ratio 0.3774
result/io_traces.ns537.oracleGeneral.zst FIFO cache size    31484, 2200000 req, miss ratio 0.3177, byte miss ratio 0.3177
result/io_traces.ns537.oracleGeneral.zst FIFO cache size    62968, 2200000 req, miss ratio 0.1661, byte miss ratio 0.1661
result/io_traces.ns537.oracleGeneral.zst FIFO cache size   125937, 2200000 req, miss ratio 0.0870, byte miss ratio 0.0870
result/io_traces.ns537.oracleGeneral.zst S3FIFO-1 cache size      157, 2200000 req, miss ratio 0.4995, byte miss ratio 0.4995
result/io_traces.ns537.oracleGeneral.zst S3FIFO-1 cache size      472, 2200000 req, miss ratio 0.4893, byte miss ratio 0.4893
result/io_traces.ns537.oracleGeneral.zst S3FIFO-1 cache size     1574, 2200000 req, miss ratio 0.4717, byte miss ratio 0.4717
result/io_traces.ns537.oracleGeneral.zst S3FIFO-1 cache size     4722, 2200000 req, miss ratio 0.4377, byte miss ratio 0.4377
result/io_traces.ns537.oracleGeneral.zst S3FIFO-1 cache size    15742, 2200000 req, miss ratio 0.3721, byte miss ratio 0.3721
result/io_traces.ns537.oracleGeneral.zst S3FIFO-1 cache size    31484, 2200000 req, miss ratio 0.2727, byte miss ratio 0.2727
result/io_traces.ns537.oracleGeneral.zst S3FIFO-1 cache size    62968, 2200000 req, miss ratio 0.1205, byte miss ratio 0.1205
result/io_traces.ns537.oracleGeneral.zst S3FIFO-1 cache size   125937, 2200000 req, miss ratio 0.0757, byte miss ratio 0.0757
result/io_traces.ns537.oracleGeneral.zst LeCaR cache size      157, 2200000 req, miss ratio 0.5029, byte miss ratio 0.5029
result/io_traces.ns537.oracleGeneral.zst LeCaR cache size      472, 2200000 req, miss ratio 0.4923, byte miss ratio 0.4923
result/io_traces.ns537.oracleGeneral.zst LeCaR cache size     1574, 2200000 req, miss ratio 0.4872, byte miss ratio 0.4872
result/io_traces.ns537.oracleGeneral.zst LeCaR cache size     4722, 2200000 req, miss ratio 0.4555, byte miss ratio 0.4555
result/io_traces.ns537.oracleGeneral.zst LeCaR cache size    15742, 2200000 req, miss ratio 0.4308, byte miss ratio 0.4308
result/io_traces.ns537.oracleGeneral.zst LeCaR cache size    31484, 2200000 req, miss ratio 0.2631, byte miss ratio 0.2631
result/io_traces.ns537.oracleGeneral.zst LeCaR cache size    62968, 2200000 req, miss ratio 0.1268, byte miss ratio 0.1268
result/io_traces.ns537.oracleGeneral.zst LeCaR cache size   125937, 2200000 req, miss ratio 0.0721, byte miss ratio 0.0721
result/io_traces.ns537.oracleGeneral.zst LRU cache size      157, 2200000 req, miss ratio 0.5056, byte miss ratio 0.5056
result/io_traces.ns537.oracleGeneral.zst LRU cache size      472, 2200000 req, miss ratio 0.4926, byte miss ratio 0.4926
result/io_traces.ns537.oracleGeneral.zst LRU cache size     1574, 2200000 req, miss ratio 0.4880, byte miss ratio 0.4880
result/io_traces.ns537.oracleGeneral.zst LRU cache size     4722, 2200000 req, miss ratio 0.4564, byte miss ratio 0.4564
result/io_traces.ns537.oracleGeneral.zst LRU cache size    15742, 2200000 req, miss ratio 0.4313, byte miss ratio 0.4313
result/io_traces.ns537.oracleGeneral.zst LRU cache size    31484, 2200000 req, miss ratio 0.2622, byte miss ratio 0.2622
result/io_traces.ns537.oracleGeneral.zst LRU cache size    62968, 2200000 req, miss ratio 0.1201, byte miss ratio 0.1201
result/io_traces.ns537.oracleGeneral.zst LRU cache size   125937, 2200000 req, miss ratio 0.0717, byte miss ratio 0.0717
result/io_traces.ns537.oracleGeneral.zst LHD cache size      157, 2200000 req, miss ratio 0.5046, byte miss ratio 0.5046
result/io_traces.ns537.oracleGeneral.zst LHD cache size      472, 2200000 req, miss ratio 0.4928, byte miss ratio 0.4928
result/io_traces.ns537.oracleGeneral.zst LHD cache size     1574, 2200000 req, miss ratio 0.4816, byte miss ratio 0.4816
result/io_traces.ns537.oracleGeneral.zst LHD cache size     4722, 2200000 req, miss ratio 0.4522, byte miss ratio 0.4522
result/io_traces.ns537.oracleGeneral.zst LHD cache size    15742, 2200000 req, miss ratio 0.3737, byte miss ratio 0.3737
result/io_traces.ns537.oracleGeneral.zst LHD cache size    31484, 2200000 req, miss ratio 0.2573, byte miss ratio 0.2573
result/io_traces.ns537.oracleGeneral.zst LHD cache size    62968, 2200000 req, miss ratio 0.1218, byte miss ratio 0.1218
result/io_traces.ns537.oracleGeneral.zst LHD cache size   125937, 2200000 req, miss ratio 0.0748, byte miss ratio 0.0748
result/io_traces.ns537.oracleGeneral.zst LIRS cache size      157, 2200000 req, miss ratio 0.5663, byte miss ratio 0.5663
result/io_traces.ns537.oracleGeneral.zst LIRS cache size      472, 2200000 req, miss ratio 0.5252, byte miss ratio 0.5252
result/io_traces.ns537.oracleGeneral.zst LIRS cache size     1574, 2200000 req, miss ratio 0.4883, byte miss ratio 0.4883
result/io_traces.ns537.oracleGeneral.zst LIRS cache size     4722, 2200000 req, miss ratio 0.4439, byte miss ratio 0.4439
result/io_traces.ns537.oracleGeneral.zst LIRS cache size    15742, 2200000 req, miss ratio 0.3560, byte miss ratio 0.3560
result/io_traces.ns537.oracleGeneral.zst LIRS cache size    31484, 2200000 req, miss ratio 0.2755, byte miss ratio 0.2755
