result/tencentBlock.ns10592.oracleGeneral.zst S3FIFO-1 cache size       54, 1235831 req, miss ratio 0.2635, byte miss ratio 0.2635
result/tencentBlock.ns10592.oracleGeneral.zst S3FIFO-1 cache size      162, 1235831 req, miss ratio 0.1878, byte miss ratio 0.1878
result/tencentBlock.ns10592.oracleGeneral.zst S3FIFO-1 cache size      540, 1235831 req, miss ratio 0.1808, byte miss ratio 0.1808
result/tencentBlock.ns10592.oracleGeneral.zst S3FIFO-1 cache size     1621, 1235831 req, miss ratio 0.1771, byte miss ratio 0.1771
result/tencentBlock.ns10592.oracleGeneral.zst S3FIFO-1 cache size     5406, 1235831 req, miss ratio 0.1670, byte miss ratio 0.1670
result/tencentBlock.ns10592.oracleGeneral.zst S3FIFO-1 cache size    10812, 1235831 req, miss ratio 0.1380, byte miss ratio 0.1380
result/tencentBlock.ns10592.oracleGeneral.zst S3FIFO-1 cache size    21624, 1235831 req, miss ratio 0.0617, byte miss ratio 0.0617
result/tencentBlock.ns10592.oracleGeneral.zst S3FIFO-1 cache size    43248, 1235831 req, miss ratio 0.0443, byte miss ratio 0.0443
result/tencentBlock.ns10592.oracleGeneral.zst LIRS cache size       54, 1235831 req, miss ratio 0.2761, byte miss ratio 0.2761
result/tencentBlock.ns10592.oracleGeneral.zst LIRS cache size      162, 1235831 req, miss ratio 0.2071, byte miss ratio 0.2071
result/tencentBlock.ns10592.oracleGeneral.zst LIRS cache size      540, 1235831 req, miss ratio 0.1847, byte miss ratio 0.1847
result/tencentBlock.ns10592.oracleGeneral.zst LIRS cache size     1621, 1235831 req, miss ratio 0.1779, byte miss ratio 0.1779
result/tencentBlock.ns10592.oracleGeneral.zst LIRS cache size     5406, 1235831 req, miss ratio 0.1512, byte miss ratio 0.1512
result/tencentBlock.ns10592.oracleGeneral.zst LIRS cache size    10812, 1235831 req, miss ratio 0.1214, byte miss ratio 0.1214
result/tencentBlock.ns10592.oracleGeneral.zst LIRS cache size    21624, 1235831 req, miss ratio 0.0565, byte miss ratio 0.0565
result/tencentBlock.ns10592.oracleGeneral.zst LIRS cache size    43248, 1235831 req, miss ratio 0.0443, byte miss ratio 0.0443
result/tencentBlock.ns10592.oracleGeneral.zst ARC cache size       54, 1235831 req, miss ratio 0.2591, byte miss ratio 0.2591
result/tencentBlock.ns10592.oracleGeneral.zst ARC cache size      162, 1235831 req, miss ratio 0.1879, byte miss ratio 0.1879
result/tencentBlock.ns10592.oracleGeneral.zst ARC cache size      540, 1235831 req, miss ratio 0.1812, byte miss ratio 0.1812
result/tencentBlock.ns10592.oracleGeneral.zst ARC cache size     1621, 1235831 req, miss ratio 0.1778, byte miss ratio 0.1778
result/tencentBlock.ns10592.oracleGeneral.zst ARC cache size     5406, 1235831 req, miss ratio 0.1651, byte miss ratio 0.1651
result/tencentBlock.ns10592.oracleGeneral.zst ARC cache size    10812, 1235831 req, miss ratio 0.1427, byte miss ratio 0.1427
result/tencentBlock.ns10592.oracleGeneral.zst ARC cache size    21624, 1235831 req, miss ratio 0.0576, byte miss ratio 0.0576
result/tencentBlock.ns10592.oracleGeneral.zst ARC cache size    43248, 1235831 req, miss ratio 0.0443, byte miss ratio 0.0443
result/tencentBlock.ns10592.oracleGeneral.zst LeCaR cache size       54, 1235831 req, miss ratio 0.2701, byte miss ratio 0.2701
result/tencentBlock.ns10592.oracleGeneral.zst LeCaR cache size      162, 1235831 req, miss ratio 0.1979, byte miss ratio 0.1979
result/tencentBlock.ns10592.oracleGeneral.zst LeCaR cache size      540, 1235831 req, miss ratio 0.1842, byte miss ratio 0.1842
result/tencentBlock.ns10592.oracleGeneral.zst LeCaR cache size     1621, 1235831 req, miss ratio 0.1791, byte miss ratio 0.1791
