result/tencentBlock.ns11753.oracleGeneral.zst FIFO cache size       54, 1573928 req, miss ratio 0.3500, byte miss ratio 0.3500
result/tencentBlock.ns11753.oracleGeneral.zst FIFO cache size      163, 1573928 req, miss ratio 0.2048, byte miss ratio 0.2048
result/tencentBlock.ns11753.oracleGeneral.zst FIFO cache size      545, 1573928 req, miss ratio 0.1534, byte miss ratio 0.1534
result/tencentBlock.ns11753.oracleGeneral.zst FIFO cache size     1635, 1573928 req, miss ratio 0.1310, byte miss ratio 0.1310
result/tencentBlock.ns11753.oracleGeneral.zst FIFO cache size     5452, 1573928 req, miss ratio 0.1026, byte miss ratio 0.1026
result/tencentBlock.ns11753.oracleGeneral.zst FIFO cache size    10904, 1573928 req, miss ratio 0.0886, byte miss ratio 0.0886
result/tencentBlock.ns11753.oracleGeneral.zst FIFO cache size    21808, 1573928 req, miss ratio 0.0600, byte miss ratio 0.0600
result/tencentBlock.ns11753.oracleGeneral.zst FIFO cache size    43616, 1573928 req, miss ratio 0.0408, byte miss ratio 0.0408
result/tencentBlock.ns11753.oracleGeneral.zst LeCaR cache size       54, 1573928 req, miss ratio 0.2474, byte miss ratio 0.2474
result/tencentBlock.ns11753.oracleGeneral.zst LeCaR cache size      163, 1573928 req, miss ratio 0.1566, byte miss ratio 0.1566
result/tencentBlock.ns11753.oracleGeneral.zst LeCaR cache size      545, 1573928 req, miss ratio 0.1337, byte miss ratio 0.1337
result/tencentBlock.ns11753.oracleGeneral.zst LeCaR cache size     1635, 1573928 req, miss ratio 0.1181, byte miss ratio 0.1181
result/tencentBlock.ns11753.oracleGeneral.zst LeCaR cache size     5452, 1573928 req, miss ratio 0.0918, byte miss ratio 0.0918
result/tencentBlock.ns11753.oracleGeneral.zst LeCaR cache size    10904, 1573928 req, miss ratio 0.0799, byte miss ratio 0.0799
result/tencentBlock.ns11753.oracleGeneral.zst LeCaR cache size    21808, 1573928 req, miss ratio 0.0524, byte miss ratio 0.0524
result/tencentBlock.ns11753.oracleGeneral.zst LeCaR cache size    43616, 1573928 req, miss ratio 0.0352, byte miss ratio 0.0352
result/tencentBlock.ns11753.oracleGeneral.zst clock2 cache size       54, 1573928 req, miss ratio 0.3047, byte miss ratio 0.3047
result/tencentBlock.ns11753.oracleGeneral.zst clock2 cache size      163, 1573928 req, miss ratio 0.1650, byte miss ratio 0.1650
result/tencentBlock.ns11753.oracleGeneral.zst clock2 cache size      545, 1573928 req, miss ratio 0.1357, byte miss ratio 0.1357
result/tencentBlock.ns11753.oracleGeneral.zst clock2 cache size     1635, 1573928 req, miss ratio 0.1223, byte miss ratio 0.1223
result/tencentBlock.ns11753.oracleGeneral.zst clock2 cache size     5452, 1573928 req, miss ratio 0.1068, byte miss ratio 0.1068
result/tencentBlock.ns11753.oracleGeneral.zst clock2 cache size    10904, 1573928 req, miss ratio 0.0854, byte miss ratio 0.0854
result/tencentBlock.ns11753.oracleGeneral.zst clock2 cache size    21808, 1573928 req, miss ratio 0.0642, byte miss ratio 0.0642
result/tencentBlock.ns11753.oracleGeneral.zst clock2 cache size    43616, 1573928 req, miss ratio 0.0375, byte miss ratio 0.0375
result/tencentBlock.ns11753.oracleGeneral.zst ARC cache size       54, 1573928 req, miss ratio 0.2099, byte miss ratio 0.2099
result/tencentBlock.ns11753.oracleGeneral.zst ARC cache size      163, 1573928 req, miss ratio 0.1479, byte miss ratio 0.1479
result/tencentBlock.ns11753.oracleGeneral.zst ARC cache size      545, 1573928 req, miss ratio 0.1279, byte miss ratio 0.1279
result/tencentBlock.ns11753.oracleGeneral.zst ARC cache size     1635, 1573928 req, miss ratio 0.1111, byte miss ratio 0.1111
result/tencentBlock.ns11753.oracleGeneral.zst ARC cache size     5452, 1573928 req, miss ratio 0.0924, byte miss ratio 0.0924
result/tencentBlock.ns11753.oracleGeneral.zst ARC cache size    10904, 1573928 req, miss ratio 0.0801, byte miss ratio 0.0801
result/tencentBlock.ns11753.oracleGeneral.zst ARC cache size    21808, 1573928 req, miss ratio 0.0578, byte miss ratio 0.0578
result/tencentBlock.ns11753.oracleGeneral.zst ARC cache size    43616, 1573928 req, miss ratio 0.0356, byte miss ratio 0.0356
