result/tencentBlock.ns12248.oracleGeneral.zst LHD cache size       68, 2458306 req, miss ratio 0.3502, byte miss ratio 0.3502
result/tencentBlock.ns12248.oracleGeneral.zst LHD cache size      204, 2458306 req, miss ratio 0.2104, byte miss ratio 0.2104
result/tencentBlock.ns12248.oracleGeneral.zst LHD cache size      681, 2458306 req, miss ratio 0.1655, byte miss ratio 0.1655
result/tencentBlock.ns12248.oracleGeneral.zst LHD cache size     2044, 2458306 req, miss ratio 0.1365, byte miss ratio 0.1365
result/tencentBlock.ns12248.oracleGeneral.zst LHD cache size     6815, 2458306 req, miss ratio 0.1068, byte miss ratio 0.1068
result/tencentBlock.ns12248.oracleGeneral.zst LHD cache size    13630, 2458306 req, miss ratio 0.0880, byte miss ratio 0.0880
result/tencentBlock.ns12248.oracleGeneral.zst LHD cache size    27261, 2458306 req, miss ratio 0.0573, byte miss ratio 0.0573
result/tencentBlock.ns12248.oracleGeneral.zst LHD cache size    54523, 2458306 req, miss ratio 0.0299, byte miss ratio 0.0299
result/tencentBlock.ns12248.oracleGeneral.zst FIFO cache size       68, 2458306 req, miss ratio 0.4187, byte miss ratio 0.4187
result/tencentBlock.ns12248.oracleGeneral.zst FIFO cache size      204, 2458306 req, miss ratio 0.2658, byte miss ratio 0.2658
result/tencentBlock.ns12248.oracleGeneral.zst FIFO cache size      681, 2458306 req, miss ratio 0.1914, byte miss ratio 0.1914
result/tencentBlock.ns12248.oracleGeneral.zst FIFO cache size     2044, 2458306 req, miss ratio 0.1562, byte miss ratio 0.1562
result/tencentBlock.ns12248.oracleGeneral.zst FIFO cache size     6815, 2458306 req, miss ratio 0.1236, byte miss ratio 0.1236
result/tencentBlock.ns12248.oracleGeneral.zst FIFO cache size    13630, 2458306 req, miss ratio 0.0993, byte miss ratio 0.0993
result/tencentBlock.ns12248.oracleGeneral.zst FIFO cache size    27261, 2458306 req, miss ratio 0.0680, byte miss ratio 0.0680
result/tencentBlock.ns12248.oracleGeneral.zst FIFO cache size    54523, 2458306 req, miss ratio 0.0336, byte miss ratio 0.0336
result/tencentBlock.ns12248.oracleGeneral.zst S3FIFO-1 cache size       68, 2458306 req, miss ratio 0.2955, byte miss ratio 0.2955
result/tencentBlock.ns12248.oracleGeneral.zst S3FIFO-1 cache size      204, 2458306 req, miss ratio 0.2035, byte miss ratio 0.2035
result/tencentBlock.ns12248.oracleGeneral.zst S3FIFO-1 cache size      681, 2458306 req, miss ratio 0.1530, byte miss ratio 0.1530
result/tencentBlock.ns12248.oracleGeneral.zst S3FIFO-1 cache size     2044, 2458306 req, miss ratio 0.1260, byte miss ratio 0.1260
result/tencentBlock.ns12248.oracleGeneral.zst S3FIFO-1 cache size     6815, 2458306 req, miss ratio 0.1002, byte miss ratio 0.1002
result/tencentBlock.ns12248.oracleGeneral.zst S3FIFO-1 cache size    13630, 2458306 req, miss ratio 0.0805, byte miss ratio 0.0805
result/tencentBlock.ns12248.oracleGeneral.zst S3FIFO-1 cache size    27261, 2458306 req, miss ratio 0.0541, byte miss ratio 0.0541
result/tencentBlock.ns12248.oracleGeneral.zst S3FIFO-1 cache size    54523, 2458306 req, miss ratio 0.0288, byte miss ratio 0.0288
result/tencentBlock.ns12248.oracleGeneral.zst Cacheus cache size       68, 2458306 req, miss ratio 0.2914, byte miss ratio 0.2914
result/tencentBlock.ns12248.oracleGeneral.zst Cacheus cache size      204, 2458306 req, miss ratio 0.2182, byte miss ratio 0.2182
result/tencentBlock.ns12248.oracleGeneral.zst Cacheus cache size      681, 2458306 req, miss ratio 0.1575, byte miss ratio 0.1575
result/tencentBlock.ns12248.oracleGeneral.zst Cacheus cache size     2044, 2458306 req, miss ratio 0.1348, byte miss ratio 0.1348
result/tencentBlock.ns12248.oracleGeneral.zst Cacheus cache size     6815, 2458306 req, miss ratio 0.1079, byte miss ratio 0.1079
result/tencentBlock.ns12248.oracleGeneral.zst Cacheus cache size    13630, 2458306 req, miss ratio 0.0871, byte miss ratio 0.0871
result/tencentBlock.ns12248.oracleGeneral.zst Cacheus cache size    27261, 2458306 req, miss ratio 0.0564, byte miss ratio 0.0564
result/tencentBlock.ns12248.oracleGeneral.zst Cacheus cache size    54523, 2458306 req, miss ratio 0.0289, byte miss ratio 0.0289
result/tencentBlock.ns12248.oracleGeneral.zst LIRS cache size       68, 2458306 req, miss ratio 0.2883, byte miss ratio 0.2883
result/tencentBlock.ns12248.oracleGeneral.zst LIRS cache size      204, 2458306 req, miss ratio 0.2118, byte miss ratio 0.2118
result/tencentBlock.ns12248.oracleGeneral.zst LIRS cache size      681, 2458306 req, miss ratio 0.1626, byte miss ratio 0.1626
result/tencentBlock.ns12248.oracleGeneral.zst LIRS cache size     2044, 2458306 req, miss ratio 0.1274, byte miss ratio 0.1274
result/tencentBlock.ns12248.oracleGeneral.zst LIRS cache size     6815, 2458306 req, miss ratio 0.1041, byte miss ratio 0.1041
result/tencentBlock.ns12248.oracleGeneral.zst LIRS cache size    13630, 2458306 req, miss ratio 0.0851, byte miss ratio 0.0851
result/tencentBlock.ns12248.oracleGeneral.zst LIRS cache size    27261, 2458306 req, miss ratio 0.0529, byte miss ratio 0.0529
result/tencentBlock.ns12248.oracleGeneral.zst LIRS cache size    54523, 2458306 req, miss ratio 0.0294, byte miss ratio 0.0294
result/tencentBlock.ns12248.oracleGeneral.zst ARC cache size       68, 2458306 req, miss ratio 0.2854, byte miss ratio 0.2854
result/tencentBlock.ns12248.oracleGeneral.zst ARC cache size      204, 2458306 req, miss ratio 0.2075, byte miss ratio 0.2075
result/tencentBlock.ns12248.oracleGeneral.zst ARC cache size      681, 2458306 req, miss ratio 0.1540, byte miss ratio 0.1540
result/tencentBlock.ns12248.oracleGeneral.zst ARC cache size     2044, 2458306 req, miss ratio 0.1257, byte miss ratio 0.1257
result/tencentBlock.ns12248.oracleGeneral.zst ARC cache size     6815, 2458306 req, miss ratio 0.1031, byte miss ratio 0.1031
result/tencentBlock.ns12248.oracleGeneral.zst ARC cache size    13630, 2458306 req, miss ratio 0.0879, byte miss ratio 0.0879
result/tencentBlock.ns12248.oracleGeneral.zst ARC cache size    27261, 2458306 req, miss ratio 0.0572, byte miss ratio 0.0572
result/tencentBlock.ns12248.oracleGeneral.zst ARC cache size    54523, 2458306 req, miss ratio 0.0287, byte miss ratio 0.0287
result/tencentBlock.ns12248.oracleGeneral.zst Clock cache size       68, 2458306 req, miss ratio 0.3512, byte miss ratio 0.3512
result/tencentBlock.ns12248.oracleGeneral.zst Clock cache size      204, 2458306 req, miss ratio 0.2243, byte miss ratio 0.2243
result/tencentBlock.ns12248.oracleGeneral.zst Clock cache size      681, 2458306 req, miss ratio 0.1727, byte miss ratio 0.1727
result/tencentBlock.ns12248.oracleGeneral.zst Clock cache size     2044, 2458306 req, miss ratio 0.1398, byte miss ratio 0.1398
