result/tencentBlock.ns13494.oracleGeneral.zst ARC cache size    16487, 68526267 req, miss ratio 0.5581, byte miss ratio 0.5581
result/tencentBlock.ns13494.oracleGeneral.zst ARC cache size    49463, 68526267 req, miss ratio 0.4112, byte miss ratio 0.4112
result/tencentBlock.ns13494.oracleGeneral.zst ARC cache size   164878, 68526267 req, miss ratio 0.3483, byte miss ratio 0.3483
result/tencentBlock.ns13494.oracleGeneral.zst ARC cache size   494635, 68526267 req, miss ratio 0.3237, byte miss ratio 0.3237
result/tencentBlock.ns13494.oracleGeneral.zst ARC cache size  1648784, 68526267 req, miss ratio 0.3066, byte miss ratio 0.3066
result/tencentBlock.ns13494.oracleGeneral.zst ARC cache size  3297569, 68526267 req, miss ratio 0.2925, byte miss ratio 0.2925
result/tencentBlock.ns13494.oracleGeneral.zst ARC cache size  6595138, 68526267 req, miss ratio 0.2767, byte miss ratio 0.2767
result/tencentBlock.ns13494.oracleGeneral.zst ARC cache size 13190276, 68526267 req, miss ratio 0.2420, byte miss ratio 0.2420
result/tencentBlock.ns13494.oracleGeneral.zst LHD cache size    16487, 68526267 req, miss ratio 0.5902, byte miss ratio 0.5902
result/tencentBlock.ns13494.oracleGeneral.zst LHD cache size    49463, 68526267 req, miss ratio 0.4319, byte miss ratio 0.4319
result/tencentBlock.ns13494.oracleGeneral.zst LHD cache size   164878, 68526267 req, miss ratio 0.3536, byte miss ratio 0.3536
result/tencentBlock.ns13494.oracleGeneral.zst LHD cache size   494635, 68526267 req, miss ratio 0.3273, byte miss ratio 0.3273
result/tencentBlock.ns13494.oracleGeneral.zst LHD cache size  1648784, 68526267 req, miss ratio 0.3123, byte miss ratio 0.3123
result/tencentBlock.ns13494.oracleGeneral.zst LHD cache size  3297569, 68526267 req, miss ratio 0.2968, byte miss ratio 0.2968
result/tencentBlock.ns13494.oracleGeneral.zst LHD cache size  6595138, 68526267 req, miss ratio 0.2692, byte miss ratio 0.2692
result/tencentBlock.ns13494.oracleGeneral.zst LHD cache size 13190276, 68526267 req, miss ratio 0.2427, byte miss ratio 0.2427
result/tencentBlock.ns13494.oracleGeneral.zst Clock cache size    16487, 68526267 req, miss ratio 0.6375, byte miss ratio 0.6375
result/tencentBlock.ns13494.oracleGeneral.zst Clock cache size    49463, 68526267 req, miss ratio 0.4588, byte miss ratio 0.4588
result/tencentBlock.ns13494.oracleGeneral.zst Clock cache size   164878, 68526267 req, miss ratio 0.3582, byte miss ratio 0.3582
result/tencentBlock.ns13494.oracleGeneral.zst Clock cache size   494635, 68526267 req, miss ratio 0.3294, byte miss ratio 0.3294
result/tencentBlock.ns13494.oracleGeneral.zst Clock cache size  1648784, 68526267 req, miss ratio 0.3101, byte miss ratio 0.3101
result/tencentBlock.ns13494.oracleGeneral.zst Clock cache size  3297569, 68526267 req, miss ratio 0.2992, byte miss ratio 0.2992
result/tencentBlock.ns13494.oracleGeneral.zst Clock cache size  6595138, 68526267 req, miss ratio 0.2769, byte miss ratio 0.2769
result/tencentBlock.ns13494.oracleGeneral.zst Clock cache size 13190276, 68526267 req, miss ratio 0.2420, byte miss ratio 0.2420
result/tencentBlock.ns13494.oracleGeneral.zst LRU cache size    16487, 68526267 req, miss ratio 0.6538, byte miss ratio 0.6538
result/tencentBlock.ns13494.oracleGeneral.zst LRU cache size    49463, 68526267 req, miss ratio 0.4718, byte miss ratio 0.4718
result/tencentBlock.ns13494.oracleGeneral.zst LRU cache size   164878, 68526267 req, miss ratio 0.3638, byte miss ratio 0.3638
result/tencentBlock.ns13494.oracleGeneral.zst LRU cache size   494635, 68526267 req, miss ratio 0.3308, byte miss ratio 0.3308
result/tencentBlock.ns13494.oracleGeneral.zst LRU cache size  1648784, 68526267 req, miss ratio 0.3122, byte miss ratio 0.3122
result/tencentBlock.ns13494.oracleGeneral.zst LRU cache size  3297569, 68526267 req, miss ratio 0.3006, byte miss ratio 0.3006
result/tencentBlock.ns13494.oracleGeneral.zst LRU cache size  6595138, 68526267 req, miss ratio 0.2750, byte miss ratio 0.2750
result/tencentBlock.ns13494.oracleGeneral.zst LRU cache size 13190276, 68526267 req, miss ratio 0.2421, byte miss ratio 0.2421
result/tencentBlock.ns13494.oracleGeneral.zst clock2 cache size    16487, 68526267 req, miss ratio 0.6238, byte miss ratio 0.6238
result/tencentBlock.ns13494.oracleGeneral.zst clock2 cache size    49463, 68526267 req, miss ratio 0.4468, byte miss ratio 0.4468
