result/tencentBlock.ns14918.oracleGeneral.zst clock2 cache size       95, 2373929 req, miss ratio 0.2745, byte miss ratio 0.2745
result/tencentBlock.ns14918.oracleGeneral.zst clock2 cache size      285, 2373929 req, miss ratio 0.2096, byte miss ratio 0.2096
result/tencentBlock.ns14918.oracleGeneral.zst clock2 cache size      953, 2373929 req, miss ratio 0.1876, byte miss ratio 0.1876
result/tencentBlock.ns14918.oracleGeneral.zst clock2 cache size     2859, 2373929 req, miss ratio 0.1739, byte miss ratio 0.1739
result/tencentBlock.ns14918.oracleGeneral.zst clock2 cache size     9531, 2373929 req, miss ratio 0.1204, byte miss ratio 0.1204
result/tencentBlock.ns14918.oracleGeneral.zst clock2 cache size    19063, 2373929 req, miss ratio 0.0875, byte miss ratio 0.0875
result/tencentBlock.ns14918.oracleGeneral.zst clock2 cache size    38127, 2373929 req, miss ratio 0.0557, byte miss ratio 0.0557
result/tencentBlock.ns14918.oracleGeneral.zst clock2 cache size    76255, 2373929 req, miss ratio 0.0443, byte miss ratio 0.0443
result/tencentBlock.ns14918.oracleGeneral.zst S3FIFO-1 cache size       95, 2373929 req, miss ratio 0.2506, byte miss ratio 0.2506
result/tencentBlock.ns14918.oracleGeneral.zst S3FIFO-1 cache size      285, 2373929 req, miss ratio 0.2081, byte miss ratio 0.2081
result/tencentBlock.ns14918.oracleGeneral.zst S3FIFO-1 cache size      953, 2373929 req, miss ratio 0.1850, byte miss ratio 0.1850
result/tencentBlock.ns14918.oracleGeneral.zst S3FIFO-1 cache size     2859, 2373929 req, miss ratio 0.1373, byte miss ratio 0.1373
result/tencentBlock.ns14918.oracleGeneral.zst S3FIFO-1 cache size     9531, 2373929 req, miss ratio 0.1116, byte miss ratio 0.1116
result/tencentBlock.ns14918.oracleGeneral.zst S3FIFO-1 cache size    19063, 2373929 req, miss ratio 0.0824, byte miss ratio 0.0824
result/tencentBlock.ns14918.oracleGeneral.zst S3FIFO-1 cache size    38127, 2373929 req, miss ratio 0.0517, byte miss ratio 0.0517
result/tencentBlock.ns14918.oracleGeneral.zst S3FIFO-1 cache size    76255, 2373929 req, miss ratio 0.0443, byte miss ratio 0.0443
result/tencentBlock.ns14918.oracleGeneral.zst LIRS cache size       95, 2373929 req, miss ratio 0.2475, byte miss ratio 0.2475
result/tencentBlock.ns14918.oracleGeneral.zst LIRS cache size      285, 2373929 req, miss ratio 0.2194, byte miss ratio 0.2194
result/tencentBlock.ns14918.oracleGeneral.zst LIRS cache size      953, 2373929 req, miss ratio 0.2024, byte miss ratio 0.2024
result/tencentBlock.ns14918.oracleGeneral.zst LIRS cache size     2859, 2373929 req, miss ratio 0.1390, byte miss ratio 0.1390
result/tencentBlock.ns14918.oracleGeneral.zst LIRS cache size     9531, 2373929 req, miss ratio 0.1082, byte miss ratio 0.1082
result/tencentBlock.ns14918.oracleGeneral.zst LIRS cache size    19063, 2373929 req, miss ratio 0.0832, byte miss ratio 0.0832
result/tencentBlock.ns14918.oracleGeneral.zst LIRS cache size    38127, 2373929 req, miss ratio 0.0526, byte miss ratio 0.0526
result/tencentBlock.ns14918.oracleGeneral.zst LIRS cache size    76255, 2373929 req, miss ratio 0.0407, byte miss ratio 0.0407
result/tencentBlock.ns14918.oracleGeneral.zst FIFO cache size       95, 2373929 req, miss ratio 0.3298, byte miss ratio 0.3298
result/tencentBlock.ns14918.oracleGeneral.zst FIFO cache size      285, 2373929 req, miss ratio 0.2422, byte miss ratio 0.2422
result/tencentBlock.ns14918.oracleGeneral.zst FIFO cache size      953, 2373929 req, miss ratio 0.2003, byte miss ratio 0.2003
result/tencentBlock.ns14918.oracleGeneral.zst FIFO cache size     2859, 2373929 req, miss ratio 0.1770, byte miss ratio 0.1770
result/tencentBlock.ns14918.oracleGeneral.zst FIFO cache size     9531, 2373929 req, miss ratio 0.1305, byte miss ratio 0.1305
result/tencentBlock.ns14918.oracleGeneral.zst FIFO cache size    19063, 2373929 req, miss ratio 0.0921, byte miss ratio 0.0921
result/tencentBlock.ns14918.oracleGeneral.zst FIFO cache size    38127, 2373929 req, miss ratio 0.0669, byte miss ratio 0.0669
result/tencentBlock.ns14918.oracleGeneral.zst FIFO cache size    76255, 2373929 req, miss ratio 0.0448, byte miss ratio 0.0448
result/tencentBlock.ns14918.oracleGeneral.zst LRU cache size       95, 2373929 req, miss ratio 0.2804, byte miss ratio 0.2804
result/tencentBlock.ns14918.oracleGeneral.zst LRU cache size      285, 2373929 req, miss ratio 0.2125, byte miss ratio 0.2125
result/tencentBlock.ns14918.oracleGeneral.zst LRU cache size      953, 2373929 req, miss ratio 0.1890, byte miss ratio 0.1890
result/tencentBlock.ns14918.oracleGeneral.zst LRU cache size     2859, 2373929 req, miss ratio 0.1731, byte miss ratio 0.1731
result/tencentBlock.ns14918.oracleGeneral.zst LRU cache size     9531, 2373929 req, miss ratio 0.1178, byte miss ratio 0.1178
result/tencentBlock.ns14918.oracleGeneral.zst LRU cache size    19063, 2373929 req, miss ratio 0.0847, byte miss ratio 0.0847
result/tencentBlock.ns14918.oracleGeneral.zst LRU cache size    38127, 2373929 req, miss ratio 0.0579, byte miss ratio 0.0579
result/tencentBlock.ns14918.oracleGeneral.zst LRU cache size    76255, 2373929 req, miss ratio 0.0444, byte miss ratio 0.0444
result/tencentBlock.ns14918.oracleGeneral.zst Clock cache size       95, 2373929 req, miss ratio 0.2761, byte miss ratio 0.2761
result/tencentBlock.ns14918.oracleGeneral.zst Clock cache size      285, 2373929 req, miss ratio 0.2106, byte miss ratio 0.2106
result/tencentBlock.ns14918.oracleGeneral.zst Clock cache size      953, 2373929 req, miss ratio 0.1881, byte miss ratio 0.1881
result/tencentBlock.ns14918.oracleGeneral.zst Clock cache size     2859, 2373929 req, miss ratio 0.1745, byte miss ratio 0.1745
result/tencentBlock.ns14918.oracleGeneral.zst Clock cache size     9531, 2373929 req, miss ratio 0.1222, byte miss ratio 0.1222
result/tencentBlock.ns14918.oracleGeneral.zst Clock cache size    19063, 2373929 req, miss ratio 0.0845, byte miss ratio 0.0845
result/tencentBlock.ns14918.oracleGeneral.zst Clock cache size    38127, 2373929 req, miss ratio 0.0569, byte miss ratio 0.0569
