result/tencentBlock.ns15754.oracleGeneral.zst clock2 cache size      472, 3136254 req, miss ratio 0.4221, byte miss ratio 0.4221
result/tencentBlock.ns15754.oracleGeneral.zst clock2 cache size     1416, 3136254 req, miss ratio 0.4125, byte miss ratio 0.4125
result/tencentBlock.ns15754.oracleGeneral.zst clock2 cache size     4720, 3136254 req, miss ratio 0.4076, byte miss ratio 0.4076
result/tencentBlock.ns15754.oracleGeneral.zst clock2 cache size    14161, 3136254 req, miss ratio 0.3998, byte miss ratio 0.3998
result/tencentBlock.ns15754.oracleGeneral.zst clock2 cache size    47204, 3136254 req, miss ratio 0.3475, byte miss ratio 0.3475
result/tencentBlock.ns15754.oracleGeneral.zst clock2 cache size    94409, 3136254 req, miss ratio 0.3074, byte miss ratio 0.3074
result/tencentBlock.ns15754.oracleGeneral.zst clock2 cache size   188819, 3136254 req, miss ratio 0.1775, byte miss ratio 0.1775
result/tencentBlock.ns15754.oracleGeneral.zst clock2 cache size   377638, 3136254 req, miss ratio 0.1509, byte miss ratio 0.1509
result/tencentBlock.ns15754.oracleGeneral.zst ARC cache size      472, 3136254 req, miss ratio 0.4150, byte miss ratio 0.4150
result/tencentBlock.ns15754.oracleGeneral.zst ARC cache size     1416, 3136254 req, miss ratio 0.4101, byte miss ratio 0.4101
result/tencentBlock.ns15754.oracleGeneral.zst ARC cache size     4720, 3136254 req, miss ratio 0.4046, byte miss ratio 0.4046
result/tencentBlock.ns15754.oracleGeneral.zst ARC cache size    14161, 3136254 req, miss ratio 0.3815, byte miss ratio 0.3815
result/tencentBlock.ns15754.oracleGeneral.zst ARC cache size    47204, 3136254 req, miss ratio 0.3218, byte miss ratio 0.3218
result/tencentBlock.ns15754.oracleGeneral.zst ARC cache size    94409, 3136254 req, miss ratio 0.2493, byte miss ratio 0.2493
result/tencentBlock.ns15754.oracleGeneral.zst ARC cache size   188819, 3136254 req, miss ratio 0.1649, byte miss ratio 0.1649
result/tencentBlock.ns15754.oracleGeneral.zst ARC cache size   377638, 3136254 req, miss ratio 0.1509, byte miss ratio 0.1509
result/tencentBlock.ns15754.oracleGeneral.zst LRU cache size      472, 3136254 req, miss ratio 0.4294, byte miss ratio 0.4294
result/tencentBlock.ns15754.oracleGeneral.zst LRU cache size     1416, 3136254 req, miss ratio 0.4139, byte miss ratio 0.4139
result/tencentBlock.ns15754.oracleGeneral.zst LRU cache size     4720, 3136254 req, miss ratio 0.4082, byte miss ratio 0.4082
result/tencentBlock.ns15754.oracleGeneral.zst LRU cache size    14161, 3136254 req, miss ratio 0.3999, byte miss ratio 0.3999
result/tencentBlock.ns15754.oracleGeneral.zst LRU cache size    47204, 3136254 req, miss ratio 0.3440, byte miss ratio 0.3440
result/tencentBlock.ns15754.oracleGeneral.zst LRU cache size    94409, 3136254 req, miss ratio 0.2904, byte miss ratio 0.2904
result/tencentBlock.ns15754.oracleGeneral.zst LRU cache size   188819, 3136254 req, miss ratio 0.1744, byte miss ratio 0.1744
result/tencentBlock.ns15754.oracleGeneral.zst LRU cache size   377638, 3136254 req, miss ratio 0.1508, byte miss ratio 0.1508
result/tencentBlock.ns15754.oracleGeneral.zst S3FIFO-1 cache size      472, 3136254 req, miss ratio 0.4188, byte miss ratio 0.4188
result/tencentBlock.ns15754.oracleGeneral.zst S3FIFO-1 cache size     1416, 3136254 req, miss ratio 0.4103, byte miss ratio 0.4103
result/tencentBlock.ns15754.oracleGeneral.zst S3FIFO-1 cache size     4720, 3136254 req, miss ratio 0.4037, byte miss ratio 0.4037
result/tencentBlock.ns15754.oracleGeneral.zst S3FIFO-1 cache size    14161, 3136254 req, miss ratio 0.3726, byte miss ratio 0.3726
result/tencentBlock.ns15754.oracleGeneral.zst S3FIFO-1 cache size    47204, 3136254 req, miss ratio 0.3187, byte miss ratio 0.3187
result/tencentBlock.ns15754.oracleGeneral.zst S3FIFO-1 cache size    94409, 3136254 req, miss ratio 0.2406, byte miss ratio 0.2406
result/tencentBlock.ns15754.oracleGeneral.zst S3FIFO-1 cache size   188819, 3136254 req, miss ratio 0.1689, byte miss ratio 0.1689
result/tencentBlock.ns15754.oracleGeneral.zst S3FIFO-1 cache size   377638, 3136254 req, miss ratio 0.1509, byte miss ratio 0.1509
result/tencentBlock.ns15754.oracleGeneral.zst Clock cache size      472, 3136254 req, miss ratio 0.4260, byte miss ratio 0.4260
result/tencentBlock.ns15754.oracleGeneral.zst Clock cache size     1416, 3136254 req, miss ratio 0.4134, byte miss ratio 0.4134
result/tencentBlock.ns15754.oracleGeneral.zst Clock cache size     4720, 3136254 req, miss ratio 0.4080, byte miss ratio 0.4080
