result/tencentBlock.ns16320.oracleGeneral.zst Clock cache size      110, 1009487 req, miss ratio 0.6261, byte miss ratio 0.6261
result/tencentBlock.ns16320.oracleGeneral.zst Clock cache size      332, 1009487 req, miss ratio 0.5449, byte miss ratio 0.5449
result/tencentBlock.ns16320.oracleGeneral.zst Clock cache size     1109, 1009487 req, miss ratio 0.4932, byte miss ratio 0.4932
result/tencentBlock.ns16320.oracleGeneral.zst Clock cache size     3327, 1009487 req, miss ratio 0.4474, byte miss ratio 0.4474
result/tencentBlock.ns16320.oracleGeneral.zst Clock cache size    11091, 1009487 req, miss ratio 0.3462, byte miss ratio 0.3462
result/tencentBlock.ns16320.oracleGeneral.zst Clock cache size    22183, 1009487 req, miss ratio 0.1981, byte miss ratio 0.1981
result/tencentBlock.ns16320.oracleGeneral.zst Clock cache size    44367, 1009487 req, miss ratio 0.1464, byte miss ratio 0.1464
result/tencentBlock.ns16320.oracleGeneral.zst Clock cache size    88735, 1009487 req, miss ratio 0.1122, byte miss ratio 0.1122
result/tencentBlock.ns16320.oracleGeneral.zst Cacheus cache size      110, 1009487 req, miss ratio 0.5877, byte miss ratio 0.5877
result/tencentBlock.ns16320.oracleGeneral.zst Cacheus cache size      332, 1009487 req, miss ratio 0.5199, byte miss ratio 0.5199
result/tencentBlock.ns16320.oracleGeneral.zst Cacheus cache size     1109, 1009487 req, miss ratio 0.4763, byte miss ratio 0.4763
result/tencentBlock.ns16320.oracleGeneral.zst Cacheus cache size     3327, 1009487 req, miss ratio 0.4246, byte miss ratio 0.4246
result/tencentBlock.ns16320.oracleGeneral.zst Cacheus cache size    11091, 1009487 req, miss ratio 0.3312, byte miss ratio 0.3312
result/tencentBlock.ns16320.oracleGeneral.zst Cacheus cache size    22183, 1009487 req, miss ratio 0.1905, byte miss ratio 0.1905
result/tencentBlock.ns16320.oracleGeneral.zst Cacheus cache size    44367, 1009487 req, miss ratio 0.1456, byte miss ratio 0.1456
result/tencentBlock.ns16320.oracleGeneral.zst Cacheus cache size    88735, 1009487 req, miss ratio 0.1123, byte miss ratio 0.1123
result/tencentBlock.ns16320.oracleGeneral.zst FIFO cache size      110, 1009487 req, miss ratio 0.6594, byte miss ratio 0.6594
result/tencentBlock.ns16320.oracleGeneral.zst FIFO cache size      332, 1009487 req, miss ratio 0.5718, byte miss ratio 0.5718
result/tencentBlock.ns16320.oracleGeneral.zst FIFO cache size     1109, 1009487 req, miss ratio 0.5122, byte miss ratio 0.5122
result/tencentBlock.ns16320.oracleGeneral.zst FIFO cache size     3327, 1009487 req, miss ratio 0.4630, byte miss ratio 0.4630
result/tencentBlock.ns16320.oracleGeneral.zst FIFO cache size    11091, 1009487 req, miss ratio 0.3637, byte miss ratio 0.3637
result/tencentBlock.ns16320.oracleGeneral.zst FIFO cache size    22183, 1009487 req, miss ratio 0.2591, byte miss ratio 0.2591
result/tencentBlock.ns16320.oracleGeneral.zst FIFO cache size    44367, 1009487 req, miss ratio 0.1676, byte miss ratio 0.1676
result/tencentBlock.ns16320.oracleGeneral.zst FIFO cache size    88735, 1009487 req, miss ratio 0.1170, byte miss ratio 0.1170
result/tencentBlock.ns16320.oracleGeneral.zst LeCaR cache size      110, 1009487 req, miss ratio 0.6122, byte miss ratio 0.6122
result/tencentBlock.ns16320.oracleGeneral.zst LeCaR cache size      332, 1009487 req, miss ratio 0.5346, byte miss ratio 0.5346
result/tencentBlock.ns16320.oracleGeneral.zst LeCaR cache size     1109, 1009487 req, miss ratio 0.4838, byte miss ratio 0.4838
result/tencentBlock.ns16320.oracleGeneral.zst LeCaR cache size     3327, 1009487 req, miss ratio 0.4382, byte miss ratio 0.4382
result/tencentBlock.ns16320.oracleGeneral.zst LeCaR cache size    11091, 1009487 req, miss ratio 0.3096, byte miss ratio 0.3096
result/tencentBlock.ns16320.oracleGeneral.zst LeCaR cache size    22183, 1009487 req, miss ratio 0.1989, byte miss ratio 0.1989
result/tencentBlock.ns16320.oracleGeneral.zst LeCaR cache size    44367, 1009487 req, miss ratio 0.1428, byte miss ratio 0.1428
result/tencentBlock.ns16320.oracleGeneral.zst LeCaR cache size    88735, 1009487 req, miss ratio 0.1117, byte miss ratio 0.1117
