result/tencentBlock.ns2009.oracleGeneral.zst ARC cache size     2252, 18918362 req, miss ratio 0.9206, byte miss ratio 0.9206
result/tencentBlock.ns2009.oracleGeneral.zst ARC cache size     6758, 18918362 req, miss ratio 0.9162, byte miss ratio 0.9162
result/tencentBlock.ns2009.oracleGeneral.zst ARC cache size    22528, 18918362 req, miss ratio 0.8862, byte miss ratio 0.8862
result/tencentBlock.ns2009.oracleGeneral.zst ARC cache size    67584, 18918362 req, miss ratio 0.8196, byte miss ratio 0.8196
result/tencentBlock.ns2009.oracleGeneral.zst ARC cache size   225282, 18918362 req, miss ratio 0.7806, byte miss ratio 0.7806
result/tencentBlock.ns2009.oracleGeneral.zst ARC cache size   450564, 18918362 req, miss ratio 0.7779, byte miss ratio 0.7779
result/tencentBlock.ns2009.oracleGeneral.zst ARC cache size   901128, 18918362 req, miss ratio 0.7742, byte miss ratio 0.7742
result/tencentBlock.ns2009.oracleGeneral.zst ARC cache size  1802257, 18918362 req, miss ratio 0.1198, byte miss ratio 0.1198
result/tencentBlock.ns2009.oracleGeneral.zst clock2 cache size     2252, 18918362 req, miss ratio 0.9239, byte miss ratio 0.9239
result/tencentBlock.ns2009.oracleGeneral.zst clock2 cache size     6758, 18918362 req, miss ratio 0.9212, byte miss ratio 0.9212
result/tencentBlock.ns2009.oracleGeneral.zst clock2 cache size    22528, 18918362 req, miss ratio 0.9052, byte miss ratio 0.9052
result/tencentBlock.ns2009.oracleGeneral.zst clock2 cache size    67584, 18918362 req, miss ratio 0.8630, byte miss ratio 0.8630
result/tencentBlock.ns2009.oracleGeneral.zst clock2 cache size   225282, 18918362 req, miss ratio 0.8064, byte miss ratio 0.8064
result/tencentBlock.ns2009.oracleGeneral.zst clock2 cache size   450564, 18918362 req, miss ratio 0.7974, byte miss ratio 0.7974
result/tencentBlock.ns2009.oracleGeneral.zst clock2 cache size   901128, 18918362 req, miss ratio 0.7841, byte miss ratio 0.7841
result/tencentBlock.ns2009.oracleGeneral.zst clock2 cache size  1802257, 18918362 req, miss ratio 0.1192, byte miss ratio 0.1192
result/tencentBlock.ns2009.oracleGeneral.zst LIRS cache size     2252, 18918362 req, miss ratio 0.9328, byte miss ratio 0.9328
result/tencentBlock.ns2009.oracleGeneral.zst LIRS cache size     6758, 18918362 req, miss ratio 0.9208, byte miss ratio 0.9208
result/tencentBlock.ns2009.oracleGeneral.zst LIRS cache size    22528, 18918362 req, miss ratio 0.8790, byte miss ratio 0.8790
result/tencentBlock.ns2009.oracleGeneral.zst LIRS cache size    67584, 18918362 req, miss ratio 0.8197, byte miss ratio 0.8197
result/tencentBlock.ns2009.oracleGeneral.zst LIRS cache size   225282, 18918362 req, miss ratio 0.7309, byte miss ratio 0.7309
result/tencentBlock.ns2009.oracleGeneral.zst LIRS cache size   450564, 18918362 req, miss ratio 0.6233, byte miss ratio 0.6233
result/tencentBlock.ns2009.oracleGeneral.zst LIRS cache size   901128, 18918362 req, miss ratio 0.4098, byte miss ratio 0.4098
result/tencentBlock.ns2009.oracleGeneral.zst LIRS cache size  1802257, 18918362 req, miss ratio 0.1214, byte miss ratio 0.1214
result/tencentBlock.ns2009.oracleGeneral.zst FIFO cache size     2252, 18918362 req, miss ratio 0.9266, byte miss ratio 0.9266
result/tencentBlock.ns2009.oracleGeneral.zst FIFO cache size     6758, 18918362 req, miss ratio 0.9226, byte miss ratio 0.9226
result/tencentBlock.ns2009.oracleGeneral.zst FIFO cache size    22528, 18918362 req, miss ratio 0.9077, byte miss ratio 0.9077
result/tencentBlock.ns2009.oracleGeneral.zst FIFO cache size    67584, 18918362 req, miss ratio 0.8769, byte miss ratio 0.8769
result/tencentBlock.ns2009.oracleGeneral.zst FIFO cache size   225282, 18918362 req, miss ratio 0.8381, byte miss ratio 0.8381
result/tencentBlock.ns2009.oracleGeneral.zst FIFO cache size   450564, 18918362 req, miss ratio 0.8207, byte miss ratio 0.8207
result/tencentBlock.ns2009.oracleGeneral.zst FIFO cache size   901128, 18918362 req, miss ratio 0.8070, byte miss ratio 0.8070
result/tencentBlock.ns2009.oracleGeneral.zst FIFO cache size  1802257, 18918362 req, miss ratio 0.2345, byte miss ratio 0.2345
result/tencentBlock.ns2009.oracleGeneral.zst LeCaR cache size     2252, 18918362 req, miss ratio 0.9238, byte miss ratio 0.9238
result/tencentBlock.ns2009.oracleGeneral.zst LeCaR cache size     6758, 18918362 req, miss ratio 0.9212, byte miss ratio 0.9212
result/tencentBlock.ns2009.oracleGeneral.zst LeCaR cache size    22528, 18918362 req, miss ratio 0.9055, byte miss ratio 0.9055
result/tencentBlock.ns2009.oracleGeneral.zst LeCaR cache size    67584, 18918362 req, miss ratio 0.8677, byte miss ratio 0.8677
result/tencentBlock.ns2009.oracleGeneral.zst LeCaR cache size   225282, 18918362 req, miss ratio 0.8131, byte miss ratio 0.8131
result/tencentBlock.ns2009.oracleGeneral.zst LeCaR cache size   450564, 18918362 req, miss ratio 0.8027, byte miss ratio 0.8027
result/tencentBlock.ns2009.oracleGeneral.zst LeCaR cache size   901128, 18918362 req, miss ratio 0.7946, byte miss ratio 0.7946
result/tencentBlock.ns2009.oracleGeneral.zst LeCaR cache size  1802257, 18918362 req, miss ratio 0.1192, byte miss ratio 0.1192
result/tencentBlock.ns2009.oracleGeneral.zst Cacheus cache size     2252, 18918362 req, miss ratio 0.9201, byte miss ratio 0.9201
result/tencentBlock.ns2009.oracleGeneral.zst Cacheus cache size     6758, 18918362 req, miss ratio 0.9294, byte miss ratio 0.9294
result/tencentBlock.ns2009.oracleGeneral.zst Cacheus cache size    22528, 18918362 req, miss ratio 0.8949, byte miss ratio 0.8949
result/tencentBlock.ns2009.oracleGeneral.zst Cacheus cache size    67584, 18918362 req, miss ratio 0.8284, byte miss ratio 0.8284
result/tencentBlock.ns2009.oracleGeneral.zst Cacheus cache size   225282, 18918362 req, miss ratio 0.7759, byte miss ratio 0.7759
result/tencentBlock.ns2009.oracleGeneral.zst Cacheus cache size   450564, 18918362 req, miss ratio 0.7259, byte miss ratio 0.7259
result/tencentBlock.ns2009.oracleGeneral.zst Cacheus cache size   901128, 18918362 req, miss ratio 0.7424, byte miss ratio 0.7424
result/tencentBlock.ns2009.oracleGeneral.zst Cacheus cache size  1802257, 18918362 req, miss ratio 0.1478, byte miss ratio 0.1478
result/tencentBlock.ns2009.oracleGeneral.zst S3FIFO-1 cache size     2252, 18918362 req, miss ratio 0.9212, byte miss ratio 0.9212
result/tencentBlock.ns2009.oracleGeneral.zst S3FIFO-1 cache size     6758, 18918362 req, miss ratio 0.9158, byte miss ratio 0.9158
result/tencentBlock.ns2009.oracleGeneral.zst S3FIFO-1 cache size    22528, 18918362 req, miss ratio 0.8776, byte miss ratio 0.8776
result/tencentBlock.ns2009.oracleGeneral.zst S3FIFO-1 cache size    67584, 18918362 req, miss ratio 0.7994, byte miss ratio 0.7994
result/tencentBlock.ns2009.oracleGeneral.zst S3FIFO-1 cache size   225282, 18918362 req, miss ratio 0.7801, byte miss ratio 0.7801
result/tencentBlock.ns2009.oracleGeneral.zst S3FIFO-1 cache size   450564, 18918362 req, miss ratio 0.7764, byte miss ratio 0.7764
result/tencentBlock.ns2009.oracleGeneral.zst S3FIFO-1 cache size   901128, 18918362 req, miss ratio 0.6071, byte miss ratio 0.6071
result/tencentBlock.ns2009.oracleGeneral.zst S3FIFO-1 cache size  1802257, 18918362 req, miss ratio 0.1193, byte miss ratio 0.1193
result/tencentBlock.ns2009.oracleGeneral.zst LHD cache size     2252, 18918362 req, miss ratio 0.9246, byte miss ratio 0.9246
result/tencentBlock.ns2009.oracleGeneral.zst LHD cache size     6758, 18918362 req, miss ratio 0.9199, byte miss ratio 0.9199
result/tencentBlock.ns2009.oracleGeneral.zst LHD cache size    22528, 18918362 req, miss ratio 0.8979, byte miss ratio 0.8979
result/tencentBlock.ns2009.oracleGeneral.zst LHD cache size    67584, 18918362 req, miss ratio 0.8404, byte miss ratio 0.8404
result/tencentBlock.ns2009.oracleGeneral.zst LHD cache size   225282, 18918362 req, miss ratio 0.7696, byte miss ratio 0.7696
result/tencentBlock.ns2009.oracleGeneral.zst LHD cache size   450564, 18918362 req, miss ratio 0.6741, byte miss ratio 0.6741
result/tencentBlock.ns2009.oracleGeneral.zst LHD cache size   901128, 18918362 req, miss ratio 0.4687, byte miss ratio 0.4687
result/tencentBlock.ns2009.oracleGeneral.zst LHD cache size  1802257, 18918362 req, miss ratio 0.1278, byte miss ratio 0.1278
result/tencentBlock.ns2009.oracleGeneral.zst LRU cache size     2252, 18918362 req, miss ratio 0.9240, byte miss ratio 0.9240
result/tencentBlock.ns2009.oracleGeneral.zst LRU cache size     6758, 18918362 req, miss ratio 0.9214, byte miss ratio 0.9214
result/tencentBlock.ns2009.oracleGeneral.zst LRU cache size    22528, 18918362 req, miss ratio 0.9059, byte miss ratio 0.9059
result/tencentBlock.ns2009.oracleGeneral.zst LRU cache size    67584, 18918362 req, miss ratio 0.8689, byte miss ratio 0.8689
result/tencentBlock.ns2009.oracleGeneral.zst LRU cache size   225282, 18918362 req, miss ratio 0.8203, byte miss ratio 0.8203
result/tencentBlock.ns2009.oracleGeneral.zst LRU cache size   450564, 18918362 req, miss ratio 0.8037, byte miss ratio 0.8037
result/tencentBlock.ns2009.oracleGeneral.zst LRU cache size   901128, 18918362 req, miss ratio 0.7964, byte miss ratio 0.7964
result/tencentBlock.ns2009.oracleGeneral.zst LRU cache size  1802257, 18918362 req, miss ratio 0.1193, byte miss ratio 0.1193
result/tencentBlock.ns2009.oracleGeneral.zst Clock cache size     2252, 18918362 req, miss ratio 0.9239, byte miss ratio 0.9239
result/tencentBlock.ns2009.oracleGeneral.zst Clock cache size     6758, 18918362 req, miss ratio 0.9213, byte miss ratio 0.9213
result/tencentBlock.ns2009.oracleGeneral.zst Clock cache size    22528, 18918362 req, miss ratio 0.9051, byte miss ratio 0.9051
result/tencentBlock.ns2009.oracleGeneral.zst Clock cache size    67584, 18918362 req, miss ratio 0.8645, byte miss ratio 0.8645
result/tencentBlock.ns2009.oracleGeneral.zst Clock cache size   225282, 18918362 req, miss ratio 0.8140, byte miss ratio 0.8140
result/tencentBlock.ns2009.oracleGeneral.zst Clock cache size   450564, 18918362 req, miss ratio 0.7999, byte miss ratio 0.7999
result/tencentBlock.ns2009.oracleGeneral.zst Clock cache size   901128, 18918362 req, miss ratio 0.7929, byte miss ratio 0.7929
result/tencentBlock.ns2009.oracleGeneral.zst Clock cache size  1802257, 18918362 req, miss ratio 0.1194, byte miss ratio 0.1194
result/tencentBlock.ns2009.oracleGeneral.zst S3FIFO-d-1 cache size     2252, 18918362 req, miss ratio 0.9206, byte miss ratio 0.9206
result/tencentBlock.ns2009.oracleGeneral.zst S3FIFO-d-1 cache size     6758, 18918362 req, miss ratio 0.9155, byte miss ratio 0.9155
result/tencentBlock.ns2009.oracleGeneral.zst S3FIFO-d-1 cache size    22528, 18918362 req, miss ratio 0.8767, byte miss ratio 0.8767
result/tencentBlock.ns2009.oracleGeneral.zst S3FIFO-d-1 cache size    67584, 18918362 req, miss ratio 0.8006, byte miss ratio 0.8006
result/tencentBlock.ns2009.oracleGeneral.zst S3FIFO-d-1 cache size   225282, 18918362 req, miss ratio 0.7801, byte miss ratio 0.7801
result/tencentBlock.ns2009.oracleGeneral.zst S3FIFO-d-1 cache size   450564, 18918362 req, miss ratio 0.7764, byte miss ratio 0.7764
result/tencentBlock.ns2009.oracleGeneral.zst S3FIFO-d-1 cache size   901128, 18918362 req, miss ratio 0.6753, byte miss ratio 0.6753
result/tencentBlock.ns2009.oracleGeneral.zst S3FIFO-d-1 cache size  1802257, 18918362 req, miss ratio 0.1193, byte miss ratio 0.1193
result/tencentBlock.ns2009.oracleGeneral.zst LRB cache size     2252, 18918362 req, miss ratio 0.9334, byte miss ratio 0.9334
result/tencentBlock.ns2009.oracleGeneral.zst LRB cache size     6758, 18918362 req, miss ratio 0.9083, byte miss ratio 0.9083
result/tencentBlock.ns2009.oracleGeneral.zst LRB cache size    22528, 18918362 req, miss ratio 0.8639, byte miss ratio 0.8639
result/tencentBlock.ns2009.oracleGeneral.zst LRB cache size    67584, 18918362 req, miss ratio 0.8252, byte miss ratio 0.8252
result/tencentBlock.ns2009.oracleGeneral.zst LRB cache size   225282, 18918362 req, miss ratio 0.7680, byte miss ratio 0.7680
result/tencentBlock.ns2009.oracleGeneral.zst LRB cache size   450564, 18918362 req, miss ratio 0.6623, byte miss ratio 0.6623
result/tencentBlock.ns2009.oracleGeneral.zst LRB cache size   901128, 18918362 req, miss ratio 0.4643, byte miss ratio 0.4643
