result/tencentBlock.ns2109.oracleGeneral.zst LHD cache size     2250, 56844956 req, miss ratio 0.7806, byte miss ratio 0.7806
result/tencentBlock.ns2109.oracleGeneral.zst LHD cache size     6750, 56844956 req, miss ratio 0.6671, byte miss ratio 0.6671
result/tencentBlock.ns2109.oracleGeneral.zst LHD cache size    22500, 56844956 req, miss ratio 0.5547, byte miss ratio 0.5547
result/tencentBlock.ns2109.oracleGeneral.zst LHD cache size    67500, 56844956 req, miss ratio 0.4351, byte miss ratio 0.4351
result/tencentBlock.ns2109.oracleGeneral.zst LHD cache size   225001, 56844956 req, miss ratio 0.2196, byte miss ratio 0.2196
result/tencentBlock.ns2109.oracleGeneral.zst LHD cache size   450002, 56844956 req, miss ratio 0.1245, byte miss ratio 0.1245
result/tencentBlock.ns2109.oracleGeneral.zst LHD cache size   900004, 56844956 req, miss ratio 0.0586, byte miss ratio 0.0586
result/tencentBlock.ns2109.oracleGeneral.zst LHD cache size  1800008, 56844956 req, miss ratio 0.0408, byte miss ratio 0.0408
result/tencentBlock.ns2109.oracleGeneral.zst Clock cache size     2250, 56844956 req, miss ratio 0.7872, byte miss ratio 0.7872
result/tencentBlock.ns2109.oracleGeneral.zst Clock cache size     6750, 56844956 req, miss ratio 0.6758, byte miss ratio 0.6758
result/tencentBlock.ns2109.oracleGeneral.zst Clock cache size    22500, 56844956 req, miss ratio 0.5737, byte miss ratio 0.5737
result/tencentBlock.ns2109.oracleGeneral.zst Clock cache size    67500, 56844956 req, miss ratio 0.4641, byte miss ratio 0.4641
result/tencentBlock.ns2109.oracleGeneral.zst Clock cache size   225001, 56844956 req, miss ratio 0.2311, byte miss ratio 0.2311
result/tencentBlock.ns2109.oracleGeneral.zst Clock cache size   450002, 56844956 req, miss ratio 0.1358, byte miss ratio 0.1358
result/tencentBlock.ns2109.oracleGeneral.zst Clock cache size   900004, 56844956 req, miss ratio 0.0630, byte miss ratio 0.0630
result/tencentBlock.ns2109.oracleGeneral.zst Clock cache size  1800008, 56844956 req, miss ratio 0.0409, byte miss ratio 0.0409
result/tencentBlock.ns2109.oracleGeneral.zst LeCaR cache size     2250, 56844956 req, miss ratio 0.7857, byte miss ratio 0.7857
result/tencentBlock.ns2109.oracleGeneral.zst LeCaR cache size     6750, 56844956 req, miss ratio 0.6740, byte miss ratio 0.6740
result/tencentBlock.ns2109.oracleGeneral.zst LeCaR cache size    22500, 56844956 req, miss ratio 0.5714, byte miss ratio 0.5714
result/tencentBlock.ns2109.oracleGeneral.zst LeCaR cache size    67500, 56844956 req, miss ratio 0.4586, byte miss ratio 0.4586
result/tencentBlock.ns2109.oracleGeneral.zst LeCaR cache size   225001, 56844956 req, miss ratio 0.2237, byte miss ratio 0.2237
result/tencentBlock.ns2109.oracleGeneral.zst LeCaR cache size   450002, 56844956 req, miss ratio 0.1333, byte miss ratio 0.1333
result/tencentBlock.ns2109.oracleGeneral.zst LeCaR cache size   900004, 56844956 req, miss ratio 0.0575, byte miss ratio 0.0575
