result/tencentBlock.ns21096.oracleGeneral.zst S3FIFO-1 cache size      789, 8585481 req, miss ratio 0.4691, byte miss ratio 0.4691
result/tencentBlock.ns21096.oracleGeneral.zst S3FIFO-1 cache size     2368, 8585481 req, miss ratio 0.3788, byte miss ratio 0.3788
result/tencentBlock.ns21096.oracleGeneral.zst S3FIFO-1 cache size     7896, 8585481 req, miss ratio 0.3335, byte miss ratio 0.3335
result/tencentBlock.ns21096.oracleGeneral.zst S3FIFO-1 cache size    23688, 8585481 req, miss ratio 0.3146, byte miss ratio 0.3146
result/tencentBlock.ns21096.oracleGeneral.zst S3FIFO-1 cache size    78960, 8585481 req, miss ratio 0.2431, byte miss ratio 0.2431
result/tencentBlock.ns21096.oracleGeneral.zst S3FIFO-1 cache size   157920, 8585481 req, miss ratio 0.1615, byte miss ratio 0.1615
result/tencentBlock.ns21096.oracleGeneral.zst S3FIFO-1 cache size   315840, 8585481 req, miss ratio 0.1073, byte miss ratio 0.1073
result/tencentBlock.ns21096.oracleGeneral.zst S3FIFO-1 cache size   631681, 8585481 req, miss ratio 0.0931, byte miss ratio 0.0931
result/tencentBlock.ns21096.oracleGeneral.zst LeCaR cache size      789, 8585481 req, miss ratio 0.4700, byte miss ratio 0.4700
result/tencentBlock.ns21096.oracleGeneral.zst LeCaR cache size     2368, 8585481 req, miss ratio 0.4167, byte miss ratio 0.4167
result/tencentBlock.ns21096.oracleGeneral.zst LeCaR cache size     7896, 8585481 req, miss ratio 0.3488, byte miss ratio 0.3488
result/tencentBlock.ns21096.oracleGeneral.zst LeCaR cache size    23688, 8585481 req, miss ratio 0.3175, byte miss ratio 0.3175
result/tencentBlock.ns21096.oracleGeneral.zst LeCaR cache size    78960, 8585481 req, miss ratio 0.2388, byte miss ratio 0.2388
result/tencentBlock.ns21096.oracleGeneral.zst LeCaR cache size   157920, 8585481 req, miss ratio 0.1659, byte miss ratio 0.1659
result/tencentBlock.ns21096.oracleGeneral.zst LeCaR cache size   315840, 8585481 req, miss ratio 0.1059, byte miss ratio 0.1059
result/tencentBlock.ns21096.oracleGeneral.zst LeCaR cache size   631681, 8585481 req, miss ratio 0.0927, byte miss ratio 0.0927
result/tencentBlock.ns21096.oracleGeneral.zst Cacheus cache size      789, 8585481 req, miss ratio 0.4591, byte miss ratio 0.4591
result/tencentBlock.ns21096.oracleGeneral.zst Cacheus cache size     2368, 8585481 req, miss ratio 0.4015, byte miss ratio 0.4015
result/tencentBlock.ns21096.oracleGeneral.zst Cacheus cache size     7896, 8585481 req, miss ratio 0.3414, byte miss ratio 0.3414
result/tencentBlock.ns21096.oracleGeneral.zst Cacheus cache size    23688, 8585481 req, miss ratio 0.3191, byte miss ratio 0.3191
result/tencentBlock.ns21096.oracleGeneral.zst Cacheus cache size    78960, 8585481 req, miss ratio 0.2437, byte miss ratio 0.2437
result/tencentBlock.ns21096.oracleGeneral.zst Cacheus cache size   157920, 8585481 req, miss ratio 0.1848, byte miss ratio 0.1848
result/tencentBlock.ns21096.oracleGeneral.zst Cacheus cache size   315840, 8585481 req, miss ratio 0.1121, byte miss ratio 0.1121
result/tencentBlock.ns21096.oracleGeneral.zst Cacheus cache size   631681, 8585481 req, miss ratio 0.0929, byte miss ratio 0.0929
result/tencentBlock.ns21096.oracleGeneral.zst FIFO cache size      789, 8585481 req, miss ratio 0.5590, byte miss ratio 0.5590
result/tencentBlock.ns21096.oracleGeneral.zst FIFO cache size     2368, 8585481 req, miss ratio 0.4569, byte miss ratio 0.4569
result/tencentBlock.ns21096.oracleGeneral.zst FIFO cache size     7896, 8585481 req, miss ratio 0.3837, byte miss ratio 0.3837
result/tencentBlock.ns21096.oracleGeneral.zst FIFO cache size    23688, 8585481 req, miss ratio 0.3373, byte miss ratio 0.3373
result/tencentBlock.ns21096.oracleGeneral.zst FIFO cache size    78960, 8585481 req, miss ratio 0.2563, byte miss ratio 0.2563
result/tencentBlock.ns21096.oracleGeneral.zst FIFO cache size   157920, 8585481 req, miss ratio 0.1883, byte miss ratio 0.1883
result/tencentBlock.ns21096.oracleGeneral.zst FIFO cache size   315840, 8585481 req, miss ratio 0.1337, byte miss ratio 0.1337
result/tencentBlock.ns21096.oracleGeneral.zst FIFO cache size   631681, 8585481 req, miss ratio 0.1048, byte miss ratio 0.1048
result/tencentBlock.ns21096.oracleGeneral.zst LIRS cache size      789, 8585481 req, miss ratio 0.5078, byte miss ratio 0.5078
result/tencentBlock.ns21096.oracleGeneral.zst LIRS cache size     2368, 8585481 req, miss ratio 0.4137, byte miss ratio 0.4137
result/tencentBlock.ns21096.oracleGeneral.zst LIRS cache size     7896, 8585481 req, miss ratio 0.3463, byte miss ratio 0.3463
result/tencentBlock.ns21096.oracleGeneral.zst LIRS cache size    23688, 8585481 req, miss ratio 0.3175, byte miss ratio 0.3175
