result/tencentBlock.ns22175.oracleGeneral.zst Clock cache size        8, 1050312 req, miss ratio 0.7326, byte miss ratio 0.7326
result/tencentBlock.ns22175.oracleGeneral.zst Clock cache size       28, 1050312 req, miss ratio 0.7323, byte miss ratio 0.7323
result/tencentBlock.ns22175.oracleGeneral.zst Clock cache size       86, 1050312 req, miss ratio 0.6327, byte miss ratio 0.6327
result/tencentBlock.ns22175.oracleGeneral.zst Clock cache size      289, 1050312 req, miss ratio 0.0109, byte miss ratio 0.0109
result/tencentBlock.ns22175.oracleGeneral.zst Clock cache size      579, 1050312 req, miss ratio 0.0061, byte miss ratio 0.0061
result/tencentBlock.ns22175.oracleGeneral.zst Clock cache size     1158, 1050312 req, miss ratio 0.0057, byte miss ratio 0.0057
result/tencentBlock.ns22175.oracleGeneral.zst Clock cache size     2316, 1050312 req, miss ratio 0.0044, byte miss ratio 0.0044
result/tencentBlock.ns22175.oracleGeneral.zst LeCaR cache size        8, 1050312 req, miss ratio 0.7325, byte miss ratio 0.7325
result/tencentBlock.ns22175.oracleGeneral.zst LeCaR cache size       28, 1050312 req, miss ratio 0.7215, byte miss ratio 0.7215
result/tencentBlock.ns22175.oracleGeneral.zst LeCaR cache size       86, 1050312 req, miss ratio 0.2548, byte miss ratio 0.2548
result/tencentBlock.ns22175.oracleGeneral.zst LeCaR cache size      289, 1050312 req, miss ratio 0.0100, byte miss ratio 0.0100
result/tencentBlock.ns22175.oracleGeneral.zst LeCaR cache size      579, 1050312 req, miss ratio 0.0061, byte miss ratio 0.0061
result/tencentBlock.ns22175.oracleGeneral.zst LeCaR cache size     1158, 1050312 req, miss ratio 0.0057, byte miss ratio 0.0057
result/tencentBlock.ns22175.oracleGeneral.zst LeCaR cache size     2316, 1050312 req, miss ratio 0.0048, byte miss ratio 0.0048
result/tencentBlock.ns22175.oracleGeneral.zst LIRS cache size        8, 1050312 req, miss ratio 0.7325, byte miss ratio 0.7325
result/tencentBlock.ns22175.oracleGeneral.zst LIRS cache size       28, 1050312 req, miss ratio 0.7322, byte miss ratio 0.7322
result/tencentBlock.ns22175.oracleGeneral.zst LIRS cache size       86, 1050312 req, miss ratio 0.2124, byte miss ratio 0.2124
result/tencentBlock.ns22175.oracleGeneral.zst LIRS cache size      289, 1050312 req, miss ratio 0.0089, byte miss ratio 0.0089
result/tencentBlock.ns22175.oracleGeneral.zst LIRS cache size      579, 1050312 req, miss ratio 0.0069, byte miss ratio 0.0069
result/tencentBlock.ns22175.oracleGeneral.zst LIRS cache size     1158, 1050312 req, miss ratio 0.0058, byte miss ratio 0.0058
result/tencentBlock.ns22175.oracleGeneral.zst LIRS cache size     2316, 1050312 req, miss ratio 0.0037, byte miss ratio 0.0037
result/tencentBlock.ns22175.oracleGeneral.zst Cacheus cache size        8, 1050312 req, miss ratio 0.7325, byte miss ratio 0.7325
result/tencentBlock.ns22175.oracleGeneral.zst Cacheus cache size       28, 1050312 req, miss ratio 0.6411, byte miss ratio 0.6411
result/tencentBlock.ns22175.oracleGeneral.zst Cacheus cache size       86, 1050312 req, miss ratio 0.4027, byte miss ratio 0.4027
result/tencentBlock.ns22175.oracleGeneral.zst Cacheus cache size      289, 1050312 req, miss ratio 0.0108, byte miss ratio 0.0108
result/tencentBlock.ns22175.oracleGeneral.zst Cacheus cache size      579, 1050312 req, miss ratio 0.0061, byte miss ratio 0.0061
result/tencentBlock.ns22175.oracleGeneral.zst Cacheus cache size     1158, 1050312 req, miss ratio 0.0050, byte miss ratio 0.0050
result/tencentBlock.ns22175.oracleGeneral.zst Cacheus cache size     2316, 1050312 req, miss ratio 0.0045, byte miss ratio 0.0045
result/tencentBlock.ns22175.oracleGeneral.zst S3FIFO-1 cache size        8, 1050312 req, miss ratio 1.0000, byte miss ratio 1.0000
result/tencentBlock.ns22175.oracleGeneral.zst S3FIFO-1 cache size       28, 1050312 req, miss ratio 0.7058, byte miss ratio 0.7058
result/tencentBlock.ns22175.oracleGeneral.zst S3FIFO-1 cache size       86, 1050312 req, miss ratio 0.3596, byte miss ratio 0.3596
result/tencentBlock.ns22175.oracleGeneral.zst S3FIFO-1 cache size      289, 1050312 req, miss ratio 0.0096, byte miss ratio 0.0096
result/tencentBlock.ns22175.oracleGeneral.zst S3FIFO-1 cache size      579, 1050312 req, miss ratio 0.0066, byte miss ratio 0.0066
result/tencentBlock.ns22175.oracleGeneral.zst S3FIFO-1 cache size     1158, 1050312 req, miss ratio 0.0053, byte miss ratio 0.0053
result/tencentBlock.ns22175.oracleGeneral.zst S3FIFO-1 cache size     2316, 1050312 req, miss ratio 0.0044, byte miss ratio 0.0044
result/tencentBlock.ns22175.oracleGeneral.zst LHD cache size        8, 1050312 req, miss ratio 0.7325, byte miss ratio 0.7325
result/tencentBlock.ns22175.oracleGeneral.zst LHD cache size       28, 1050312 req, miss ratio 0.5906, byte miss ratio 0.5906
result/tencentBlock.ns22175.oracleGeneral.zst LHD cache size       86, 1050312 req, miss ratio 0.2202, byte miss ratio 0.2202
result/tencentBlock.ns22175.oracleGeneral.zst LHD cache size      289, 1050312 req, miss ratio 0.0095, byte miss ratio 0.0095
result/tencentBlock.ns22175.oracleGeneral.zst LHD cache size      579, 1050312 req, miss ratio 0.0062, byte miss ratio 0.0062
result/tencentBlock.ns22175.oracleGeneral.zst LHD cache size     1158, 1050312 req, miss ratio 0.0056, byte miss ratio 0.0056
result/tencentBlock.ns22175.oracleGeneral.zst LHD cache size     2316, 1050312 req, miss ratio 0.0045, byte miss ratio 0.0045
result/tencentBlock.ns22175.oracleGeneral.zst ARC cache size        8, 1050312 req, miss ratio 0.7325, byte miss ratio 0.7325
result/tencentBlock.ns22175.oracleGeneral.zst ARC cache size       28, 1050312 req, miss ratio 0.7322, byte miss ratio 0.7322
result/tencentBlock.ns22175.oracleGeneral.zst ARC cache size       86, 1050312 req, miss ratio 0.7244, byte miss ratio 0.7244
result/tencentBlock.ns22175.oracleGeneral.zst ARC cache size      289, 1050312 req, miss ratio 0.0105, byte miss ratio 0.0105
result/tencentBlock.ns22175.oracleGeneral.zst ARC cache size      579, 1050312 req, miss ratio 0.0063, byte miss ratio 0.0063
result/tencentBlock.ns22175.oracleGeneral.zst ARC cache size     1158, 1050312 req, miss ratio 0.0053, byte miss ratio 0.0053
result/tencentBlock.ns22175.oracleGeneral.zst ARC cache size     2316, 1050312 req, miss ratio 0.0046, byte miss ratio 0.0046
result/tencentBlock.ns22175.oracleGeneral.zst clock2 cache size        8, 1050312 req, miss ratio 0.7326, byte miss ratio 0.7326
result/tencentBlock.ns22175.oracleGeneral.zst clock2 cache size       28, 1050312 req, miss ratio 0.7323, byte miss ratio 0.7323
result/tencentBlock.ns22175.oracleGeneral.zst clock2 cache size       86, 1050312 req, miss ratio 0.5430, byte miss ratio 0.5430
result/tencentBlock.ns22175.oracleGeneral.zst clock2 cache size      289, 1050312 req, miss ratio 0.0098, byte miss ratio 0.0098
result/tencentBlock.ns22175.oracleGeneral.zst clock2 cache size      579, 1050312 req, miss ratio 0.0063, byte miss ratio 0.0063
result/tencentBlock.ns22175.oracleGeneral.zst clock2 cache size     1158, 1050312 req, miss ratio 0.0055, byte miss ratio 0.0055
result/tencentBlock.ns22175.oracleGeneral.zst clock2 cache size     2316, 1050312 req, miss ratio 0.0044, byte miss ratio 0.0044
result/tencentBlock.ns22175.oracleGeneral.zst FIFO cache size        8, 1050312 req, miss ratio 0.7326, byte miss ratio 0.7326
result/tencentBlock.ns22175.oracleGeneral.zst FIFO cache size       28, 1050312 req, miss ratio 0.7323, byte miss ratio 0.7323
result/tencentBlock.ns22175.oracleGeneral.zst FIFO cache size       86, 1050312 req, miss ratio 0.7317, byte miss ratio 0.7317
result/tencentBlock.ns22175.oracleGeneral.zst FIFO cache size      289, 1050312 req, miss ratio 0.0140, byte miss ratio 0.0140
result/tencentBlock.ns22175.oracleGeneral.zst FIFO cache size      579, 1050312 req, miss ratio 0.0073, byte miss ratio 0.0073
result/tencentBlock.ns22175.oracleGeneral.zst FIFO cache size     1158, 1050312 req, miss ratio 0.0062, byte miss ratio 0.0062
result/tencentBlock.ns22175.oracleGeneral.zst FIFO cache size     2316, 1050312 req, miss ratio 0.0058, byte miss ratio 0.0058
result/tencentBlock.ns22175.oracleGeneral.zst LRU cache size        8, 1050312 req, miss ratio 0.7326, byte miss ratio 0.7326
result/tencentBlock.ns22175.oracleGeneral.zst LRU cache size       28, 1050312 req, miss ratio 0.7323, byte miss ratio 0.7323
result/tencentBlock.ns22175.oracleGeneral.zst LRU cache size       86, 1050312 req, miss ratio 0.7317, byte miss ratio 0.7317
result/tencentBlock.ns22175.oracleGeneral.zst LRU cache size      289, 1050312 req, miss ratio 0.0115, byte miss ratio 0.0115
result/tencentBlock.ns22175.oracleGeneral.zst LRU cache size      579, 1050312 req, miss ratio 0.0060, byte miss ratio 0.0060
result/tencentBlock.ns22175.oracleGeneral.zst LRU cache size     1158, 1050312 req, miss ratio 0.0056, byte miss ratio 0.0056
result/tencentBlock.ns22175.oracleGeneral.zst LRU cache size     2316, 1050312 req, miss ratio 0.0054, byte miss ratio 0.0054
result/tencentBlock.ns22175.oracleGeneral.zst S3FIFO-d-1 cache size        8, 1050312 req, miss ratio 1.0000, byte miss ratio 1.0000
result/tencentBlock.ns22175.oracleGeneral.zst S3FIFO-d-1 cache size       28, 1050312 req, miss ratio 0.7018, byte miss ratio 0.7018
result/tencentBlock.ns22175.oracleGeneral.zst S3FIFO-d-1 cache size       86, 1050312 req, miss ratio 0.3753, byte miss ratio 0.3753
result/tencentBlock.ns22175.oracleGeneral.zst S3FIFO-d-1 cache size      289, 1050312 req, miss ratio 0.0096, byte miss ratio 0.0096
result/tencentBlock.ns22175.oracleGeneral.zst S3FIFO-d-1 cache size      579, 1050312 req, miss ratio 0.0066, byte miss ratio 0.0066
result/tencentBlock.ns22175.oracleGeneral.zst S3FIFO-d-1 cache size     1158, 1050312 req, miss ratio 0.0053, byte miss ratio 0.0053
result/tencentBlock.ns22175.oracleGeneral.zst S3FIFO-d-1 cache size     2316, 1050312 req, miss ratio 0.0044, byte miss ratio 0.0044
result/tencentBlock.ns22175.oracleGeneral.zst LRB cache size        8, 1050312 req, miss ratio 0.7146, byte miss ratio 0.7146
result/tencentBlock.ns22175.oracleGeneral.zst LRB cache size       28, 1050312 req, miss ratio 0.6485, byte miss ratio 0.6485
result/tencentBlock.ns22175.oracleGeneral.zst LRB cache size       86, 1050312 req, miss ratio 0.4591, byte miss ratio 0.4591
result/tencentBlock.ns22175.oracleGeneral.zst LRB cache size      289, 1050312 req, miss ratio 0.0475, byte miss ratio 0.0475
result/tencentBlock.ns22175.oracleGeneral.zst LRB cache size      579, 1050312 req, miss ratio 0.0061, byte miss ratio 0.0061
result/tencentBlock.ns22175.oracleGeneral.zst LRB cache size     1158, 1050312 req, miss ratio 0.0058, byte miss ratio 0.0058
result/tencentBlock.ns22175.oracleGeneral.zst LRB cache size     2316, 1050312 req, miss ratio 0.0039, byte miss ratio 0.0039
result/tencentBlock.ns22175.oracleGeneral.zst S4LRU(25:25:25:25) cache size        8, 1050312 req, miss ratio 0.7104, byte miss ratio 0.7104
result/tencentBlock.ns22175.oracleGeneral.zst S4LRU(25:25:25:25) cache size       28, 1050312 req, miss ratio 0.6808, byte miss ratio 0.6808
result/tencentBlock.ns22175.oracleGeneral.zst S4LRU(25:25:25:25) cache size       86, 1050312 req, miss ratio 0.4941, byte miss ratio 0.4941
