result/tencentBlock.ns22437.oracleGeneral.zst LHD cache size      155, 1611766 req, miss ratio 0.4238, byte miss ratio 0.4238
result/tencentBlock.ns22437.oracleGeneral.zst LHD cache size      466, 1611766 req, miss ratio 0.3586, byte miss ratio 0.3586
result/tencentBlock.ns22437.oracleGeneral.zst LHD cache size     1554, 1611766 req, miss ratio 0.3544, byte miss ratio 0.3544
result/tencentBlock.ns22437.oracleGeneral.zst LHD cache size     4662, 1611766 req, miss ratio 0.3495, byte miss ratio 0.3495
result/tencentBlock.ns22437.oracleGeneral.zst LHD cache size    15540, 1611766 req, miss ratio 0.2974, byte miss ratio 0.2974
result/tencentBlock.ns22437.oracleGeneral.zst LHD cache size    31081, 1611766 req, miss ratio 0.2382, byte miss ratio 0.2382
result/tencentBlock.ns22437.oracleGeneral.zst LHD cache size    62163, 1611766 req, miss ratio 0.1551, byte miss ratio 0.1551
result/tencentBlock.ns22437.oracleGeneral.zst LHD cache size   124326, 1611766 req, miss ratio 0.1033, byte miss ratio 0.1033
result/tencentBlock.ns22437.oracleGeneral.zst LIRS cache size      155, 1611766 req, miss ratio 0.4676, byte miss ratio 0.4676
result/tencentBlock.ns22437.oracleGeneral.zst LIRS cache size      466, 1611766 req, miss ratio 0.4258, byte miss ratio 0.4258
result/tencentBlock.ns22437.oracleGeneral.zst LIRS cache size     1554, 1611766 req, miss ratio 0.3553, byte miss ratio 0.3553
result/tencentBlock.ns22437.oracleGeneral.zst LIRS cache size     4662, 1611766 req, miss ratio 0.3519, byte miss ratio 0.3519
result/tencentBlock.ns22437.oracleGeneral.zst LIRS cache size    15540, 1611766 req, miss ratio 0.3095, byte miss ratio 0.3095
result/tencentBlock.ns22437.oracleGeneral.zst LIRS cache size    31081, 1611766 req, miss ratio 0.2624, byte miss ratio 0.2624
result/tencentBlock.ns22437.oracleGeneral.zst LIRS cache size    62163, 1611766 req, miss ratio 0.1623, byte miss ratio 0.1623
result/tencentBlock.ns22437.oracleGeneral.zst LIRS cache size   124326, 1611766 req, miss ratio 0.1026, byte miss ratio 0.1026
result/tencentBlock.ns22437.oracleGeneral.zst Cacheus cache size      155, 1611766 req, miss ratio 0.3648, byte miss ratio 0.3648
result/tencentBlock.ns22437.oracleGeneral.zst Cacheus cache size      466, 1611766 req, miss ratio 0.3573, byte miss ratio 0.3573
result/tencentBlock.ns22437.oracleGeneral.zst Cacheus cache size     1554, 1611766 req, miss ratio 0.3539, byte miss ratio 0.3539
result/tencentBlock.ns22437.oracleGeneral.zst Cacheus cache size     4662, 1611766 req, miss ratio 0.3529, byte miss ratio 0.3529
result/tencentBlock.ns22437.oracleGeneral.zst Cacheus cache size    15540, 1611766 req, miss ratio 0.3170, byte miss ratio 0.3170
result/tencentBlock.ns22437.oracleGeneral.zst Cacheus cache size    31081, 1611766 req, miss ratio 0.2523, byte miss ratio 0.2523
result/tencentBlock.ns22437.oracleGeneral.zst Cacheus cache size    62163, 1611766 req, miss ratio 0.1542, byte miss ratio 0.1542
result/tencentBlock.ns22437.oracleGeneral.zst Cacheus cache size   124326, 1611766 req, miss ratio 0.1033, byte miss ratio 0.1033
result/tencentBlock.ns22437.oracleGeneral.zst Clock cache size      155, 1611766 req, miss ratio 0.3704, byte miss ratio 0.3704
result/tencentBlock.ns22437.oracleGeneral.zst Clock cache size      466, 1611766 req, miss ratio 0.3586, byte miss ratio 0.3586
result/tencentBlock.ns22437.oracleGeneral.zst Clock cache size     1554, 1611766 req, miss ratio 0.3551, byte miss ratio 0.3551
result/tencentBlock.ns22437.oracleGeneral.zst Clock cache size     4662, 1611766 req, miss ratio 0.3531, byte miss ratio 0.3531
result/tencentBlock.ns22437.oracleGeneral.zst Clock cache size    15540, 1611766 req, miss ratio 0.3117, byte miss ratio 0.3117
result/tencentBlock.ns22437.oracleGeneral.zst Clock cache size    31081, 1611766 req, miss ratio 0.2649, byte miss ratio 0.2649
result/tencentBlock.ns22437.oracleGeneral.zst Clock cache size    62163, 1611766 req, miss ratio 0.1743, byte miss ratio 0.1743
result/tencentBlock.ns22437.oracleGeneral.zst Clock cache size   124326, 1611766 req, miss ratio 0.1096, byte miss ratio 0.1096
result/tencentBlock.ns22437.oracleGeneral.zst LRU cache size      155, 1611766 req, miss ratio 0.3698, byte miss ratio 0.3698
result/tencentBlock.ns22437.oracleGeneral.zst LRU cache size      466, 1611766 req, miss ratio 0.3583, byte miss ratio 0.3583
result/tencentBlock.ns22437.oracleGeneral.zst LRU cache size     1554, 1611766 req, miss ratio 0.3550, byte miss ratio 0.3550
result/tencentBlock.ns22437.oracleGeneral.zst LRU cache size     4662, 1611766 req, miss ratio 0.3530, byte miss ratio 0.3530
result/tencentBlock.ns22437.oracleGeneral.zst LRU cache size    15540, 1611766 req, miss ratio 0.2967, byte miss ratio 0.2967
result/tencentBlock.ns22437.oracleGeneral.zst LRU cache size    31081, 1611766 req, miss ratio 0.2462, byte miss ratio 0.2462
result/tencentBlock.ns22437.oracleGeneral.zst LRU cache size    62163, 1611766 req, miss ratio 0.1521, byte miss ratio 0.1521
result/tencentBlock.ns22437.oracleGeneral.zst LRU cache size   124326, 1611766 req, miss ratio 0.1035, byte miss ratio 0.1035
result/tencentBlock.ns22437.oracleGeneral.zst S3FIFO-1 cache size      155, 1611766 req, miss ratio 0.3643, byte miss ratio 0.3643
result/tencentBlock.ns22437.oracleGeneral.zst S3FIFO-1 cache size      466, 1611766 req, miss ratio 0.3559, byte miss ratio 0.3559
result/tencentBlock.ns22437.oracleGeneral.zst S3FIFO-1 cache size     1554, 1611766 req, miss ratio 0.3534, byte miss ratio 0.3534
result/tencentBlock.ns22437.oracleGeneral.zst S3FIFO-1 cache size     4662, 1611766 req, miss ratio 0.3527, byte miss ratio 0.3527
result/tencentBlock.ns22437.oracleGeneral.zst S3FIFO-1 cache size    15540, 1611766 req, miss ratio 0.3093, byte miss ratio 0.3093
result/tencentBlock.ns22437.oracleGeneral.zst S3FIFO-1 cache size    31081, 1611766 req, miss ratio 0.2527, byte miss ratio 0.2527
result/tencentBlock.ns22437.oracleGeneral.zst S3FIFO-1 cache size    62163, 1611766 req, miss ratio 0.1531, byte miss ratio 0.1531
result/tencentBlock.ns22437.oracleGeneral.zst S3FIFO-1 cache size   124326, 1611766 req, miss ratio 0.1105, byte miss ratio 0.1105
result/tencentBlock.ns22437.oracleGeneral.zst ARC cache size      155, 1611766 req, miss ratio 0.3645, byte miss ratio 0.3645
result/tencentBlock.ns22437.oracleGeneral.zst ARC cache size      466, 1611766 req, miss ratio 0.3571, byte miss ratio 0.3571
result/tencentBlock.ns22437.oracleGeneral.zst ARC cache size     1554, 1611766 req, miss ratio 0.3536, byte miss ratio 0.3536
result/tencentBlock.ns22437.oracleGeneral.zst ARC cache size     4662, 1611766 req, miss ratio 0.3530, byte miss ratio 0.3530
result/tencentBlock.ns22437.oracleGeneral.zst ARC cache size    15540, 1611766 req, miss ratio 0.3029, byte miss ratio 0.3029
result/tencentBlock.ns22437.oracleGeneral.zst ARC cache size    31081, 1611766 req, miss ratio 0.2442, byte miss ratio 0.2442
result/tencentBlock.ns22437.oracleGeneral.zst ARC cache size    62163, 1611766 req, miss ratio 0.1535, byte miss ratio 0.1535
result/tencentBlock.ns22437.oracleGeneral.zst ARC cache size   124326, 1611766 req, miss ratio 0.1028, byte miss ratio 0.1028
result/tencentBlock.ns22437.oracleGeneral.zst FIFO cache size      155, 1611766 req, miss ratio 0.4209, byte miss ratio 0.4209
result/tencentBlock.ns22437.oracleGeneral.zst FIFO cache size      466, 1611766 req, miss ratio 0.3792, byte miss ratio 0.3792
result/tencentBlock.ns22437.oracleGeneral.zst FIFO cache size     1554, 1611766 req, miss ratio 0.3624, byte miss ratio 0.3624
result/tencentBlock.ns22437.oracleGeneral.zst FIFO cache size     4662, 1611766 req, miss ratio 0.3561, byte miss ratio 0.3561
result/tencentBlock.ns22437.oracleGeneral.zst FIFO cache size    15540, 1611766 req, miss ratio 0.3119, byte miss ratio 0.3119
result/tencentBlock.ns22437.oracleGeneral.zst FIFO cache size    31081, 1611766 req, miss ratio 0.2656, byte miss ratio 0.2656
