result/tencentBlock.ns23689.oracleGeneral.zst clock2 cache size     3609, 14503139 req, miss ratio 0.6516, byte miss ratio 0.6516
result/tencentBlock.ns23689.oracleGeneral.zst clock2 cache size    10827, 14503139 req, miss ratio 0.6127, byte miss ratio 0.6127
result/tencentBlock.ns23689.oracleGeneral.zst clock2 cache size    36091, 14503139 req, miss ratio 0.4588, byte miss ratio 0.4588
result/tencentBlock.ns23689.oracleGeneral.zst clock2 cache size   108273, 14503139 req, miss ratio 0.3226, byte miss ratio 0.3226
result/tencentBlock.ns23689.oracleGeneral.zst clock2 cache size   360913, 14503139 req, miss ratio 0.2645, byte miss ratio 0.2645
result/tencentBlock.ns23689.oracleGeneral.zst clock2 cache size   721826, 14503139 req, miss ratio 0.2579, byte miss ratio 0.2579
result/tencentBlock.ns23689.oracleGeneral.zst clock2 cache size  1443652, 14503139 req, miss ratio 0.2499, byte miss ratio 0.2499
result/tencentBlock.ns23689.oracleGeneral.zst clock2 cache size  2887304, 14503139 req, miss ratio 0.2490, byte miss ratio 0.2490
result/tencentBlock.ns23689.oracleGeneral.zst LIRS cache size     3609, 14503139 req, miss ratio 0.6389, byte miss ratio 0.6389
result/tencentBlock.ns23689.oracleGeneral.zst LIRS cache size    10827, 14503139 req, miss ratio 0.6135, byte miss ratio 0.6135
result/tencentBlock.ns23689.oracleGeneral.zst LIRS cache size    36091, 14503139 req, miss ratio 0.4221, byte miss ratio 0.4221
result/tencentBlock.ns23689.oracleGeneral.zst LIRS cache size   108273, 14503139 req, miss ratio 0.3009, byte miss ratio 0.3009
result/tencentBlock.ns23689.oracleGeneral.zst LIRS cache size   360913, 14503139 req, miss ratio 0.2775, byte miss ratio 0.2775
result/tencentBlock.ns23689.oracleGeneral.zst LIRS cache size   721826, 14503139 req, miss ratio 0.2671, byte miss ratio 0.2671
result/tencentBlock.ns23689.oracleGeneral.zst LIRS cache size  1443652, 14503139 req, miss ratio 0.2570, byte miss ratio 0.2570
result/tencentBlock.ns23689.oracleGeneral.zst LIRS cache size  2887304, 14503139 req, miss ratio 0.2531, byte miss ratio 0.2531
result/tencentBlock.ns23689.oracleGeneral.zst LeCaR cache size     3609, 14503139 req, miss ratio 0.6531, byte miss ratio 0.6531
result/tencentBlock.ns23689.oracleGeneral.zst LeCaR cache size    10827, 14503139 req, miss ratio 0.6140, byte miss ratio 0.6140
result/tencentBlock.ns23689.oracleGeneral.zst LeCaR cache size    36091, 14503139 req, miss ratio 0.4438, byte miss ratio 0.4438
result/tencentBlock.ns23689.oracleGeneral.zst LeCaR cache size   108273, 14503139 req, miss ratio 0.3206, byte miss ratio 0.3206
result/tencentBlock.ns23689.oracleGeneral.zst LeCaR cache size   360913, 14503139 req, miss ratio 0.2666, byte miss ratio 0.2666
result/tencentBlock.ns23689.oracleGeneral.zst LeCaR cache size   721826, 14503139 req, miss ratio 0.2580, byte miss ratio 0.2580
result/tencentBlock.ns23689.oracleGeneral.zst LeCaR cache size  1443652, 14503139 req, miss ratio 0.2499, byte miss ratio 0.2499
result/tencentBlock.ns23689.oracleGeneral.zst LeCaR cache size  2887304, 14503139 req, miss ratio 0.2490, byte miss ratio 0.2490
result/tencentBlock.ns23689.oracleGeneral.zst LHD cache size     3609, 14503139 req, miss ratio 0.6463, byte miss ratio 0.6463
result/tencentBlock.ns23689.oracleGeneral.zst LHD cache size    10827, 14503139 req, miss ratio 0.6068, byte miss ratio 0.6068
result/tencentBlock.ns23689.oracleGeneral.zst LHD cache size    36091, 14503139 req, miss ratio 0.4297, byte miss ratio 0.4297
result/tencentBlock.ns23689.oracleGeneral.zst LHD cache size   108273, 14503139 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tencentBlock.ns23689.oracleGeneral.zst LHD cache size   360913, 14503139 req, miss ratio 0.2710, byte miss ratio 0.2710
result/tencentBlock.ns23689.oracleGeneral.zst LHD cache size   721826, 14503139 req, miss ratio 0.2604, byte miss ratio 0.2604
result/tencentBlock.ns23689.oracleGeneral.zst LHD cache size  1443652, 14503139 req, miss ratio 0.2527, byte miss ratio 0.2527
result/tencentBlock.ns23689.oracleGeneral.zst LHD cache size  2887304, 14503139 req, miss ratio 0.2491, byte miss ratio 0.2491
result/tencentBlock.ns23689.oracleGeneral.zst Clock cache size     3609, 14503139 req, miss ratio 0.6593, byte miss ratio 0.6593
result/tencentBlock.ns23689.oracleGeneral.zst Clock cache size    10827, 14503139 req, miss ratio 0.6163, byte miss ratio 0.6163
result/tencentBlock.ns23689.oracleGeneral.zst Clock cache size    36091, 14503139 req, miss ratio 0.4615, byte miss ratio 0.4615
result/tencentBlock.ns23689.oracleGeneral.zst Clock cache size   108273, 14503139 req, miss ratio 0.3247, byte miss ratio 0.3247
result/tencentBlock.ns23689.oracleGeneral.zst Clock cache size   360913, 14503139 req, miss ratio 0.2658, byte miss ratio 0.2658
