result/tencentBlock.ns23707.oracleGeneral.zst LeCaR cache size     1175, 5213615 req, miss ratio 0.5013, byte miss ratio 0.5013
result/tencentBlock.ns23707.oracleGeneral.zst LeCaR cache size     3527, 5213615 req, miss ratio 0.4072, byte miss ratio 0.4072
result/tencentBlock.ns23707.oracleGeneral.zst LeCaR cache size    11757, 5213615 req, miss ratio 0.3801, byte miss ratio 0.3801
result/tencentBlock.ns23707.oracleGeneral.zst LeCaR cache size    35271, 5213615 req, miss ratio 0.3404, byte miss ratio 0.3404
result/tencentBlock.ns23707.oracleGeneral.zst LeCaR cache size   117570, 5213615 req, miss ratio 0.2990, byte miss ratio 0.2990
result/tencentBlock.ns23707.oracleGeneral.zst LeCaR cache size   235140, 5213615 req, miss ratio 0.2619, byte miss ratio 0.2619
result/tencentBlock.ns23707.oracleGeneral.zst LeCaR cache size   470280, 5213615 req, miss ratio 0.2352, byte miss ratio 0.2352
result/tencentBlock.ns23707.oracleGeneral.zst LeCaR cache size   940560, 5213615 req, miss ratio 0.2261, byte miss ratio 0.2261
result/tencentBlock.ns23707.oracleGeneral.zst LHD cache size     1175, 5213615 req, miss ratio 0.4936, byte miss ratio 0.4936
result/tencentBlock.ns23707.oracleGeneral.zst LHD cache size     3527, 5213615 req, miss ratio 0.4042, byte miss ratio 0.4042
result/tencentBlock.ns23707.oracleGeneral.zst LHD cache size    11757, 5213615 req, miss ratio 0.3723, byte miss ratio 0.3723
result/tencentBlock.ns23707.oracleGeneral.zst LHD cache size    35271, 5213615 req, miss ratio 0.3360, byte miss ratio 0.3360
result/tencentBlock.ns23707.oracleGeneral.zst LHD cache size   117570, 5213615 req, miss ratio 0.2888, byte miss ratio 0.2888
result/tencentBlock.ns23707.oracleGeneral.zst LHD cache size   235140, 5213615 req, miss ratio 0.2617, byte miss ratio 0.2617
result/tencentBlock.ns23707.oracleGeneral.zst LHD cache size   470280, 5213615 req, miss ratio 0.2415, byte miss ratio 0.2415
result/tencentBlock.ns23707.oracleGeneral.zst LHD cache size   940560, 5213615 req, miss ratio 0.2270, byte miss ratio 0.2270
