result/tencentBlock.ns3162.oracleGeneral.zst LeCaR cache size       90, 1827413 req, miss ratio 0.3369, byte miss ratio 0.3369
result/tencentBlock.ns3162.oracleGeneral.zst LeCaR cache size      272, 1827413 req, miss ratio 0.3128, byte miss ratio 0.3128
result/tencentBlock.ns3162.oracleGeneral.zst LeCaR cache size      908, 1827413 req, miss ratio 0.2971, byte miss ratio 0.2971
result/tencentBlock.ns3162.oracleGeneral.zst LeCaR cache size     2725, 1827413 req, miss ratio 0.2049, byte miss ratio 0.2049
result/tencentBlock.ns3162.oracleGeneral.zst LeCaR cache size     9084, 1827413 req, miss ratio 0.1421, byte miss ratio 0.1421
result/tencentBlock.ns3162.oracleGeneral.zst LeCaR cache size    18169, 1827413 req, miss ratio 0.1137, byte miss ratio 0.1137
result/tencentBlock.ns3162.oracleGeneral.zst LeCaR cache size    36338, 1827413 req, miss ratio 0.0594, byte miss ratio 0.0594
result/tencentBlock.ns3162.oracleGeneral.zst LeCaR cache size    72677, 1827413 req, miss ratio 0.0501, byte miss ratio 0.0501
result/tencentBlock.ns3162.oracleGeneral.zst FIFO cache size       90, 1827413 req, miss ratio 0.4009, byte miss ratio 0.4009
result/tencentBlock.ns3162.oracleGeneral.zst FIFO cache size      272, 1827413 req, miss ratio 0.3400, byte miss ratio 0.3400
result/tencentBlock.ns3162.oracleGeneral.zst FIFO cache size      908, 1827413 req, miss ratio 0.3132, byte miss ratio 0.3132
result/tencentBlock.ns3162.oracleGeneral.zst FIFO cache size     2725, 1827413 req, miss ratio 0.2318, byte miss ratio 0.2318
result/tencentBlock.ns3162.oracleGeneral.zst FIFO cache size     9084, 1827413 req, miss ratio 0.1721, byte miss ratio 0.1721
result/tencentBlock.ns3162.oracleGeneral.zst FIFO cache size    18169, 1827413 req, miss ratio 0.1269, byte miss ratio 0.1269
result/tencentBlock.ns3162.oracleGeneral.zst FIFO cache size    36338, 1827413 req, miss ratio 0.0796, byte miss ratio 0.0796
result/tencentBlock.ns3162.oracleGeneral.zst FIFO cache size    72677, 1827413 req, miss ratio 0.0619, byte miss ratio 0.0619
