result/tencentBlock.ns3600.oracleGeneral.zst ARC cache size       44, 1841858 req, miss ratio 0.3065, byte miss ratio 0.3065
result/tencentBlock.ns3600.oracleGeneral.zst ARC cache size      133, 1841858 req, miss ratio 0.2377, byte miss ratio 0.2377
result/tencentBlock.ns3600.oracleGeneral.zst ARC cache size      445, 1841858 req, miss ratio 0.1354, byte miss ratio 0.1354
result/tencentBlock.ns3600.oracleGeneral.zst ARC cache size     1337, 1841858 req, miss ratio 0.1195, byte miss ratio 0.1195
result/tencentBlock.ns3600.oracleGeneral.zst ARC cache size     4459, 1841858 req, miss ratio 0.0853, byte miss ratio 0.0853
result/tencentBlock.ns3600.oracleGeneral.zst ARC cache size     8919, 1841858 req, miss ratio 0.0772, byte miss ratio 0.0772
result/tencentBlock.ns3600.oracleGeneral.zst ARC cache size    17839, 1841858 req, miss ratio 0.0478, byte miss ratio 0.0478
result/tencentBlock.ns3600.oracleGeneral.zst ARC cache size    35678, 1841858 req, miss ratio 0.0253, byte miss ratio 0.0253
result/tencentBlock.ns3600.oracleGeneral.zst S3FIFO-1 cache size       44, 1841858 req, miss ratio 0.3306, byte miss ratio 0.3306
result/tencentBlock.ns3600.oracleGeneral.zst S3FIFO-1 cache size      133, 1841858 req, miss ratio 0.2251, byte miss ratio 0.2251
result/tencentBlock.ns3600.oracleGeneral.zst S3FIFO-1 cache size      445, 1841858 req, miss ratio 0.1351, byte miss ratio 0.1351
result/tencentBlock.ns3600.oracleGeneral.zst S3FIFO-1 cache size     1337, 1841858 req, miss ratio 0.1163, byte miss ratio 0.1163
result/tencentBlock.ns3600.oracleGeneral.zst S3FIFO-1 cache size     4459, 1841858 req, miss ratio 0.0832, byte miss ratio 0.0832
result/tencentBlock.ns3600.oracleGeneral.zst S3FIFO-1 cache size     8919, 1841858 req, miss ratio 0.0742, byte miss ratio 0.0742
result/tencentBlock.ns3600.oracleGeneral.zst S3FIFO-1 cache size    17839, 1841858 req, miss ratio 0.0481, byte miss ratio 0.0481
result/tencentBlock.ns3600.oracleGeneral.zst S3FIFO-1 cache size    35678, 1841858 req, miss ratio 0.0254, byte miss ratio 0.0254
result/tencentBlock.ns3600.oracleGeneral.zst LeCaR cache size       44, 1841858 req, miss ratio 0.4129, byte miss ratio 0.4129
result/tencentBlock.ns3600.oracleGeneral.zst LeCaR cache size      133, 1841858 req, miss ratio 0.2578, byte miss ratio 0.2578
result/tencentBlock.ns3600.oracleGeneral.zst LeCaR cache size      445, 1841858 req, miss ratio 0.1446, byte miss ratio 0.1446
result/tencentBlock.ns3600.oracleGeneral.zst LeCaR cache size     1337, 1841858 req, miss ratio 0.1265, byte miss ratio 0.1265
result/tencentBlock.ns3600.oracleGeneral.zst LeCaR cache size     4459, 1841858 req, miss ratio 0.0866, byte miss ratio 0.0866
result/tencentBlock.ns3600.oracleGeneral.zst LeCaR cache size     8919, 1841858 req, miss ratio 0.0767, byte miss ratio 0.0767
result/tencentBlock.ns3600.oracleGeneral.zst LeCaR cache size    17839, 1841858 req, miss ratio 0.0483, byte miss ratio 0.0483
result/tencentBlock.ns3600.oracleGeneral.zst LeCaR cache size    35678, 1841858 req, miss ratio 0.0257, byte miss ratio 0.0257
result/tencentBlock.ns3600.oracleGeneral.zst LRU cache size       44, 1841858 req, miss ratio 0.4226, byte miss ratio 0.4226
result/tencentBlock.ns3600.oracleGeneral.zst LRU cache size      133, 1841858 req, miss ratio 0.2761, byte miss ratio 0.2761
result/tencentBlock.ns3600.oracleGeneral.zst LRU cache size      445, 1841858 req, miss ratio 0.1470, byte miss ratio 0.1470
result/tencentBlock.ns3600.oracleGeneral.zst LRU cache size     1337, 1841858 req, miss ratio 0.1284, byte miss ratio 0.1284
result/tencentBlock.ns3600.oracleGeneral.zst LRU cache size     4459, 1841858 req, miss ratio 0.0896, byte miss ratio 0.0896
result/tencentBlock.ns3600.oracleGeneral.zst LRU cache size     8919, 1841858 req, miss ratio 0.0763, byte miss ratio 0.0763
result/tencentBlock.ns3600.oracleGeneral.zst LRU cache size    17839, 1841858 req, miss ratio 0.0496, byte miss ratio 0.0496
result/tencentBlock.ns3600.oracleGeneral.zst LRU cache size    35678, 1841858 req, miss ratio 0.0264, byte miss ratio 0.0264
result/tencentBlock.ns3600.oracleGeneral.zst LHD cache size       44, 1841858 req, miss ratio 0.4287, byte miss ratio 0.4287
result/tencentBlock.ns3600.oracleGeneral.zst LHD cache size      133, 1841858 req, miss ratio 0.2243, byte miss ratio 0.2243
result/tencentBlock.ns3600.oracleGeneral.zst LHD cache size      445, 1841858 req, miss ratio 0.1422, byte miss ratio 0.1422
result/tencentBlock.ns3600.oracleGeneral.zst LHD cache size     1337, 1841858 req, miss ratio 0.1231, byte miss ratio 0.1231
result/tencentBlock.ns3600.oracleGeneral.zst LHD cache size     4459, 1841858 req, miss ratio 0.0851, byte miss ratio 0.0851
result/tencentBlock.ns3600.oracleGeneral.zst LHD cache size     8919, 1841858 req, miss ratio 0.0745, byte miss ratio 0.0745
result/tencentBlock.ns3600.oracleGeneral.zst LHD cache size    17839, 1841858 req, miss ratio 0.0482, byte miss ratio 0.0482
result/tencentBlock.ns3600.oracleGeneral.zst LHD cache size    35678, 1841858 req, miss ratio 0.0262, byte miss ratio 0.0262
result/tencentBlock.ns3600.oracleGeneral.zst Clock cache size       44, 1841858 req, miss ratio 0.4166, byte miss ratio 0.4166
result/tencentBlock.ns3600.oracleGeneral.zst Clock cache size      133, 1841858 req, miss ratio 0.2726, byte miss ratio 0.2726
result/tencentBlock.ns3600.oracleGeneral.zst Clock cache size      445, 1841858 req, miss ratio 0.1469, byte miss ratio 0.1469
result/tencentBlock.ns3600.oracleGeneral.zst Clock cache size     1337, 1841858 req, miss ratio 0.1278, byte miss ratio 0.1278
result/tencentBlock.ns3600.oracleGeneral.zst Clock cache size     4459, 1841858 req, miss ratio 0.0896, byte miss ratio 0.0896
result/tencentBlock.ns3600.oracleGeneral.zst Clock cache size     8919, 1841858 req, miss ratio 0.0796, byte miss ratio 0.0796
result/tencentBlock.ns3600.oracleGeneral.zst Clock cache size    17839, 1841858 req, miss ratio 0.0512, byte miss ratio 0.0512
result/tencentBlock.ns3600.oracleGeneral.zst Clock cache size    35678, 1841858 req, miss ratio 0.0260, byte miss ratio 0.0260
result/tencentBlock.ns3600.oracleGeneral.zst FIFO cache size       44, 1841858 req, miss ratio 0.4897, byte miss ratio 0.4897
result/tencentBlock.ns3600.oracleGeneral.zst FIFO cache size      133, 1841858 req, miss ratio 0.3163, byte miss ratio 0.3163
result/tencentBlock.ns3600.oracleGeneral.zst FIFO cache size      445, 1841858 req, miss ratio 0.1724, byte miss ratio 0.1724
result/tencentBlock.ns3600.oracleGeneral.zst FIFO cache size     1337, 1841858 req, miss ratio 0.1394, byte miss ratio 0.1394
result/tencentBlock.ns3600.oracleGeneral.zst FIFO cache size     4459, 1841858 req, miss ratio 0.1027, byte miss ratio 0.1027
result/tencentBlock.ns3600.oracleGeneral.zst FIFO cache size     8919, 1841858 req, miss ratio 0.0834, byte miss ratio 0.0834
result/tencentBlock.ns3600.oracleGeneral.zst FIFO cache size    17839, 1841858 req, miss ratio 0.0553, byte miss ratio 0.0553
result/tencentBlock.ns3600.oracleGeneral.zst FIFO cache size    35678, 1841858 req, miss ratio 0.0305, byte miss ratio 0.0305
result/tencentBlock.ns3600.oracleGeneral.zst LIRS cache size       44, 1841858 req, miss ratio 0.3075, byte miss ratio 0.3075
result/tencentBlock.ns3600.oracleGeneral.zst LIRS cache size      133, 1841858 req, miss ratio 0.2128, byte miss ratio 0.2128
result/tencentBlock.ns3600.oracleGeneral.zst LIRS cache size      445, 1841858 req, miss ratio 0.1398, byte miss ratio 0.1398
result/tencentBlock.ns3600.oracleGeneral.zst LIRS cache size     1337, 1841858 req, miss ratio 0.1190, byte miss ratio 0.1190
result/tencentBlock.ns3600.oracleGeneral.zst LIRS cache size     4459, 1841858 req, miss ratio 0.0867, byte miss ratio 0.0867
result/tencentBlock.ns3600.oracleGeneral.zst LIRS cache size     8919, 1841858 req, miss ratio 0.0753, byte miss ratio 0.0753
result/tencentBlock.ns3600.oracleGeneral.zst LIRS cache size    17839, 1841858 req, miss ratio 0.0455, byte miss ratio 0.0455
