result/tencentBlock.ns3799.oracleGeneral.zst LeCaR cache size      119, 3402055 req, miss ratio 0.3626, byte miss ratio 0.3626
result/tencentBlock.ns3799.oracleGeneral.zst LeCaR cache size      359, 3402055 req, miss ratio 0.1976, byte miss ratio 0.1976
result/tencentBlock.ns3799.oracleGeneral.zst LeCaR cache size     1199, 3402055 req, miss ratio 0.1697, byte miss ratio 0.1697
result/tencentBlock.ns3799.oracleGeneral.zst LeCaR cache size     3597, 3402055 req, miss ratio 0.1481, byte miss ratio 0.1481
result/tencentBlock.ns3799.oracleGeneral.zst LeCaR cache size    11992, 3402055 req, miss ratio 0.1342, byte miss ratio 0.1342
result/tencentBlock.ns3799.oracleGeneral.zst LeCaR cache size    23985, 3402055 req, miss ratio 0.1237, byte miss ratio 0.1237
result/tencentBlock.ns3799.oracleGeneral.zst LeCaR cache size    47970, 3402055 req, miss ratio 0.0760, byte miss ratio 0.0760
result/tencentBlock.ns3799.oracleGeneral.zst LeCaR cache size    95940, 3402055 req, miss ratio 0.0358, byte miss ratio 0.0358
result/tencentBlock.ns3799.oracleGeneral.zst Clock cache size      119, 3402055 req, miss ratio 0.3798, byte miss ratio 0.3798
result/tencentBlock.ns3799.oracleGeneral.zst Clock cache size      359, 3402055 req, miss ratio 0.2029, byte miss ratio 0.2029
result/tencentBlock.ns3799.oracleGeneral.zst Clock cache size     1199, 3402055 req, miss ratio 0.1722, byte miss ratio 0.1722
result/tencentBlock.ns3799.oracleGeneral.zst Clock cache size     3597, 3402055 req, miss ratio 0.1504, byte miss ratio 0.1504
result/tencentBlock.ns3799.oracleGeneral.zst Clock cache size    11992, 3402055 req, miss ratio 0.1381, byte miss ratio 0.1381
result/tencentBlock.ns3799.oracleGeneral.zst Clock cache size    23985, 3402055 req, miss ratio 0.1273, byte miss ratio 0.1273
result/tencentBlock.ns3799.oracleGeneral.zst Clock cache size    47970, 3402055 req, miss ratio 0.0789, byte miss ratio 0.0789
result/tencentBlock.ns3799.oracleGeneral.zst Clock cache size    95940, 3402055 req, miss ratio 0.0360, byte miss ratio 0.0360
result/tencentBlock.ns3799.oracleGeneral.zst LHD cache size      119, 3402055 req, miss ratio 0.3270, byte miss ratio 0.3270
result/tencentBlock.ns3799.oracleGeneral.zst LHD cache size      359, 3402055 req, miss ratio 0.2010, byte miss ratio 0.2010
result/tencentBlock.ns3799.oracleGeneral.zst LHD cache size     1199, 3402055 req, miss ratio 0.1677, byte miss ratio 0.1677
result/tencentBlock.ns3799.oracleGeneral.zst LHD cache size     3597, 3402055 req, miss ratio 0.1459, byte miss ratio 0.1459
result/tencentBlock.ns3799.oracleGeneral.zst LHD cache size    11992, 3402055 req, miss ratio 0.1309, byte miss ratio 0.1309
result/tencentBlock.ns3799.oracleGeneral.zst LHD cache size    23985, 3402055 req, miss ratio 0.1157, byte miss ratio 0.1157
result/tencentBlock.ns3799.oracleGeneral.zst LHD cache size    47970, 3402055 req, miss ratio 0.0752, byte miss ratio 0.0752
result/tencentBlock.ns3799.oracleGeneral.zst LHD cache size    95940, 3402055 req, miss ratio 0.0378, byte miss ratio 0.0378
result/tencentBlock.ns3799.oracleGeneral.zst S3FIFO-1 cache size      119, 3402055 req, miss ratio 0.3031, byte miss ratio 0.3031
result/tencentBlock.ns3799.oracleGeneral.zst S3FIFO-1 cache size      359, 3402055 req, miss ratio 0.1870, byte miss ratio 0.1870
result/tencentBlock.ns3799.oracleGeneral.zst S3FIFO-1 cache size     1199, 3402055 req, miss ratio 0.1610, byte miss ratio 0.1610
result/tencentBlock.ns3799.oracleGeneral.zst S3FIFO-1 cache size     3597, 3402055 req, miss ratio 0.1391, byte miss ratio 0.1391
result/tencentBlock.ns3799.oracleGeneral.zst S3FIFO-1 cache size    11992, 3402055 req, miss ratio 0.1281, byte miss ratio 0.1281
result/tencentBlock.ns3799.oracleGeneral.zst S3FIFO-1 cache size    23985, 3402055 req, miss ratio 0.1142, byte miss ratio 0.1142
result/tencentBlock.ns3799.oracleGeneral.zst S3FIFO-1 cache size    47970, 3402055 req, miss ratio 0.0746, byte miss ratio 0.0746
result/tencentBlock.ns3799.oracleGeneral.zst S3FIFO-1 cache size    95940, 3402055 req, miss ratio 0.0360, byte miss ratio 0.0360
result/tencentBlock.ns3799.oracleGeneral.zst ARC cache size      119, 3402055 req, miss ratio 0.2936, byte miss ratio 0.2936
result/tencentBlock.ns3799.oracleGeneral.zst ARC cache size      359, 3402055 req, miss ratio 0.1874, byte miss ratio 0.1874
result/tencentBlock.ns3799.oracleGeneral.zst ARC cache size     1199, 3402055 req, miss ratio 0.1604, byte miss ratio 0.1604
result/tencentBlock.ns3799.oracleGeneral.zst ARC cache size     3597, 3402055 req, miss ratio 0.1407, byte miss ratio 0.1407
result/tencentBlock.ns3799.oracleGeneral.zst ARC cache size    11992, 3402055 req, miss ratio 0.1293, byte miss ratio 0.1293
result/tencentBlock.ns3799.oracleGeneral.zst ARC cache size    23985, 3402055 req, miss ratio 0.1179, byte miss ratio 0.1179
result/tencentBlock.ns3799.oracleGeneral.zst ARC cache size    47970, 3402055 req, miss ratio 0.0762, byte miss ratio 0.0762
result/tencentBlock.ns3799.oracleGeneral.zst ARC cache size    95940, 3402055 req, miss ratio 0.0360, byte miss ratio 0.0360
result/tencentBlock.ns3799.oracleGeneral.zst LIRS cache size      119, 3402055 req, miss ratio 0.2858, byte miss ratio 0.2858
result/tencentBlock.ns3799.oracleGeneral.zst LIRS cache size      359, 3402055 req, miss ratio 0.1942, byte miss ratio 0.1942
result/tencentBlock.ns3799.oracleGeneral.zst LIRS cache size     1199, 3402055 req, miss ratio 0.1655, byte miss ratio 0.1655
result/tencentBlock.ns3799.oracleGeneral.zst LIRS cache size     3597, 3402055 req, miss ratio 0.1422, byte miss ratio 0.1422
result/tencentBlock.ns3799.oracleGeneral.zst LIRS cache size    11992, 3402055 req, miss ratio 0.1256, byte miss ratio 0.1256
result/tencentBlock.ns3799.oracleGeneral.zst LIRS cache size    23985, 3402055 req, miss ratio 0.1021, byte miss ratio 0.1021
result/tencentBlock.ns3799.oracleGeneral.zst LIRS cache size    47970, 3402055 req, miss ratio 0.0660, byte miss ratio 0.0660
result/tencentBlock.ns3799.oracleGeneral.zst LIRS cache size    95940, 3402055 req, miss ratio 0.0359, byte miss ratio 0.0359
result/tencentBlock.ns3799.oracleGeneral.zst clock2 cache size      119, 3402055 req, miss ratio 0.3685, byte miss ratio 0.3685
result/tencentBlock.ns3799.oracleGeneral.zst clock2 cache size      359, 3402055 req, miss ratio 0.1995, byte miss ratio 0.1995
result/tencentBlock.ns3799.oracleGeneral.zst clock2 cache size     1199, 3402055 req, miss ratio 0.1703, byte miss ratio 0.1703
result/tencentBlock.ns3799.oracleGeneral.zst clock2 cache size     3597, 3402055 req, miss ratio 0.1542, byte miss ratio 0.1542
result/tencentBlock.ns3799.oracleGeneral.zst clock2 cache size    11992, 3402055 req, miss ratio 0.1366, byte miss ratio 0.1366
result/tencentBlock.ns3799.oracleGeneral.zst clock2 cache size    23985, 3402055 req, miss ratio 0.1256, byte miss ratio 0.1256
result/tencentBlock.ns3799.oracleGeneral.zst clock2 cache size    47970, 3402055 req, miss ratio 0.0940, byte miss ratio 0.0940
result/tencentBlock.ns3799.oracleGeneral.zst clock2 cache size    95940, 3402055 req, miss ratio 0.0360, byte miss ratio 0.0360
result/tencentBlock.ns3799.oracleGeneral.zst FIFO cache size      119, 3402055 req, miss ratio 0.4785, byte miss ratio 0.4785
result/tencentBlock.ns3799.oracleGeneral.zst FIFO cache size      359, 3402055 req, miss ratio 0.2665, byte miss ratio 0.2665
result/tencentBlock.ns3799.oracleGeneral.zst FIFO cache size     1199, 3402055 req, miss ratio 0.1968, byte miss ratio 0.1968
result/tencentBlock.ns3799.oracleGeneral.zst FIFO cache size     3597, 3402055 req, miss ratio 0.1660, byte miss ratio 0.1660
result/tencentBlock.ns3799.oracleGeneral.zst FIFO cache size    11992, 3402055 req, miss ratio 0.1474, byte miss ratio 0.1474
result/tencentBlock.ns3799.oracleGeneral.zst FIFO cache size    23985, 3402055 req, miss ratio 0.1357, byte miss ratio 0.1357
result/tencentBlock.ns3799.oracleGeneral.zst FIFO cache size    47970, 3402055 req, miss ratio 0.0826, byte miss ratio 0.0826
result/tencentBlock.ns3799.oracleGeneral.zst FIFO cache size    95940, 3402055 req, miss ratio 0.0454, byte miss ratio 0.0454
result/tencentBlock.ns3799.oracleGeneral.zst LRU cache size      119, 3402055 req, miss ratio 0.4006, byte miss ratio 0.4006
result/tencentBlock.ns3799.oracleGeneral.zst LRU cache size      359, 3402055 req, miss ratio 0.2069, byte miss ratio 0.2069
result/tencentBlock.ns3799.oracleGeneral.zst LRU cache size     1199, 3402055 req, miss ratio 0.1744, byte miss ratio 0.1744
