result/tencentBlock.ns4145.oracleGeneral.zst LRU cache size     5988, 38518283 req, miss ratio 0.4806, byte miss ratio 0.4806
result/tencentBlock.ns4145.oracleGeneral.zst LRU cache size    17964, 38518283 req, miss ratio 0.4117, byte miss ratio 0.4117
result/tencentBlock.ns4145.oracleGeneral.zst LRU cache size    59880, 38518283 req, miss ratio 0.3308, byte miss ratio 0.3308
result/tencentBlock.ns4145.oracleGeneral.zst LRU cache size   179641, 38518283 req, miss ratio 0.2413, byte miss ratio 0.2413
result/tencentBlock.ns4145.oracleGeneral.zst LRU cache size   598805, 38518283 req, miss ratio 0.1888, byte miss ratio 0.1888
result/tencentBlock.ns4145.oracleGeneral.zst LRU cache size  1197611, 38518283 req, miss ratio 0.1621, byte miss ratio 0.1621
result/tencentBlock.ns4145.oracleGeneral.zst LRU cache size  2395223, 38518283 req, miss ratio 0.1580, byte miss ratio 0.1580
result/tencentBlock.ns4145.oracleGeneral.zst LRU cache size  4790446, 38518283 req, miss ratio 0.1558, byte miss ratio 0.1558
result/tencentBlock.ns4145.oracleGeneral.zst Cacheus cache size     5988, 38518283 req, miss ratio 0.4266, byte miss ratio 0.4266
result/tencentBlock.ns4145.oracleGeneral.zst Cacheus cache size    17964, 38518283 req, miss ratio 0.3900, byte miss ratio 0.3900
result/tencentBlock.ns4145.oracleGeneral.zst Cacheus cache size    59880, 38518283 req, miss ratio 0.3024, byte miss ratio 0.3024
result/tencentBlock.ns4145.oracleGeneral.zst Cacheus cache size   179641, 38518283 req, miss ratio 0.2190, byte miss ratio 0.2190
result/tencentBlock.ns4145.oracleGeneral.zst Cacheus cache size   598805, 38518283 req, miss ratio 0.1700, byte miss ratio 0.1700
result/tencentBlock.ns4145.oracleGeneral.zst Cacheus cache size  1197611, 38518283 req, miss ratio 0.1655, byte miss ratio 0.1655
result/tencentBlock.ns4145.oracleGeneral.zst Cacheus cache size  2395223, 38518283 req, miss ratio 0.1590, byte miss ratio 0.1590
result/tencentBlock.ns4145.oracleGeneral.zst Cacheus cache size  4790446, 38518283 req, miss ratio 0.1569, byte miss ratio 0.1569
result/tencentBlock.ns4145.oracleGeneral.zst LeCaR cache size     5988, 38518283 req, miss ratio 0.4649, byte miss ratio 0.4649
result/tencentBlock.ns4145.oracleGeneral.zst LeCaR cache size    17964, 38518283 req, miss ratio 0.4094, byte miss ratio 0.4094
result/tencentBlock.ns4145.oracleGeneral.zst LeCaR cache size    59880, 38518283 req, miss ratio 0.3258, byte miss ratio 0.3258
result/tencentBlock.ns4145.oracleGeneral.zst LeCaR cache size   179641, 38518283 req, miss ratio 0.2285, byte miss ratio 0.2285
result/tencentBlock.ns4145.oracleGeneral.zst LeCaR cache size   598805, 38518283 req, miss ratio 0.1781, byte miss ratio 0.1781
result/tencentBlock.ns4145.oracleGeneral.zst LeCaR cache size  1197611, 38518283 req, miss ratio 0.1607, byte miss ratio 0.1607
result/tencentBlock.ns4145.oracleGeneral.zst LeCaR cache size  2395223, 38518283 req, miss ratio 0.1580, byte miss ratio 0.1580
result/tencentBlock.ns4145.oracleGeneral.zst LeCaR cache size  4790446, 38518283 req, miss ratio 0.1558, byte miss ratio 0.1558
result/tencentBlock.ns4145.oracleGeneral.zst LIRS cache size     5988, 38518283 req, miss ratio 0.4207, byte miss ratio 0.4207
result/tencentBlock.ns4145.oracleGeneral.zst LIRS cache size    17964, 38518283 req, miss ratio 0.3883, byte miss ratio 0.3883
result/tencentBlock.ns4145.oracleGeneral.zst LIRS cache size    59880, 38518283 req, miss ratio 0.2748, byte miss ratio 0.2748
result/tencentBlock.ns4145.oracleGeneral.zst LIRS cache size   179641, 38518283 req, miss ratio 0.2038, byte miss ratio 0.2038
result/tencentBlock.ns4145.oracleGeneral.zst LIRS cache size   598805, 38518283 req, miss ratio 0.1712, byte miss ratio 0.1712
result/tencentBlock.ns4145.oracleGeneral.zst LIRS cache size  1197611, 38518283 req, miss ratio 0.1644, byte miss ratio 0.1644
result/tencentBlock.ns4145.oracleGeneral.zst LIRS cache size  2395223, 38518283 req, miss ratio 0.1610, byte miss ratio 0.1610
result/tencentBlock.ns4145.oracleGeneral.zst LIRS cache size  4790446, 38518283 req, miss ratio 0.1568, byte miss ratio 0.1568
result/tencentBlock.ns4145.oracleGeneral.zst Clock cache size     5988, 38518283 req, miss ratio 0.4727, byte miss ratio 0.4727
result/tencentBlock.ns4145.oracleGeneral.zst Clock cache size    17964, 38518283 req, miss ratio 0.4085, byte miss ratio 0.4085
result/tencentBlock.ns4145.oracleGeneral.zst Clock cache size    59880, 38518283 req, miss ratio 0.3270, byte miss ratio 0.3270
result/tencentBlock.ns4145.oracleGeneral.zst Clock cache size   179641, 38518283 req, miss ratio 0.2349, byte miss ratio 0.2349
result/tencentBlock.ns4145.oracleGeneral.zst Clock cache size   598805, 38518283 req, miss ratio 0.1849, byte miss ratio 0.1849
result/tencentBlock.ns4145.oracleGeneral.zst Clock cache size  1197611, 38518283 req, miss ratio 0.1614, byte miss ratio 0.1614
result/tencentBlock.ns4145.oracleGeneral.zst Clock cache size  2395223, 38518283 req, miss ratio 0.1585, byte miss ratio 0.1585
result/tencentBlock.ns4145.oracleGeneral.zst Clock cache size  4790446, 38518283 req, miss ratio 0.1558, byte miss ratio 0.1558
result/tencentBlock.ns4145.oracleGeneral.zst FIFO cache size     5988, 38518283 req, miss ratio 0.5142, byte miss ratio 0.5142
result/tencentBlock.ns4145.oracleGeneral.zst FIFO cache size    17964, 38518283 req, miss ratio 0.4457, byte miss ratio 0.4457
result/tencentBlock.ns4145.oracleGeneral.zst FIFO cache size    59880, 38518283 req, miss ratio 0.3543, byte miss ratio 0.3543
result/tencentBlock.ns4145.oracleGeneral.zst FIFO cache size   179641, 38518283 req, miss ratio 0.2761, byte miss ratio 0.2761
result/tencentBlock.ns4145.oracleGeneral.zst FIFO cache size   598805, 38518283 req, miss ratio 0.2149, byte miss ratio 0.2149
result/tencentBlock.ns4145.oracleGeneral.zst FIFO cache size  1197611, 38518283 req, miss ratio 0.1838, byte miss ratio 0.1838
result/tencentBlock.ns4145.oracleGeneral.zst FIFO cache size  2395223, 38518283 req, miss ratio 0.1684, byte miss ratio 0.1684
result/tencentBlock.ns4145.oracleGeneral.zst FIFO cache size  4790446, 38518283 req, miss ratio 0.1607, byte miss ratio 0.1607
result/tencentBlock.ns4145.oracleGeneral.zst clock2 cache size     5988, 38518283 req, miss ratio 0.4742, byte miss ratio 0.4742
result/tencentBlock.ns4145.oracleGeneral.zst clock2 cache size    17964, 38518283 req, miss ratio 0.4057, byte miss ratio 0.4057
result/tencentBlock.ns4145.oracleGeneral.zst clock2 cache size    59880, 38518283 req, miss ratio 0.3297, byte miss ratio 0.3297
result/tencentBlock.ns4145.oracleGeneral.zst clock2 cache size   179641, 38518283 req, miss ratio 0.2277, byte miss ratio 0.2277
result/tencentBlock.ns4145.oracleGeneral.zst clock2 cache size   598805, 38518283 req, miss ratio 0.1810, byte miss ratio 0.1810
result/tencentBlock.ns4145.oracleGeneral.zst clock2 cache size  1197611, 38518283 req, miss ratio 0.1615, byte miss ratio 0.1615
result/tencentBlock.ns4145.oracleGeneral.zst clock2 cache size  2395223, 38518283 req, miss ratio 0.1585, byte miss ratio 0.1585
result/tencentBlock.ns4145.oracleGeneral.zst clock2 cache size  4790446, 38518283 req, miss ratio 0.1558, byte miss ratio 0.1558
result/tencentBlock.ns4145.oracleGeneral.zst S3FIFO-1 cache size     5988, 38518283 req, miss ratio 0.4148, byte miss ratio 0.4148
result/tencentBlock.ns4145.oracleGeneral.zst S3FIFO-1 cache size    17964, 38518283 req, miss ratio 0.3844, byte miss ratio 0.3844
result/tencentBlock.ns4145.oracleGeneral.zst S3FIFO-1 cache size    59880, 38518283 req, miss ratio 0.2641, byte miss ratio 0.2641
result/tencentBlock.ns4145.oracleGeneral.zst S3FIFO-1 cache size   179641, 38518283 req, miss ratio 0.1983, byte miss ratio 0.1983
result/tencentBlock.ns4145.oracleGeneral.zst S3FIFO-1 cache size   598805, 38518283 req, miss ratio 0.1689, byte miss ratio 0.1689
result/tencentBlock.ns4145.oracleGeneral.zst S3FIFO-1 cache size  1197611, 38518283 req, miss ratio 0.1638, byte miss ratio 0.1638
result/tencentBlock.ns4145.oracleGeneral.zst S3FIFO-1 cache size  2395223, 38518283 req, miss ratio 0.1584, byte miss ratio 0.1584
result/tencentBlock.ns4145.oracleGeneral.zst S3FIFO-1 cache size  4790446, 38518283 req, miss ratio 0.1558, byte miss ratio 0.1558
result/tencentBlock.ns4145.oracleGeneral.zst LHD cache size     5988, 38518283 req, miss ratio 0.4287, byte miss ratio 0.4287
result/tencentBlock.ns4145.oracleGeneral.zst LHD cache size    17964, 38518283 req, miss ratio 0.3813, byte miss ratio 0.3813
result/tencentBlock.ns4145.oracleGeneral.zst LHD cache size    59880, 38518283 req, miss ratio 0.2794, byte miss ratio 0.2794
result/tencentBlock.ns4145.oracleGeneral.zst LHD cache size   179641, 38518283 req, miss ratio 0.2069, byte miss ratio 0.2069
result/tencentBlock.ns4145.oracleGeneral.zst LHD cache size   598805, 38518283 req, miss ratio 0.1701, byte miss ratio 0.1701
result/tencentBlock.ns4145.oracleGeneral.zst LHD cache size  1197611, 38518283 req, miss ratio 0.1618, byte miss ratio 0.1618
