result/tencentBlock.ns4713.oracleGeneral.zst LIRS cache size       73, 2071033 req, miss ratio 0.3022, byte miss ratio 0.3022
result/tencentBlock.ns4713.oracleGeneral.zst LIRS cache size      221, 2071033 req, miss ratio 0.2363, byte miss ratio 0.2363
result/tencentBlock.ns4713.oracleGeneral.zst LIRS cache size      738, 2071033 req, miss ratio 0.2057, byte miss ratio 0.2057
result/tencentBlock.ns4713.oracleGeneral.zst LIRS cache size     2216, 2071033 req, miss ratio 0.1758, byte miss ratio 0.1758
result/tencentBlock.ns4713.oracleGeneral.zst LIRS cache size     7387, 2071033 req, miss ratio 0.1241, byte miss ratio 0.1241
result/tencentBlock.ns4713.oracleGeneral.zst LIRS cache size    14775, 2071033 req, miss ratio 0.0928, byte miss ratio 0.0928
result/tencentBlock.ns4713.oracleGeneral.zst LIRS cache size    29550, 2071033 req, miss ratio 0.0480, byte miss ratio 0.0480
result/tencentBlock.ns4713.oracleGeneral.zst LIRS cache size    59101, 2071033 req, miss ratio 0.0365, byte miss ratio 0.0365
result/tencentBlock.ns4713.oracleGeneral.zst ARC cache size       73, 2071033 req, miss ratio 0.2938, byte miss ratio 0.2938
result/tencentBlock.ns4713.oracleGeneral.zst ARC cache size      221, 2071033 req, miss ratio 0.2255, byte miss ratio 0.2255
result/tencentBlock.ns4713.oracleGeneral.zst ARC cache size      738, 2071033 req, miss ratio 0.2007, byte miss ratio 0.2007
result/tencentBlock.ns4713.oracleGeneral.zst ARC cache size     2216, 2071033 req, miss ratio 0.1777, byte miss ratio 0.1777
result/tencentBlock.ns4713.oracleGeneral.zst ARC cache size     7387, 2071033 req, miss ratio 0.1249, byte miss ratio 0.1249
result/tencentBlock.ns4713.oracleGeneral.zst ARC cache size    14775, 2071033 req, miss ratio 0.1031, byte miss ratio 0.1031
result/tencentBlock.ns4713.oracleGeneral.zst ARC cache size    29550, 2071033 req, miss ratio 0.0488, byte miss ratio 0.0488
result/tencentBlock.ns4713.oracleGeneral.zst ARC cache size    59101, 2071033 req, miss ratio 0.0364, byte miss ratio 0.0364
result/tencentBlock.ns4713.oracleGeneral.zst Cacheus cache size       73, 2071033 req, miss ratio 0.3042, byte miss ratio 0.3042
result/tencentBlock.ns4713.oracleGeneral.zst Cacheus cache size      221, 2071033 req, miss ratio 0.2302, byte miss ratio 0.2302
result/tencentBlock.ns4713.oracleGeneral.zst Cacheus cache size      738, 2071033 req, miss ratio 0.2016, byte miss ratio 0.2016
result/tencentBlock.ns4713.oracleGeneral.zst Cacheus cache size     2216, 2071033 req, miss ratio 0.1822, byte miss ratio 0.1822
result/tencentBlock.ns4713.oracleGeneral.zst Cacheus cache size     7387, 2071033 req, miss ratio 0.1364, byte miss ratio 0.1364
result/tencentBlock.ns4713.oracleGeneral.zst Cacheus cache size    14775, 2071033 req, miss ratio 0.1038, byte miss ratio 0.1038
result/tencentBlock.ns4713.oracleGeneral.zst Cacheus cache size    29550, 2071033 req, miss ratio 0.0484, byte miss ratio 0.0484
result/tencentBlock.ns4713.oracleGeneral.zst Cacheus cache size    59101, 2071033 req, miss ratio 0.0365, byte miss ratio 0.0365
result/tencentBlock.ns4713.oracleGeneral.zst LRU cache size       73, 2071033 req, miss ratio 0.3374, byte miss ratio 0.3374
result/tencentBlock.ns4713.oracleGeneral.zst LRU cache size      221, 2071033 req, miss ratio 0.2530, byte miss ratio 0.2530
result/tencentBlock.ns4713.oracleGeneral.zst LRU cache size      738, 2071033 req, miss ratio 0.2152, byte miss ratio 0.2152
result/tencentBlock.ns4713.oracleGeneral.zst LRU cache size     2216, 2071033 req, miss ratio 0.1922, byte miss ratio 0.1922
result/tencentBlock.ns4713.oracleGeneral.zst LRU cache size     7387, 2071033 req, miss ratio 0.1467, byte miss ratio 0.1467
result/tencentBlock.ns4713.oracleGeneral.zst LRU cache size    14775, 2071033 req, miss ratio 0.1144, byte miss ratio 0.1144
result/tencentBlock.ns4713.oracleGeneral.zst LRU cache size    29550, 2071033 req, miss ratio 0.0549, byte miss ratio 0.0549
result/tencentBlock.ns4713.oracleGeneral.zst LRU cache size    59101, 2071033 req, miss ratio 0.0368, byte miss ratio 0.0368
result/tencentBlock.ns4713.oracleGeneral.zst clock2 cache size       73, 2071033 req, miss ratio 0.3216, byte miss ratio 0.3216
result/tencentBlock.ns4713.oracleGeneral.zst clock2 cache size      221, 2071033 req, miss ratio 0.2552, byte miss ratio 0.2552
result/tencentBlock.ns4713.oracleGeneral.zst clock2 cache size      738, 2071033 req, miss ratio 0.2098, byte miss ratio 0.2098
result/tencentBlock.ns4713.oracleGeneral.zst clock2 cache size     2216, 2071033 req, miss ratio 0.1942, byte miss ratio 0.1942
result/tencentBlock.ns4713.oracleGeneral.zst clock2 cache size     7387, 2071033 req, miss ratio 0.1459, byte miss ratio 0.1459
result/tencentBlock.ns4713.oracleGeneral.zst clock2 cache size    14775, 2071033 req, miss ratio 0.1218, byte miss ratio 0.1218
result/tencentBlock.ns4713.oracleGeneral.zst clock2 cache size    29550, 2071033 req, miss ratio 0.0580, byte miss ratio 0.0580
result/tencentBlock.ns4713.oracleGeneral.zst clock2 cache size    59101, 2071033 req, miss ratio 0.0364, byte miss ratio 0.0364
result/tencentBlock.ns4713.oracleGeneral.zst S3FIFO-1 cache size       73, 2071033 req, miss ratio 0.2988, byte miss ratio 0.2988
result/tencentBlock.ns4713.oracleGeneral.zst S3FIFO-1 cache size      221, 2071033 req, miss ratio 0.2240, byte miss ratio 0.2240
result/tencentBlock.ns4713.oracleGeneral.zst S3FIFO-1 cache size      738, 2071033 req, miss ratio 0.2002, byte miss ratio 0.2002
result/tencentBlock.ns4713.oracleGeneral.zst S3FIFO-1 cache size     2216, 2071033 req, miss ratio 0.1753, byte miss ratio 0.1753
result/tencentBlock.ns4713.oracleGeneral.zst S3FIFO-1 cache size     7387, 2071033 req, miss ratio 0.1254, byte miss ratio 0.1254
result/tencentBlock.ns4713.oracleGeneral.zst S3FIFO-1 cache size    14775, 2071033 req, miss ratio 0.1004, byte miss ratio 0.1004
result/tencentBlock.ns4713.oracleGeneral.zst S3FIFO-1 cache size    29550, 2071033 req, miss ratio 0.0499, byte miss ratio 0.0499
result/tencentBlock.ns4713.oracleGeneral.zst S3FIFO-1 cache size    59101, 2071033 req, miss ratio 0.0364, byte miss ratio 0.0364
result/tencentBlock.ns4713.oracleGeneral.zst FIFO cache size       73, 2071033 req, miss ratio 0.3955, byte miss ratio 0.3955
result/tencentBlock.ns4713.oracleGeneral.zst FIFO cache size      221, 2071033 req, miss ratio 0.2914, byte miss ratio 0.2914
result/tencentBlock.ns4713.oracleGeneral.zst FIFO cache size      738, 2071033 req, miss ratio 0.2335, byte miss ratio 0.2335
result/tencentBlock.ns4713.oracleGeneral.zst FIFO cache size     2216, 2071033 req, miss ratio 0.2036, byte miss ratio 0.2036
result/tencentBlock.ns4713.oracleGeneral.zst FIFO cache size     7387, 2071033 req, miss ratio 0.1622, byte miss ratio 0.1622
result/tencentBlock.ns4713.oracleGeneral.zst FIFO cache size    14775, 2071033 req, miss ratio 0.1203, byte miss ratio 0.1203
result/tencentBlock.ns4713.oracleGeneral.zst FIFO cache size    29550, 2071033 req, miss ratio 0.0655, byte miss ratio 0.0655
result/tencentBlock.ns4713.oracleGeneral.zst FIFO cache size    59101, 2071033 req, miss ratio 0.0469, byte miss ratio 0.0469
result/tencentBlock.ns4713.oracleGeneral.zst LHD cache size       73, 2071033 req, miss ratio 0.3184, byte miss ratio 0.3184
result/tencentBlock.ns4713.oracleGeneral.zst LHD cache size      221, 2071033 req, miss ratio 0.2399, byte miss ratio 0.2399
result/tencentBlock.ns4713.oracleGeneral.zst LHD cache size      738, 2071033 req, miss ratio 0.2093, byte miss ratio 0.2093
result/tencentBlock.ns4713.oracleGeneral.zst LHD cache size     2216, 2071033 req, miss ratio 0.1871, byte miss ratio 0.1871
result/tencentBlock.ns4713.oracleGeneral.zst LHD cache size     7387, 2071033 req, miss ratio 0.1378, byte miss ratio 0.1378
result/tencentBlock.ns4713.oracleGeneral.zst LHD cache size    14775, 2071033 req, miss ratio 0.1056, byte miss ratio 0.1056
result/tencentBlock.ns4713.oracleGeneral.zst LHD cache size    29550, 2071033 req, miss ratio 0.0582, byte miss ratio 0.0582
result/tencentBlock.ns4713.oracleGeneral.zst LHD cache size    59101, 2071033 req, miss ratio 0.0370, byte miss ratio 0.0370
result/tencentBlock.ns4713.oracleGeneral.zst Clock cache size       73, 2071033 req, miss ratio 0.3280, byte miss ratio 0.3280
result/tencentBlock.ns4713.oracleGeneral.zst Clock cache size      221, 2071033 req, miss ratio 0.2497, byte miss ratio 0.2497
result/tencentBlock.ns4713.oracleGeneral.zst Clock cache size      738, 2071033 req, miss ratio 0.2137, byte miss ratio 0.2137
result/tencentBlock.ns4713.oracleGeneral.zst Clock cache size     2216, 2071033 req, miss ratio 0.1921, byte miss ratio 0.1921
result/tencentBlock.ns4713.oracleGeneral.zst Clock cache size     7387, 2071033 req, miss ratio 0.1448, byte miss ratio 0.1448
result/tencentBlock.ns4713.oracleGeneral.zst Clock cache size    14775, 2071033 req, miss ratio 0.1247, byte miss ratio 0.1247
result/tencentBlock.ns4713.oracleGeneral.zst Clock cache size    29550, 2071033 req, miss ratio 0.0564, byte miss ratio 0.0564
result/tencentBlock.ns4713.oracleGeneral.zst Clock cache size    59101, 2071033 req, miss ratio 0.0364, byte miss ratio 0.0364
result/tencentBlock.ns4713.oracleGeneral.zst LeCaR cache size       73, 2071033 req, miss ratio 0.3152, byte miss ratio 0.3152
result/tencentBlock.ns4713.oracleGeneral.zst LeCaR cache size      221, 2071033 req, miss ratio 0.2429, byte miss ratio 0.2429
result/tencentBlock.ns4713.oracleGeneral.zst LeCaR cache size      738, 2071033 req, miss ratio 0.2093, byte miss ratio 0.2093
result/tencentBlock.ns4713.oracleGeneral.zst LeCaR cache size     2216, 2071033 req, miss ratio 0.1906, byte miss ratio 0.1906
result/tencentBlock.ns4713.oracleGeneral.zst LeCaR cache size     7387, 2071033 req, miss ratio 0.1358, byte miss ratio 0.1358
result/tencentBlock.ns4713.oracleGeneral.zst LeCaR cache size    14775, 2071033 req, miss ratio 0.1115, byte miss ratio 0.1115
result/tencentBlock.ns4713.oracleGeneral.zst LeCaR cache size    29550, 2071033 req, miss ratio 0.0506, byte miss ratio 0.0506
result/tencentBlock.ns4713.oracleGeneral.zst LeCaR cache size    59101, 2071033 req, miss ratio 0.0366, byte miss ratio 0.0366
result/tencentBlock.ns4713.oracleGeneral.zst S3FIFO-d-1 cache size       73, 2071033 req, miss ratio 0.2948, byte miss ratio 0.2948
result/tencentBlock.ns4713.oracleGeneral.zst S3FIFO-d-1 cache size      221, 2071033 req, miss ratio 0.2242, byte miss ratio 0.2242
