result/tencentBlock.ns4830.oracleGeneral.zst FIFO cache size      363, 5307161 req, miss ratio 0.7138, byte miss ratio 0.7138
result/tencentBlock.ns4830.oracleGeneral.zst FIFO cache size     1089, 5307161 req, miss ratio 0.6714, byte miss ratio 0.6714
result/tencentBlock.ns4830.oracleGeneral.zst FIFO cache size     3632, 5307161 req, miss ratio 0.6245, byte miss ratio 0.6245
result/tencentBlock.ns4830.oracleGeneral.zst FIFO cache size    10898, 5307161 req, miss ratio 0.5134, byte miss ratio 0.5134
result/tencentBlock.ns4830.oracleGeneral.zst FIFO cache size    36329, 5307161 req, miss ratio 0.3078, byte miss ratio 0.3078
result/tencentBlock.ns4830.oracleGeneral.zst FIFO cache size    72659, 5307161 req, miss ratio 0.1896, byte miss ratio 0.1896
result/tencentBlock.ns4830.oracleGeneral.zst FIFO cache size   145319, 5307161 req, miss ratio 0.1060, byte miss ratio 0.1060
result/tencentBlock.ns4830.oracleGeneral.zst FIFO cache size   290638, 5307161 req, miss ratio 0.0810, byte miss ratio 0.0810
result/tencentBlock.ns4830.oracleGeneral.zst ARC cache size      363, 5307161 req, miss ratio 0.6579, byte miss ratio 0.6579
result/tencentBlock.ns4830.oracleGeneral.zst ARC cache size     1089, 5307161 req, miss ratio 0.6121, byte miss ratio 0.6121
result/tencentBlock.ns4830.oracleGeneral.zst ARC cache size     3632, 5307161 req, miss ratio 0.5798, byte miss ratio 0.5798
result/tencentBlock.ns4830.oracleGeneral.zst ARC cache size    10898, 5307161 req, miss ratio 0.5094, byte miss ratio 0.5094
result/tencentBlock.ns4830.oracleGeneral.zst ARC cache size    36329, 5307161 req, miss ratio 0.2602, byte miss ratio 0.2602
result/tencentBlock.ns4830.oracleGeneral.zst ARC cache size    72659, 5307161 req, miss ratio 0.1388, byte miss ratio 0.1388
result/tencentBlock.ns4830.oracleGeneral.zst ARC cache size   145319, 5307161 req, miss ratio 0.0790, byte miss ratio 0.0790
result/tencentBlock.ns4830.oracleGeneral.zst ARC cache size   290638, 5307161 req, miss ratio 0.0698, byte miss ratio 0.0698
result/tencentBlock.ns4830.oracleGeneral.zst LHD cache size      363, 5307161 req, miss ratio 0.6716, byte miss ratio 0.6716
result/tencentBlock.ns4830.oracleGeneral.zst LHD cache size     1089, 5307161 req, miss ratio 0.6398, byte miss ratio 0.6398
result/tencentBlock.ns4830.oracleGeneral.zst LHD cache size     3632, 5307161 req, miss ratio 0.5761, byte miss ratio 0.5761
result/tencentBlock.ns4830.oracleGeneral.zst LHD cache size    10898, 5307161 req, miss ratio 0.4759, byte miss ratio 0.4759
result/tencentBlock.ns4830.oracleGeneral.zst LHD cache size    36329, 5307161 req, miss ratio 0.2415, byte miss ratio 0.2415
result/tencentBlock.ns4830.oracleGeneral.zst LHD cache size    72659, 5307161 req, miss ratio 0.1201, byte miss ratio 0.1201
result/tencentBlock.ns4830.oracleGeneral.zst LHD cache size   145319, 5307161 req, miss ratio 0.0791, byte miss ratio 0.0791
result/tencentBlock.ns4830.oracleGeneral.zst LHD cache size   290638, 5307161 req, miss ratio 0.0695, byte miss ratio 0.0695
result/tencentBlock.ns4830.oracleGeneral.zst LRU cache size      363, 5307161 req, miss ratio 0.6781, byte miss ratio 0.6781
result/tencentBlock.ns4830.oracleGeneral.zst LRU cache size     1089, 5307161 req, miss ratio 0.6509, byte miss ratio 0.6509
result/tencentBlock.ns4830.oracleGeneral.zst LRU cache size     3632, 5307161 req, miss ratio 0.6064, byte miss ratio 0.6064
result/tencentBlock.ns4830.oracleGeneral.zst LRU cache size    10898, 5307161 req, miss ratio 0.5225, byte miss ratio 0.5225
result/tencentBlock.ns4830.oracleGeneral.zst LRU cache size    36329, 5307161 req, miss ratio 0.2679, byte miss ratio 0.2679
result/tencentBlock.ns4830.oracleGeneral.zst LRU cache size    72659, 5307161 req, miss ratio 0.1334, byte miss ratio 0.1334
result/tencentBlock.ns4830.oracleGeneral.zst LRU cache size   145319, 5307161 req, miss ratio 0.0803, byte miss ratio 0.0803
result/tencentBlock.ns4830.oracleGeneral.zst LRU cache size   290638, 5307161 req, miss ratio 0.0699, byte miss ratio 0.0699
result/tencentBlock.ns4830.oracleGeneral.zst S3FIFO-1 cache size      363, 5307161 req, miss ratio 0.6586, byte miss ratio 0.6586
result/tencentBlock.ns4830.oracleGeneral.zst S3FIFO-1 cache size     1089, 5307161 req, miss ratio 0.6062, byte miss ratio 0.6062
result/tencentBlock.ns4830.oracleGeneral.zst S3FIFO-1 cache size     3632, 5307161 req, miss ratio 0.5818, byte miss ratio 0.5818
result/tencentBlock.ns4830.oracleGeneral.zst S3FIFO-1 cache size    10898, 5307161 req, miss ratio 0.4728, byte miss ratio 0.4728
result/tencentBlock.ns4830.oracleGeneral.zst S3FIFO-1 cache size    36329, 5307161 req, miss ratio 0.2476, byte miss ratio 0.2476
result/tencentBlock.ns4830.oracleGeneral.zst S3FIFO-1 cache size    72659, 5307161 req, miss ratio 0.1288, byte miss ratio 0.1288
result/tencentBlock.ns4830.oracleGeneral.zst S3FIFO-1 cache size   145319, 5307161 req, miss ratio 0.0818, byte miss ratio 0.0818
result/tencentBlock.ns4830.oracleGeneral.zst S3FIFO-1 cache size   290638, 5307161 req, miss ratio 0.0697, byte miss ratio 0.0697
result/tencentBlock.ns4830.oracleGeneral.zst Cacheus cache size      363, 5307161 req, miss ratio 0.6581, byte miss ratio 0.6581
result/tencentBlock.ns4830.oracleGeneral.zst Cacheus cache size     1089, 5307161 req, miss ratio 0.6168, byte miss ratio 0.6168
result/tencentBlock.ns4830.oracleGeneral.zst Cacheus cache size     3632, 5307161 req, miss ratio 0.5756, byte miss ratio 0.5756
result/tencentBlock.ns4830.oracleGeneral.zst Cacheus cache size    10898, 5307161 req, miss ratio 0.4850, byte miss ratio 0.4850
result/tencentBlock.ns4830.oracleGeneral.zst Cacheus cache size    36329, 5307161 req, miss ratio 0.2519, byte miss ratio 0.2519
result/tencentBlock.ns4830.oracleGeneral.zst Cacheus cache size    72659, 5307161 req, miss ratio 0.1318, byte miss ratio 0.1318
result/tencentBlock.ns4830.oracleGeneral.zst Cacheus cache size   145319, 5307161 req, miss ratio 0.0801, byte miss ratio 0.0801
result/tencentBlock.ns4830.oracleGeneral.zst Cacheus cache size   290638, 5307161 req, miss ratio 0.0697, byte miss ratio 0.0697
result/tencentBlock.ns4830.oracleGeneral.zst LeCaR cache size      363, 5307161 req, miss ratio 0.6698, byte miss ratio 0.6698
result/tencentBlock.ns4830.oracleGeneral.zst LeCaR cache size     1089, 5307161 req, miss ratio 0.6473, byte miss ratio 0.6473
result/tencentBlock.ns4830.oracleGeneral.zst LeCaR cache size     3632, 5307161 req, miss ratio 0.6028, byte miss ratio 0.6028
