result/tencentBlock.ns5836.oracleGeneral.zst Cacheus cache size      146, 1403090 req, miss ratio 0.4730, byte miss ratio 0.4730
result/tencentBlock.ns5836.oracleGeneral.zst Cacheus cache size      439, 1403090 req, miss ratio 0.4461, byte miss ratio 0.4461
result/tencentBlock.ns5836.oracleGeneral.zst Cacheus cache size     1464, 1403090 req, miss ratio 0.4411, byte miss ratio 0.4411
result/tencentBlock.ns5836.oracleGeneral.zst Cacheus cache size     4394, 1403090 req, miss ratio 0.4400, byte miss ratio 0.4400
result/tencentBlock.ns5836.oracleGeneral.zst Cacheus cache size    14646, 1403090 req, miss ratio 0.4212, byte miss ratio 0.4212
result/tencentBlock.ns5836.oracleGeneral.zst Cacheus cache size    29293, 1403090 req, miss ratio 0.3815, byte miss ratio 0.3815
result/tencentBlock.ns5836.oracleGeneral.zst Cacheus cache size    58587, 1403090 req, miss ratio 0.2863, byte miss ratio 0.2863
result/tencentBlock.ns5836.oracleGeneral.zst Cacheus cache size   117175, 1403090 req, miss ratio 0.1255, byte miss ratio 0.1255
result/tencentBlock.ns5836.oracleGeneral.zst FIFO cache size      146, 1403090 req, miss ratio 0.5913, byte miss ratio 0.5913
result/tencentBlock.ns5836.oracleGeneral.zst FIFO cache size      439, 1403090 req, miss ratio 0.5006, byte miss ratio 0.5006
result/tencentBlock.ns5836.oracleGeneral.zst FIFO cache size     1464, 1403090 req, miss ratio 0.4611, byte miss ratio 0.4611
result/tencentBlock.ns5836.oracleGeneral.zst FIFO cache size     4394, 1403090 req, miss ratio 0.4476, byte miss ratio 0.4476
result/tencentBlock.ns5836.oracleGeneral.zst FIFO cache size    14646, 1403090 req, miss ratio 0.4417, byte miss ratio 0.4417
result/tencentBlock.ns5836.oracleGeneral.zst FIFO cache size    29293, 1403090 req, miss ratio 0.4024, byte miss ratio 0.4024
result/tencentBlock.ns5836.oracleGeneral.zst FIFO cache size    58587, 1403090 req, miss ratio 0.2633, byte miss ratio 0.2633
result/tencentBlock.ns5836.oracleGeneral.zst FIFO cache size   117175, 1403090 req, miss ratio 0.1420, byte miss ratio 0.1420
result/tencentBlock.ns5836.oracleGeneral.zst LIRS cache size      146, 1403090 req, miss ratio 0.5193, byte miss ratio 0.5193
result/tencentBlock.ns5836.oracleGeneral.zst LIRS cache size      439, 1403090 req, miss ratio 0.4886, byte miss ratio 0.4886
result/tencentBlock.ns5836.oracleGeneral.zst LIRS cache size     1464, 1403090 req, miss ratio 0.4450, byte miss ratio 0.4450
result/tencentBlock.ns5836.oracleGeneral.zst LIRS cache size     4394, 1403090 req, miss ratio 0.4424, byte miss ratio 0.4424
result/tencentBlock.ns5836.oracleGeneral.zst LIRS cache size    14646, 1403090 req, miss ratio 0.4058, byte miss ratio 0.4058
result/tencentBlock.ns5836.oracleGeneral.zst LIRS cache size    29293, 1403090 req, miss ratio 0.3712, byte miss ratio 0.3712
result/tencentBlock.ns5836.oracleGeneral.zst LIRS cache size    58587, 1403090 req, miss ratio 0.3182, byte miss ratio 0.3182
result/tencentBlock.ns5836.oracleGeneral.zst LIRS cache size   117175, 1403090 req, miss ratio 0.1204, byte miss ratio 0.1204
result/tencentBlock.ns5836.oracleGeneral.zst LeCaR cache size      146, 1403090 req, miss ratio 0.5004, byte miss ratio 0.5004
result/tencentBlock.ns5836.oracleGeneral.zst LeCaR cache size      439, 1403090 req, miss ratio 0.4501, byte miss ratio 0.4501
result/tencentBlock.ns5836.oracleGeneral.zst LeCaR cache size     1464, 1403090 req, miss ratio 0.4431, byte miss ratio 0.4431
result/tencentBlock.ns5836.oracleGeneral.zst LeCaR cache size     4394, 1403090 req, miss ratio 0.4406, byte miss ratio 0.4406
result/tencentBlock.ns5836.oracleGeneral.zst LeCaR cache size    14646, 1403090 req, miss ratio 0.4394, byte miss ratio 0.4394
result/tencentBlock.ns5836.oracleGeneral.zst LeCaR cache size    29293, 1403090 req, miss ratio 0.3803, byte miss ratio 0.3803
result/tencentBlock.ns5836.oracleGeneral.zst LeCaR cache size    58587, 1403090 req, miss ratio 0.2773, byte miss ratio 0.2773
result/tencentBlock.ns5836.oracleGeneral.zst LeCaR cache size   117175, 1403090 req, miss ratio 0.1210, byte miss ratio 0.1210
result/tencentBlock.ns5836.oracleGeneral.zst Clock cache size      146, 1403090 req, miss ratio 0.5061, byte miss ratio 0.5061
result/tencentBlock.ns5836.oracleGeneral.zst Clock cache size      439, 1403090 req, miss ratio 0.4512, byte miss ratio 0.4512
result/tencentBlock.ns5836.oracleGeneral.zst Clock cache size     1464, 1403090 req, miss ratio 0.4436, byte miss ratio 0.4436
result/tencentBlock.ns5836.oracleGeneral.zst Clock cache size     4394, 1403090 req, miss ratio 0.4406, byte miss ratio 0.4406
result/tencentBlock.ns5836.oracleGeneral.zst Clock cache size    14646, 1403090 req, miss ratio 0.4395, byte miss ratio 0.4395
result/tencentBlock.ns5836.oracleGeneral.zst Clock cache size    29293, 1403090 req, miss ratio 0.3899, byte miss ratio 0.3899
result/tencentBlock.ns5836.oracleGeneral.zst Clock cache size    58587, 1403090 req, miss ratio 0.3301, byte miss ratio 0.3301
result/tencentBlock.ns5836.oracleGeneral.zst Clock cache size   117175, 1403090 req, miss ratio 0.1342, byte miss ratio 0.1342
result/tencentBlock.ns5836.oracleGeneral.zst clock2 cache size      146, 1403090 req, miss ratio 0.5085, byte miss ratio 0.5085
