result/tencentBlock.ns5936.oracleGeneral.zst Clock cache size       91, 3720288 req, miss ratio 0.2387, byte miss ratio 0.2387
result/tencentBlock.ns5936.oracleGeneral.zst Clock cache size      273, 3720288 req, miss ratio 0.1521, byte miss ratio 0.1521
result/tencentBlock.ns5936.oracleGeneral.zst Clock cache size      911, 3720288 req, miss ratio 0.1242, byte miss ratio 0.1242
result/tencentBlock.ns5936.oracleGeneral.zst Clock cache size     2734, 3720288 req, miss ratio 0.1173, byte miss ratio 0.1173
result/tencentBlock.ns5936.oracleGeneral.zst Clock cache size     9116, 3720288 req, miss ratio 0.1084, byte miss ratio 0.1084
result/tencentBlock.ns5936.oracleGeneral.zst Clock cache size    18232, 3720288 req, miss ratio 0.0663, byte miss ratio 0.0663
result/tencentBlock.ns5936.oracleGeneral.zst Clock cache size    36465, 3720288 req, miss ratio 0.0317, byte miss ratio 0.0317
result/tencentBlock.ns5936.oracleGeneral.zst Clock cache size    72930, 3720288 req, miss ratio 0.0248, byte miss ratio 0.0248
result/tencentBlock.ns5936.oracleGeneral.zst LeCaR cache size       91, 3720288 req, miss ratio 0.2160, byte miss ratio 0.2160
result/tencentBlock.ns5936.oracleGeneral.zst LeCaR cache size      273, 3720288 req, miss ratio 0.1463, byte miss ratio 0.1463
result/tencentBlock.ns5936.oracleGeneral.zst LeCaR cache size      911, 3720288 req, miss ratio 0.1230, byte miss ratio 0.1230
result/tencentBlock.ns5936.oracleGeneral.zst LeCaR cache size     2734, 3720288 req, miss ratio 0.1147, byte miss ratio 0.1147
result/tencentBlock.ns5936.oracleGeneral.zst LeCaR cache size     9116, 3720288 req, miss ratio 0.1063, byte miss ratio 0.1063
result/tencentBlock.ns5936.oracleGeneral.zst LeCaR cache size    18232, 3720288 req, miss ratio 0.0609, byte miss ratio 0.0609
result/tencentBlock.ns5936.oracleGeneral.zst LeCaR cache size    36465, 3720288 req, miss ratio 0.0285, byte miss ratio 0.0285
result/tencentBlock.ns5936.oracleGeneral.zst LeCaR cache size    72930, 3720288 req, miss ratio 0.0247, byte miss ratio 0.0247
result/tencentBlock.ns5936.oracleGeneral.zst LRU cache size       91, 3720288 req, miss ratio 0.2529, byte miss ratio 0.2529
