result/tencentBlock.ns7160.oracleGeneral.zst Clock cache size     1034, 16514846 req, miss ratio 0.8744, byte miss ratio 0.8744
result/tencentBlock.ns7160.oracleGeneral.zst Clock cache size     3104, 16514846 req, miss ratio 0.7354, byte miss ratio 0.7354
result/tencentBlock.ns7160.oracleGeneral.zst Clock cache size    10349, 16514846 req, miss ratio 0.5889, byte miss ratio 0.5889
result/tencentBlock.ns7160.oracleGeneral.zst Clock cache size    31048, 16514846 req, miss ratio 0.4930, byte miss ratio 0.4930
result/tencentBlock.ns7160.oracleGeneral.zst Clock cache size   103494, 16514846 req, miss ratio 0.3406, byte miss ratio 0.3406
result/tencentBlock.ns7160.oracleGeneral.zst Clock cache size   206989, 16514846 req, miss ratio 0.2079, byte miss ratio 0.2079
result/tencentBlock.ns7160.oracleGeneral.zst Clock cache size   413979, 16514846 req, miss ratio 0.1121, byte miss ratio 0.1121
result/tencentBlock.ns7160.oracleGeneral.zst Clock cache size   827958, 16514846 req, miss ratio 0.0682, byte miss ratio 0.0682
result/tencentBlock.ns7160.oracleGeneral.zst ARC cache size     1034, 16514846 req, miss ratio 0.8458, byte miss ratio 0.8458
result/tencentBlock.ns7160.oracleGeneral.zst ARC cache size     3104, 16514846 req, miss ratio 0.7292, byte miss ratio 0.7292
result/tencentBlock.ns7160.oracleGeneral.zst ARC cache size    10349, 16514846 req, miss ratio 0.5878, byte miss ratio 0.5878
result/tencentBlock.ns7160.oracleGeneral.zst ARC cache size    31048, 16514846 req, miss ratio 0.4970, byte miss ratio 0.4970
result/tencentBlock.ns7160.oracleGeneral.zst ARC cache size   103494, 16514846 req, miss ratio 0.3427, byte miss ratio 0.3427
result/tencentBlock.ns7160.oracleGeneral.zst ARC cache size   206989, 16514846 req, miss ratio 0.2087, byte miss ratio 0.2087
result/tencentBlock.ns7160.oracleGeneral.zst ARC cache size   413979, 16514846 req, miss ratio 0.1109, byte miss ratio 0.1109
result/tencentBlock.ns7160.oracleGeneral.zst ARC cache size   827958, 16514846 req, miss ratio 0.0660, byte miss ratio 0.0660
