result/tencentBlock.ns7250.oracleGeneral.zst LIRS cache size      177, 7021432 req, miss ratio 0.2767, byte miss ratio 0.2767
result/tencentBlock.ns7250.oracleGeneral.zst LIRS cache size      533, 7021432 req, miss ratio 0.1650, byte miss ratio 0.1650
result/tencentBlock.ns7250.oracleGeneral.zst LIRS cache size     1779, 7021432 req, miss ratio 0.1242, byte miss ratio 0.1242
result/tencentBlock.ns7250.oracleGeneral.zst LIRS cache size     5337, 7021432 req, miss ratio 0.1059, byte miss ratio 0.1059
result/tencentBlock.ns7250.oracleGeneral.zst LIRS cache size    17791, 7021432 req, miss ratio 0.0926, byte miss ratio 0.0926
result/tencentBlock.ns7250.oracleGeneral.zst LIRS cache size    35583, 7021432 req, miss ratio 0.0748, byte miss ratio 0.0748
result/tencentBlock.ns7250.oracleGeneral.zst LIRS cache size    71167, 7021432 req, miss ratio 0.0492, byte miss ratio 0.0492
result/tencentBlock.ns7250.oracleGeneral.zst LIRS cache size   142335, 7021432 req, miss ratio 0.0262, byte miss ratio 0.0262
result/tencentBlock.ns7250.oracleGeneral.zst clock2 cache size      177, 7021432 req, miss ratio 0.4037, byte miss ratio 0.4037
result/tencentBlock.ns7250.oracleGeneral.zst clock2 cache size      533, 7021432 req, miss ratio 0.1704, byte miss ratio 0.1704
result/tencentBlock.ns7250.oracleGeneral.zst clock2 cache size     1779, 7021432 req, miss ratio 0.1255, byte miss ratio 0.1255
result/tencentBlock.ns7250.oracleGeneral.zst clock2 cache size     5337, 7021432 req, miss ratio 0.1105, byte miss ratio 0.1105
result/tencentBlock.ns7250.oracleGeneral.zst clock2 cache size    17791, 7021432 req, miss ratio 0.0987, byte miss ratio 0.0987
result/tencentBlock.ns7250.oracleGeneral.zst clock2 cache size    35583, 7021432 req, miss ratio 0.0867, byte miss ratio 0.0867
result/tencentBlock.ns7250.oracleGeneral.zst clock2 cache size    71167, 7021432 req, miss ratio 0.0705, byte miss ratio 0.0705
result/tencentBlock.ns7250.oracleGeneral.zst clock2 cache size   142335, 7021432 req, miss ratio 0.0270, byte miss ratio 0.0270
result/tencentBlock.ns7250.oracleGeneral.zst S3FIFO-1 cache size      177, 7021432 req, miss ratio 0.3005, byte miss ratio 0.3005
result/tencentBlock.ns7250.oracleGeneral.zst S3FIFO-1 cache size      533, 7021432 req, miss ratio 0.1549, byte miss ratio 0.1549
result/tencentBlock.ns7250.oracleGeneral.zst S3FIFO-1 cache size     1779, 7021432 req, miss ratio 0.1163, byte miss ratio 0.1163
result/tencentBlock.ns7250.oracleGeneral.zst S3FIFO-1 cache size     5337, 7021432 req, miss ratio 0.1029, byte miss ratio 0.1029
result/tencentBlock.ns7250.oracleGeneral.zst S3FIFO-1 cache size    17791, 7021432 req, miss ratio 0.0904, byte miss ratio 0.0904
result/tencentBlock.ns7250.oracleGeneral.zst S3FIFO-1 cache size    35583, 7021432 req, miss ratio 0.0845, byte miss ratio 0.0845
result/tencentBlock.ns7250.oracleGeneral.zst S3FIFO-1 cache size    71167, 7021432 req, miss ratio 0.0511, byte miss ratio 0.0511
result/tencentBlock.ns7250.oracleGeneral.zst S3FIFO-1 cache size   142335, 7021432 req, miss ratio 0.0267, byte miss ratio 0.0267
