result/tencentBlock.ns8361.oracleGeneral.zst ARC cache size      137, 4039176 req, miss ratio 0.2933, byte miss ratio 0.2933
result/tencentBlock.ns8361.oracleGeneral.zst ARC cache size      413, 4039176 req, miss ratio 0.1956, byte miss ratio 0.1956
result/tencentBlock.ns8361.oracleGeneral.zst ARC cache size     1378, 4039176 req, miss ratio 0.1405, byte miss ratio 0.1405
result/tencentBlock.ns8361.oracleGeneral.zst ARC cache size     4136, 4039176 req, miss ratio 0.1111, byte miss ratio 0.1111
result/tencentBlock.ns8361.oracleGeneral.zst ARC cache size    13789, 4039176 req, miss ratio 0.0887, byte miss ratio 0.0887
result/tencentBlock.ns8361.oracleGeneral.zst ARC cache size    27579, 4039176 req, miss ratio 0.0722, byte miss ratio 0.0722
result/tencentBlock.ns8361.oracleGeneral.zst ARC cache size    55158, 4039176 req, miss ratio 0.0491, byte miss ratio 0.0491
result/tencentBlock.ns8361.oracleGeneral.zst ARC cache size   110316, 4039176 req, miss ratio 0.0349, byte miss ratio 0.0349
result/tencentBlock.ns8361.oracleGeneral.zst S3FIFO-1 cache size      137, 4039176 req, miss ratio 0.3018, byte miss ratio 0.3018
result/tencentBlock.ns8361.oracleGeneral.zst S3FIFO-1 cache size      413, 4039176 req, miss ratio 0.1926, byte miss ratio 0.1926
result/tencentBlock.ns8361.oracleGeneral.zst S3FIFO-1 cache size     1378, 4039176 req, miss ratio 0.1383, byte miss ratio 0.1383
result/tencentBlock.ns8361.oracleGeneral.zst S3FIFO-1 cache size     4136, 4039176 req, miss ratio 0.1084, byte miss ratio 0.1084
result/tencentBlock.ns8361.oracleGeneral.zst S3FIFO-1 cache size    13789, 4039176 req, miss ratio 0.0863, byte miss ratio 0.0863
result/tencentBlock.ns8361.oracleGeneral.zst S3FIFO-1 cache size    27579, 4039176 req, miss ratio 0.0714, byte miss ratio 0.0714
result/tencentBlock.ns8361.oracleGeneral.zst S3FIFO-1 cache size    55158, 4039176 req, miss ratio 0.0486, byte miss ratio 0.0486
result/tencentBlock.ns8361.oracleGeneral.zst S3FIFO-1 cache size   110316, 4039176 req, miss ratio 0.0349, byte miss ratio 0.0349
result/tencentBlock.ns8361.oracleGeneral.zst Clock cache size      137, 4039176 req, miss ratio 0.3680, byte miss ratio 0.3680
result/tencentBlock.ns8361.oracleGeneral.zst Clock cache size      413, 4039176 req, miss ratio 0.2110, byte miss ratio 0.2110
result/tencentBlock.ns8361.oracleGeneral.zst Clock cache size     1378, 4039176 req, miss ratio 0.1608, byte miss ratio 0.1608
result/tencentBlock.ns8361.oracleGeneral.zst Clock cache size     4136, 4039176 req, miss ratio 0.1214, byte miss ratio 0.1214
result/tencentBlock.ns8361.oracleGeneral.zst Clock cache size    13789, 4039176 req, miss ratio 0.0985, byte miss ratio 0.0985
