result/tencentBlock.ns9356.oracleGeneral.zst LRU cache size      155, 1185760 req, miss ratio 0.6327, byte miss ratio 0.6327
result/tencentBlock.ns9356.oracleGeneral.zst LRU cache size      465, 1185760 req, miss ratio 0.5824, byte miss ratio 0.5824
result/tencentBlock.ns9356.oracleGeneral.zst LRU cache size     1550, 1185760 req, miss ratio 0.5104, byte miss ratio 0.5104
result/tencentBlock.ns9356.oracleGeneral.zst LRU cache size     4650, 1185760 req, miss ratio 0.4960, byte miss ratio 0.4960
result/tencentBlock.ns9356.oracleGeneral.zst LRU cache size    15501, 1185760 req, miss ratio 0.4831, byte miss ratio 0.4831
result/tencentBlock.ns9356.oracleGeneral.zst LRU cache size    31003, 1185760 req, miss ratio 0.4228, byte miss ratio 0.4228
result/tencentBlock.ns9356.oracleGeneral.zst LRU cache size    62007, 1185760 req, miss ratio 0.2551, byte miss ratio 0.2551
result/tencentBlock.ns9356.oracleGeneral.zst LRU cache size   124014, 1185760 req, miss ratio 0.1320, byte miss ratio 0.1320
result/tencentBlock.ns9356.oracleGeneral.zst Clock cache size      155, 1185760 req, miss ratio 0.6230, byte miss ratio 0.6230
result/tencentBlock.ns9356.oracleGeneral.zst Clock cache size      465, 1185760 req, miss ratio 0.5800, byte miss ratio 0.5800
result/tencentBlock.ns9356.oracleGeneral.zst Clock cache size     1550, 1185760 req, miss ratio 0.5111, byte miss ratio 0.5111
result/tencentBlock.ns9356.oracleGeneral.zst Clock cache size     4650, 1185760 req, miss ratio 0.4949, byte miss ratio 0.4949
result/tencentBlock.ns9356.oracleGeneral.zst Clock cache size    15501, 1185760 req, miss ratio 0.4832, byte miss ratio 0.4832
result/tencentBlock.ns9356.oracleGeneral.zst Clock cache size    31003, 1185760 req, miss ratio 0.4166, byte miss ratio 0.4166
result/tencentBlock.ns9356.oracleGeneral.zst Clock cache size    62007, 1185760 req, miss ratio 0.2919, byte miss ratio 0.2919
result/tencentBlock.ns9356.oracleGeneral.zst Clock cache size   124014, 1185760 req, miss ratio 0.1333, byte miss ratio 0.1333
result/tencentBlock.ns9356.oracleGeneral.zst FIFO cache size      155, 1185760 req, miss ratio 0.7223, byte miss ratio 0.7223
result/tencentBlock.ns9356.oracleGeneral.zst FIFO cache size      465, 1185760 req, miss ratio 0.6288, byte miss ratio 0.6288
result/tencentBlock.ns9356.oracleGeneral.zst FIFO cache size     1550, 1185760 req, miss ratio 0.5444, byte miss ratio 0.5444
result/tencentBlock.ns9356.oracleGeneral.zst FIFO cache size     4650, 1185760 req, miss ratio 0.5123, byte miss ratio 0.5123
result/tencentBlock.ns9356.oracleGeneral.zst FIFO cache size    15501, 1185760 req, miss ratio 0.4909, byte miss ratio 0.4909
result/tencentBlock.ns9356.oracleGeneral.zst FIFO cache size    31003, 1185760 req, miss ratio 0.4336, byte miss ratio 0.4336
result/tencentBlock.ns9356.oracleGeneral.zst FIFO cache size    62007, 1185760 req, miss ratio 0.2843, byte miss ratio 0.2843
result/tencentBlock.ns9356.oracleGeneral.zst FIFO cache size   124014, 1185760 req, miss ratio 0.1628, byte miss ratio 0.1628
result/tencentBlock.ns9356.oracleGeneral.zst LIRS cache size      155, 1185760 req, miss ratio 0.6126, byte miss ratio 0.6126
result/tencentBlock.ns9356.oracleGeneral.zst LIRS cache size      465, 1185760 req, miss ratio 0.5937, byte miss ratio 0.5937
result/tencentBlock.ns9356.oracleGeneral.zst LIRS cache size     1550, 1185760 req, miss ratio 0.5311, byte miss ratio 0.5311
result/tencentBlock.ns9356.oracleGeneral.zst LIRS cache size     4650, 1185760 req, miss ratio 0.4959, byte miss ratio 0.4959
result/tencentBlock.ns9356.oracleGeneral.zst LIRS cache size    15501, 1185760 req, miss ratio 0.4403, byte miss ratio 0.4403
result/tencentBlock.ns9356.oracleGeneral.zst LIRS cache size    31003, 1185760 req, miss ratio 0.3966, byte miss ratio 0.3966
result/tencentBlock.ns9356.oracleGeneral.zst LIRS cache size    62007, 1185760 req, miss ratio 0.2817, byte miss ratio 0.2817
result/tencentBlock.ns9356.oracleGeneral.zst LIRS cache size   124014, 1185760 req, miss ratio 0.1346, byte miss ratio 0.1346
result/tencentBlock.ns9356.oracleGeneral.zst ARC cache size      155, 1185760 req, miss ratio 0.5875, byte miss ratio 0.5875
result/tencentBlock.ns9356.oracleGeneral.zst ARC cache size      465, 1185760 req, miss ratio 0.5681, byte miss ratio 0.5681
result/tencentBlock.ns9356.oracleGeneral.zst ARC cache size     1550, 1185760 req, miss ratio 0.5018, byte miss ratio 0.5018
result/tencentBlock.ns9356.oracleGeneral.zst ARC cache size     4650, 1185760 req, miss ratio 0.4886, byte miss ratio 0.4886
result/tencentBlock.ns9356.oracleGeneral.zst ARC cache size    15501, 1185760 req, miss ratio 0.4647, byte miss ratio 0.4647
result/tencentBlock.ns9356.oracleGeneral.zst ARC cache size    31003, 1185760 req, miss ratio 0.4036, byte miss ratio 0.4036
