result/tencentBlock.ns9705.oracleGeneral.zst Cacheus cache size       58, 2633396 req, miss ratio 0.4757, byte miss ratio 0.4757
result/tencentBlock.ns9705.oracleGeneral.zst Cacheus cache size      175, 2633396 req, miss ratio 0.4078, byte miss ratio 0.4078
result/tencentBlock.ns9705.oracleGeneral.zst Cacheus cache size      584, 2633396 req, miss ratio 0.1006, byte miss ratio 0.1006
result/tencentBlock.ns9705.oracleGeneral.zst Cacheus cache size     1753, 2633396 req, miss ratio 0.0839, byte miss ratio 0.0839
result/tencentBlock.ns9705.oracleGeneral.zst Cacheus cache size     5845, 2633396 req, miss ratio 0.0701, byte miss ratio 0.0701
result/tencentBlock.ns9705.oracleGeneral.zst Cacheus cache size    11691, 2633396 req, miss ratio 0.0600, byte miss ratio 0.0600
result/tencentBlock.ns9705.oracleGeneral.zst Cacheus cache size    23382, 2633396 req, miss ratio 0.0401, byte miss ratio 0.0401
result/tencentBlock.ns9705.oracleGeneral.zst Cacheus cache size    46765, 2633396 req, miss ratio 0.0234, byte miss ratio 0.0234
result/tencentBlock.ns9705.oracleGeneral.zst LIRS cache size       58, 2633396 req, miss ratio 0.4769, byte miss ratio 0.4769
result/tencentBlock.ns9705.oracleGeneral.zst LIRS cache size      175, 2633396 req, miss ratio 0.2221, byte miss ratio 0.2221
result/tencentBlock.ns9705.oracleGeneral.zst LIRS cache size      584, 2633396 req, miss ratio 0.1039, byte miss ratio 0.1039
result/tencentBlock.ns9705.oracleGeneral.zst LIRS cache size     1753, 2633396 req, miss ratio 0.0847, byte miss ratio 0.0847
result/tencentBlock.ns9705.oracleGeneral.zst LIRS cache size     5845, 2633396 req, miss ratio 0.0704, byte miss ratio 0.0704
result/tencentBlock.ns9705.oracleGeneral.zst LIRS cache size    11691, 2633396 req, miss ratio 0.0585, byte miss ratio 0.0585
result/tencentBlock.ns9705.oracleGeneral.zst LIRS cache size    23382, 2633396 req, miss ratio 0.0390, byte miss ratio 0.0390
result/tencentBlock.ns9705.oracleGeneral.zst LIRS cache size    46765, 2633396 req, miss ratio 0.0245, byte miss ratio 0.0245
result/tencentBlock.ns9705.oracleGeneral.zst FIFO cache size       58, 2633396 req, miss ratio 0.6465, byte miss ratio 0.6465
result/tencentBlock.ns9705.oracleGeneral.zst FIFO cache size      175, 2633396 req, miss ratio 0.4287, byte miss ratio 0.4287
result/tencentBlock.ns9705.oracleGeneral.zst FIFO cache size      584, 2633396 req, miss ratio 0.1310, byte miss ratio 0.1310
result/tencentBlock.ns9705.oracleGeneral.zst FIFO cache size     1753, 2633396 req, miss ratio 0.0986, byte miss ratio 0.0986
result/tencentBlock.ns9705.oracleGeneral.zst FIFO cache size     5845, 2633396 req, miss ratio 0.0761, byte miss ratio 0.0761
result/tencentBlock.ns9705.oracleGeneral.zst FIFO cache size    11691, 2633396 req, miss ratio 0.0649, byte miss ratio 0.0649
result/tencentBlock.ns9705.oracleGeneral.zst FIFO cache size    23382, 2633396 req, miss ratio 0.0447, byte miss ratio 0.0447
result/tencentBlock.ns9705.oracleGeneral.zst FIFO cache size    46765, 2633396 req, miss ratio 0.0301, byte miss ratio 0.0301
