result/passbird_cache.1.oracleGeneral.sample10.zst FIFO cache size     6023, 496711804 req, miss ratio 0.1179, byte miss ratio 0.1179
result/passbird_cache.1.oracleGeneral.sample10.zst FIFO cache size    18069, 496711804 req, miss ratio 0.0582, byte miss ratio 0.0582
result/passbird_cache.1.oracleGeneral.sample10.zst FIFO cache size    60230, 496711804 req, miss ratio 0.0377, byte miss ratio 0.0377
result/passbird_cache.1.oracleGeneral.sample10.zst FIFO cache size   180690, 496711804 req, miss ratio 0.0286, byte miss ratio 0.0286
result/passbird_cache.1.oracleGeneral.sample10.zst FIFO cache size   602302, 496711804 req, miss ratio 0.0210, byte miss ratio 0.0210
result/passbird_cache.1.oracleGeneral.sample10.zst FIFO cache size  1204605, 496711804 req, miss ratio 0.0185, byte miss ratio 0.0185
result/passbird_cache.1.oracleGeneral.sample10.zst FIFO cache size  2409211, 496711804 req, miss ratio 0.0142, byte miss ratio 0.0142
result/passbird_cache.1.oracleGeneral.sample10.zst FIFO cache size  4818422, 496711804 req, miss ratio 0.0129, byte miss ratio 0.0129
result/passbird_cache.1.oracleGeneral.sample10.zst LRU cache size     6023, 496711804 req, miss ratio 0.0931, byte miss ratio 0.0931
result/passbird_cache.1.oracleGeneral.sample10.zst LRU cache size    18069, 496711804 req, miss ratio 0.0460, byte miss ratio 0.0460
result/passbird_cache.1.oracleGeneral.sample10.zst LRU cache size    60230, 496711804 req, miss ratio 0.0331, byte miss ratio 0.0331
result/passbird_cache.1.oracleGeneral.sample10.zst LRU cache size   180690, 496711804 req, miss ratio 0.0261, byte miss ratio 0.0261
result/passbird_cache.1.oracleGeneral.sample10.zst LRU cache size   602302, 496711804 req, miss ratio 0.0184, byte miss ratio 0.0184
result/passbird_cache.1.oracleGeneral.sample10.zst LRU cache size  1204605, 496711804 req, miss ratio 0.0164, byte miss ratio 0.0164
result/passbird_cache.1.oracleGeneral.sample10.zst LRU cache size  2409211, 496711804 req, miss ratio 0.0124, byte miss ratio 0.0124
result/passbird_cache.1.oracleGeneral.sample10.zst LRU cache size  4818422, 496711804 req, miss ratio 0.0121, byte miss ratio 0.0121
result/passbird_cache.1.oracleGeneral.sample10.zst Clock cache size     6023, 496711804 req, miss ratio 0.0918, byte miss ratio 0.0918
result/passbird_cache.1.oracleGeneral.sample10.zst Clock cache size    18069, 496711804 req, miss ratio 0.0465, byte miss ratio 0.0465
result/passbird_cache.1.oracleGeneral.sample10.zst Clock cache size    60230, 496711804 req, miss ratio 0.0329, byte miss ratio 0.0329
result/passbird_cache.1.oracleGeneral.sample10.zst Clock cache size   180690, 496711804 req, miss ratio 0.0261, byte miss ratio 0.0261
result/passbird_cache.1.oracleGeneral.sample10.zst Clock cache size   602302, 496711804 req, miss ratio 0.0186, byte miss ratio 0.0186
result/passbird_cache.1.oracleGeneral.sample10.zst Clock cache size  1204605, 496711804 req, miss ratio 0.0157, byte miss ratio 0.0157
result/passbird_cache.1.oracleGeneral.sample10.zst Clock cache size  2409211, 496711804 req, miss ratio 0.0127, byte miss ratio 0.0127
result/passbird_cache.1.oracleGeneral.sample10.zst Clock cache size  4818422, 496711804 req, miss ratio 0.0122, byte miss ratio 0.0122
result/passbird_cache.1.oracleGeneral.sample10.zst LHD cache size     6023, 496711804 req, miss ratio 0.0775, byte miss ratio 0.0775
result/passbird_cache.1.oracleGeneral.sample10.zst LHD cache size    18069, 496711804 req, miss ratio 0.0446, byte miss ratio 0.0446
result/passbird_cache.1.oracleGeneral.sample10.zst LHD cache size    60230, 496711804 req, miss ratio 0.0315, byte miss ratio 0.0315
result/passbird_cache.1.oracleGeneral.sample10.zst LHD cache size   180690, 496711804 req, miss ratio 0.0253, byte miss ratio 0.0253
result/passbird_cache.1.oracleGeneral.sample10.zst LHD cache size   602302, 496711804 req, miss ratio 0.0181, byte miss ratio 0.0181
result/passbird_cache.1.oracleGeneral.sample10.zst LHD cache size  1204605, 496711804 req, miss ratio 0.0143, byte miss ratio 0.0143
result/passbird_cache.1.oracleGeneral.sample10.zst LHD cache size  2409211, 496711804 req, miss ratio 0.0126, byte miss ratio 0.0126
result/passbird_cache.1.oracleGeneral.sample10.zst LHD cache size  4818422, 496711804 req, miss ratio 0.0122, byte miss ratio 0.0122
result/passbird_cache.1.oracleGeneral.sample10.zst Cacheus cache size     6023, 496711804 req, miss ratio 0.0896, byte miss ratio 0.0896
result/passbird_cache.1.oracleGeneral.sample10.zst Cacheus cache size    18069, 496711804 req, miss ratio 0.0450, byte miss ratio 0.0450
result/passbird_cache.1.oracleGeneral.sample10.zst Cacheus cache size    60230, 496711804 req, miss ratio 0.0325, byte miss ratio 0.0325
result/passbird_cache.1.oracleGeneral.sample10.zst Cacheus cache size   180690, 496711804 req, miss ratio 0.0270, byte miss ratio 0.0270
