result/pushservice_mh_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size     1337, 169287715 req, miss ratio 0.5817, byte miss ratio 0.5817
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size     4011, 169287715 req, miss ratio 0.5499, byte miss ratio 0.5499
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size    13371, 169287715 req, miss ratio 0.5215, byte miss ratio 0.5215
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size    40114, 169287715 req, miss ratio 0.4872, byte miss ratio 0.4872
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size   133713, 169287715 req, miss ratio 0.3306, byte miss ratio 0.3306
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size   267427, 169287715 req, miss ratio 0.1687, byte miss ratio 0.1687
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size   534855, 169287715 req, miss ratio 0.0856, byte miss ratio 0.0856
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size  1069710, 169287715 req, miss ratio 0.0104, byte miss ratio 0.0104
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst Clock cache size     1337, 169287715 req, miss ratio 0.6127, byte miss ratio 0.6127
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst Clock cache size     4011, 169287715 req, miss ratio 0.5777, byte miss ratio 0.5777
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst Clock cache size    13371, 169287715 req, miss ratio 0.5450, byte miss ratio 0.5450
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst Clock cache size    40114, 169287715 req, miss ratio 0.5142, byte miss ratio 0.5142
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst Clock cache size   133713, 169287715 req, miss ratio 0.4501, byte miss ratio 0.4501
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst Clock cache size   267427, 169287715 req, miss ratio 0.1900, byte miss ratio 0.1900
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst Clock cache size   534855, 169287715 req, miss ratio 0.1001, byte miss ratio 0.1001
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst Clock cache size  1069710, 169287715 req, miss ratio 0.0108, byte miss ratio 0.0108
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst ARC cache size     1337, 169287715 req, miss ratio 0.5931, byte miss ratio 0.5931
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst ARC cache size     4011, 169287715 req, miss ratio 0.5615, byte miss ratio 0.5615
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst ARC cache size    13371, 169287715 req, miss ratio 0.5314, byte miss ratio 0.5314
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst ARC cache size    40114, 169287715 req, miss ratio 0.4973, byte miss ratio 0.4973
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst ARC cache size   133713, 169287715 req, miss ratio 0.3221, byte miss ratio 0.3221
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst ARC cache size   267427, 169287715 req, miss ratio 0.1728, byte miss ratio 0.1728
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst ARC cache size   534855, 169287715 req, miss ratio 0.1015, byte miss ratio 0.1015
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst ARC cache size  1069710, 169287715 req, miss ratio 0.0098, byte miss ratio 0.0098
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst FIFO cache size     1337, 169287715 req, miss ratio 0.6368, byte miss ratio 0.6368
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst FIFO cache size     4011, 169287715 req, miss ratio 0.5993, byte miss ratio 0.5993
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst FIFO cache size    13371, 169287715 req, miss ratio 0.5626, byte miss ratio 0.5626
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst FIFO cache size    40114, 169287715 req, miss ratio 0.5285, byte miss ratio 0.5285
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst FIFO cache size   133713, 169287715 req, miss ratio 0.4268, byte miss ratio 0.4268
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst FIFO cache size   267427, 169287715 req, miss ratio 0.2595, byte miss ratio 0.2595
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst FIFO cache size   534855, 169287715 req, miss ratio 0.1423, byte miss ratio 0.1423
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst FIFO cache size  1069710, 169287715 req, miss ratio 0.0190, byte miss ratio 0.0190
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst LIRS cache size     1337, 169287715 req, miss ratio 0.6041, byte miss ratio 0.6041
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst LIRS cache size     4011, 169287715 req, miss ratio 0.5689, byte miss ratio 0.5689
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst LIRS cache size    13371, 169287715 req, miss ratio 0.5340, byte miss ratio 0.5340
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst LIRS cache size    40114, 169287715 req, miss ratio 0.4946, byte miss ratio 0.4946
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst LIRS cache size   133713, 169287715 req, miss ratio 0.2979, byte miss ratio 0.2979
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst LIRS cache size   267427, 169287715 req, miss ratio 0.1652, byte miss ratio 0.1652
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst LIRS cache size   534855, 169287715 req, miss ratio 0.0884, byte miss ratio 0.0884
result/pushservice_mh_cache.1.oracleGeneral.sample10.zst LIRS cache size  1069710, 169287715 req, miss ratio 0.0098, byte miss ratio 0.0098
