result/query_stream_processor_cache.0.oracleGeneral.sample10.zst LeCaR cache size      688, 58463439 req, miss ratio 0.3784, byte miss ratio 0.3784
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst LeCaR cache size     2065, 58463439 req, miss ratio 0.1863, byte miss ratio 0.1863
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst LeCaR cache size     6883, 58463439 req, miss ratio 0.1165, byte miss ratio 0.1165
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst LeCaR cache size    20651, 58463439 req, miss ratio 0.0852, byte miss ratio 0.0852
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst LeCaR cache size    68839, 58463439 req, miss ratio 0.0572, byte miss ratio 0.0572
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst LeCaR cache size   137678, 58463439 req, miss ratio 0.0415, byte miss ratio 0.0415
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst LeCaR cache size   275356, 58463439 req, miss ratio 0.0228, byte miss ratio 0.0228
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst LeCaR cache size   550712, 58463439 req, miss ratio 0.0124, byte miss ratio 0.0124
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size      688, 58463439 req, miss ratio 0.4657, byte miss ratio 0.4657
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size     2065, 58463439 req, miss ratio 0.2383, byte miss ratio 0.2383
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size     6883, 58463439 req, miss ratio 0.1163, byte miss ratio 0.1163
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size    20651, 58463439 req, miss ratio 0.0844, byte miss ratio 0.0844
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size    68839, 58463439 req, miss ratio 0.0556, byte miss ratio 0.0556
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size   137678, 58463439 req, miss ratio 0.0377, byte miss ratio 0.0377
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size   275356, 58463439 req, miss ratio 0.0210, byte miss ratio 0.0210
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size   550712, 58463439 req, miss ratio 0.0130, byte miss ratio 0.0130
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst LRU cache size      688, 58463439 req, miss ratio 0.3829, byte miss ratio 0.3829
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst LRU cache size     2065, 58463439 req, miss ratio 0.1837, byte miss ratio 0.1837
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst LRU cache size     6883, 58463439 req, miss ratio 0.1152, byte miss ratio 0.1152
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst LRU cache size    20651, 58463439 req, miss ratio 0.0841, byte miss ratio 0.0841
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst LRU cache size    68839, 58463439 req, miss ratio 0.0565, byte miss ratio 0.0565
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst LRU cache size   137678, 58463439 req, miss ratio 0.0411, byte miss ratio 0.0411
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst LRU cache size   275356, 58463439 req, miss ratio 0.0228, byte miss ratio 0.0228
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst LRU cache size   550712, 58463439 req, miss ratio 0.0124, byte miss ratio 0.0124
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst Cacheus cache size      688, 58463439 req, miss ratio 0.4133, byte miss ratio 0.4133
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst Cacheus cache size     2065, 58463439 req, miss ratio 0.1835, byte miss ratio 0.1835
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst Cacheus cache size     6883, 58463439 req, miss ratio 0.1151, byte miss ratio 0.1151
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst Cacheus cache size    20651, 58463439 req, miss ratio 0.0841, byte miss ratio 0.0841
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst Cacheus cache size    68839, 58463439 req, miss ratio 0.0565, byte miss ratio 0.0565
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst Cacheus cache size   137678, 58463439 req, miss ratio 0.0506, byte miss ratio 0.0506
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst Cacheus cache size   275356, 58463439 req, miss ratio 0.0276, byte miss ratio 0.0276
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst Cacheus cache size   550712, 58463439 req, miss ratio 0.0128, byte miss ratio 0.0128
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst FIFO cache size      688, 58463439 req, miss ratio 0.3125, byte miss ratio 0.3125
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst FIFO cache size     2065, 58463439 req, miss ratio 0.2056, byte miss ratio 0.2056
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst FIFO cache size     6883, 58463439 req, miss ratio 0.1267, byte miss ratio 0.1267
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst FIFO cache size    20651, 58463439 req, miss ratio 0.0894, byte miss ratio 0.0894
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst FIFO cache size    68839, 58463439 req, miss ratio 0.0616, byte miss ratio 0.0616
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst FIFO cache size   137678, 58463439 req, miss ratio 0.0459, byte miss ratio 0.0459
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst FIFO cache size   275356, 58463439 req, miss ratio 0.0276, byte miss ratio 0.0276
