result/talon_cache.1.oracleGeneral.sample10.zst LeCaR cache size     6224, 20972856 req, miss ratio 0.5083, byte miss ratio 0.5083
result/talon_cache.1.oracleGeneral.sample10.zst LeCaR cache size    18673, 20972856 req, miss ratio 0.4733, byte miss ratio 0.4733
result/talon_cache.1.oracleGeneral.sample10.zst LeCaR cache size    62244, 20972856 req, miss ratio 0.4373, byte miss ratio 0.4373
result/talon_cache.1.oracleGeneral.sample10.zst LeCaR cache size   186732, 20972856 req, miss ratio 0.4098, byte miss ratio 0.4098
result/talon_cache.1.oracleGeneral.sample10.zst LeCaR cache size   622440, 20972856 req, miss ratio 0.3801, byte miss ratio 0.3801
result/talon_cache.1.oracleGeneral.sample10.zst LeCaR cache size  1244881, 20972856 req, miss ratio 0.3585, byte miss ratio 0.3585
result/talon_cache.1.oracleGeneral.sample10.zst LeCaR cache size  2489763, 20972856 req, miss ratio 0.3297, byte miss ratio 0.3297
result/talon_cache.1.oracleGeneral.sample10.zst LeCaR cache size  4979526, 20972856 req, miss ratio 0.3004, byte miss ratio 0.3004
result/talon_cache.1.oracleGeneral.sample10.zst FIFO cache size     6224, 20972856 req, miss ratio 0.5260, byte miss ratio 0.5260
result/talon_cache.1.oracleGeneral.sample10.zst FIFO cache size    18673, 20972856 req, miss ratio 0.4929, byte miss ratio 0.4929
result/talon_cache.1.oracleGeneral.sample10.zst FIFO cache size    62244, 20972856 req, miss ratio 0.4540, byte miss ratio 0.4540
result/talon_cache.1.oracleGeneral.sample10.zst FIFO cache size   186732, 20972856 req, miss ratio 0.4238, byte miss ratio 0.4238
result/talon_cache.1.oracleGeneral.sample10.zst FIFO cache size   622440, 20972856 req, miss ratio 0.3924, byte miss ratio 0.3924
result/talon_cache.1.oracleGeneral.sample10.zst FIFO cache size  1244881, 20972856 req, miss ratio 0.3688, byte miss ratio 0.3688
result/talon_cache.1.oracleGeneral.sample10.zst FIFO cache size  2489763, 20972856 req, miss ratio 0.3384, byte miss ratio 0.3384
result/talon_cache.1.oracleGeneral.sample10.zst FIFO cache size  4979526, 20972856 req, miss ratio 0.3040, byte miss ratio 0.3040
result/talon_cache.1.oracleGeneral.sample10.zst Clock cache size     6224, 20972856 req, miss ratio 0.5153, byte miss ratio 0.5153
result/talon_cache.1.oracleGeneral.sample10.zst Clock cache size    18673, 20972856 req, miss ratio 0.4796, byte miss ratio 0.4796
result/talon_cache.1.oracleGeneral.sample10.zst Clock cache size    62244, 20972856 req, miss ratio 0.4419, byte miss ratio 0.4419
result/talon_cache.1.oracleGeneral.sample10.zst Clock cache size   186732, 20972856 req, miss ratio 0.4128, byte miss ratio 0.4128
result/talon_cache.1.oracleGeneral.sample10.zst Clock cache size   622440, 20972856 req, miss ratio 0.3833, byte miss ratio 0.3833
result/talon_cache.1.oracleGeneral.sample10.zst Clock cache size  1244881, 20972856 req, miss ratio 0.3610, byte miss ratio 0.3610
result/talon_cache.1.oracleGeneral.sample10.zst Clock cache size  2489763, 20972856 req, miss ratio 0.3312, byte miss ratio 0.3312
result/talon_cache.1.oracleGeneral.sample10.zst Clock cache size  4979526, 20972856 req, miss ratio 0.3007, byte miss ratio 0.3007
result/talon_cache.1.oracleGeneral.sample10.zst LRU cache size     6224, 20972856 req, miss ratio 0.5167, byte miss ratio 0.5167
result/talon_cache.1.oracleGeneral.sample10.zst LRU cache size    18673, 20972856 req, miss ratio 0.4806, byte miss ratio 0.4806
result/talon_cache.1.oracleGeneral.sample10.zst LRU cache size    62244, 20972856 req, miss ratio 0.4409, byte miss ratio 0.4409
result/talon_cache.1.oracleGeneral.sample10.zst LRU cache size   186732, 20972856 req, miss ratio 0.4124, byte miss ratio 0.4124
result/talon_cache.1.oracleGeneral.sample10.zst LRU cache size   622440, 20972856 req, miss ratio 0.3829, byte miss ratio 0.3829
result/talon_cache.1.oracleGeneral.sample10.zst LRU cache size  1244881, 20972856 req, miss ratio 0.3595, byte miss ratio 0.3595
result/talon_cache.1.oracleGeneral.sample10.zst LRU cache size  2489763, 20972856 req, miss ratio 0.3300, byte miss ratio 0.3300
