result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst LRU cache size     9261, 68896859 req, miss ratio 0.4697, byte miss ratio 0.4697
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst LRU cache size    27784, 68896859 req, miss ratio 0.4660, byte miss ratio 0.4660
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst LRU cache size    92614, 68896859 req, miss ratio 0.4594, byte miss ratio 0.4594
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst LRU cache size   277843, 68896859 req, miss ratio 0.4494, byte miss ratio 0.4494
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst LRU cache size   926146, 68896859 req, miss ratio 0.4288, byte miss ratio 0.4288
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst LRU cache size  1852293, 68896859 req, miss ratio 0.3897, byte miss ratio 0.3897
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst LRU cache size  3704586, 68896859 req, miss ratio 0.2746, byte miss ratio 0.2746
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst LRU cache size  7409172, 68896859 req, miss ratio 0.1369, byte miss ratio 0.1369
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst Clock cache size     9261, 68896859 req, miss ratio 0.4698, byte miss ratio 0.4698
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst Clock cache size    27784, 68896859 req, miss ratio 0.4661, byte miss ratio 0.4661
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst Clock cache size    92614, 68896859 req, miss ratio 0.4596, byte miss ratio 0.4596
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst Clock cache size   277843, 68896859 req, miss ratio 0.4497, byte miss ratio 0.4497
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst Clock cache size   926146, 68896859 req, miss ratio 0.4281, byte miss ratio 0.4281
result/email_engagement_count_prod_cache.0.oracleGeneral.sample10.zst Clock cache size  1852293, 68896859 req, miss ratio 0.3914, byte miss ratio 0.3914
