result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst LIRS cache size     1384, 113499024 req, miss ratio 0.5720, byte miss ratio 0.5720
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst LIRS cache size     4153, 113499024 req, miss ratio 0.3885, byte miss ratio 0.3885
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst LIRS cache size    13843, 113499024 req, miss ratio 0.2327, byte miss ratio 0.2327
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst LIRS cache size    41530, 113499024 req, miss ratio 0.1335, byte miss ratio 0.1335
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst LIRS cache size   138433, 113499024 req, miss ratio 0.0629, byte miss ratio 0.0629
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst LIRS cache size   276867, 113499024 req, miss ratio 0.0395, byte miss ratio 0.0395
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst LIRS cache size   553734, 113499024 req, miss ratio 0.0219, byte miss ratio 0.0219
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst LIRS cache size  1107469, 113499024 req, miss ratio 0.0127, byte miss ratio 0.0127
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst LHD cache size     1384, 113499024 req, miss ratio 0.5371, byte miss ratio 0.5371
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst LHD cache size     4153, 113499024 req, miss ratio 0.3716, byte miss ratio 0.3716
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst LHD cache size    13843, 113499024 req, miss ratio 0.2080, byte miss ratio 0.2080
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst LHD cache size    41530, 113499024 req, miss ratio 0.1155, byte miss ratio 0.1155
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst LHD cache size   138433, 113499024 req, miss ratio 0.0566, byte miss ratio 0.0566
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst LHD cache size   276867, 113499024 req, miss ratio 0.0363, byte miss ratio 0.0363
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst LHD cache size   553734, 113499024 req, miss ratio 0.0217, byte miss ratio 0.0217
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst LHD cache size  1107469, 113499024 req, miss ratio 0.0131, byte miss ratio 0.0131
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst LRU cache size     1384, 113499024 req, miss ratio 0.5711, byte miss ratio 0.5711
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst LRU cache size     4153, 113499024 req, miss ratio 0.3923, byte miss ratio 0.3923
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst LRU cache size    13843, 113499024 req, miss ratio 0.2165, byte miss ratio 0.2165
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst LRU cache size    41530, 113499024 req, miss ratio 0.1215, byte miss ratio 0.1215
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst LRU cache size   138433, 113499024 req, miss ratio 0.0589, byte miss ratio 0.0589
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst LRU cache size   276867, 113499024 req, miss ratio 0.0379, byte miss ratio 0.0379
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst LRU cache size   553734, 113499024 req, miss ratio 0.0218, byte miss ratio 0.0218
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst LRU cache size  1107469, 113499024 req, miss ratio 0.0127, byte miss ratio 0.0127
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst Clock cache size     1384, 113499024 req, miss ratio 0.5678, byte miss ratio 0.5678
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst Clock cache size     4153, 113499024 req, miss ratio 0.3908, byte miss ratio 0.3908
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst Clock cache size    13843, 113499024 req, miss ratio 0.2182, byte miss ratio 0.2182
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst Clock cache size    41530, 113499024 req, miss ratio 0.1239, byte miss ratio 0.1239
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst Clock cache size   138433, 113499024 req, miss ratio 0.0611, byte miss ratio 0.0611
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst Clock cache size   276867, 113499024 req, miss ratio 0.0394, byte miss ratio 0.0394
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst Clock cache size   553734, 113499024 req, miss ratio 0.0232, byte miss ratio 0.0232
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst Clock cache size  1107469, 113499024 req, miss ratio 0.0134, byte miss ratio 0.0134
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst FIFO cache size     1384, 113499024 req, miss ratio 0.6017, byte miss ratio 0.6017
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst FIFO cache size     4153, 113499024 req, miss ratio 0.4338, byte miss ratio 0.4338
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst FIFO cache size    13843, 113499024 req, miss ratio 0.2551, byte miss ratio 0.2551
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst FIFO cache size    41530, 113499024 req, miss ratio 0.1467, byte miss ratio 0.1467
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst FIFO cache size   138433, 113499024 req, miss ratio 0.0736, byte miss ratio 0.0736
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst FIFO cache size   276867, 113499024 req, miss ratio 0.0474, byte miss ratio 0.0474
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst FIFO cache size   553734, 113499024 req, miss ratio 0.0282, byte miss ratio 0.0282
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst FIFO cache size  1107469, 113499024 req, miss ratio 0.0152, byte miss ratio 0.0152
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst clock2 cache size     1384, 113499024 req, miss ratio 0.5580, byte miss ratio 0.5580
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst clock2 cache size     4153, 113499024 req, miss ratio 0.3808, byte miss ratio 0.3808
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst clock2 cache size    13843, 113499024 req, miss ratio 0.2123, byte miss ratio 0.2123
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst clock2 cache size    41530, 113499024 req, miss ratio 0.1192, byte miss ratio 0.1192
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst clock2 cache size   138433, 113499024 req, miss ratio 0.0585, byte miss ratio 0.0585
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst clock2 cache size   276867, 113499024 req, miss ratio 0.0372, byte miss ratio 0.0372
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst clock2 cache size   553734, 113499024 req, miss ratio 0.0212, byte miss ratio 0.0212
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst clock2 cache size  1107469, 113499024 req, miss ratio 0.0128, byte miss ratio 0.0128
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst Cacheus cache size     1384, 113499024 req, miss ratio 0.5613, byte miss ratio 0.5613
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst Cacheus cache size     4153, 113499024 req, miss ratio 0.3782, byte miss ratio 0.3782
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst Cacheus cache size    13843, 113499024 req, miss ratio 0.2118, byte miss ratio 0.2118
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst Cacheus cache size    41530, 113499024 req, miss ratio 0.1284, byte miss ratio 0.1284
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst Cacheus cache size   138433, 113499024 req, miss ratio 0.0588, byte miss ratio 0.0588
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst Cacheus cache size   276867, 113499024 req, miss ratio 0.0379, byte miss ratio 0.0379
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst Cacheus cache size   553734, 113499024 req, miss ratio 0.0219, byte miss ratio 0.0219
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst Cacheus cache size  1107469, 113499024 req, miss ratio 0.0127, byte miss ratio 0.0127
result/geo_ipinfo_cache.0.oracleGeneral.sample10.zst LeCaR cache size     1384, 113499024 req, miss ratio 0.5677, byte miss ratio 0.5677
