result/ibis_limiter_cache.0.oracleGeneral.sample10.zst ARC cache size     1623, 288703872 req, miss ratio 0.3256, byte miss ratio 0.3256
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst ARC cache size     4870, 288703872 req, miss ratio 0.2521, byte miss ratio 0.2521
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst ARC cache size    16233, 288703872 req, miss ratio 0.1711, byte miss ratio 0.1711
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst ARC cache size    48700, 288703872 req, miss ratio 0.1092, byte miss ratio 0.1092
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst ARC cache size   162333, 288703872 req, miss ratio 0.0655, byte miss ratio 0.0655
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst ARC cache size   324667, 288703872 req, miss ratio 0.0503, byte miss ratio 0.0503
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst ARC cache size   649334, 288703872 req, miss ratio 0.0174, byte miss ratio 0.0174
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst ARC cache size  1298668, 288703872 req, miss ratio 0.0060, byte miss ratio 0.0060
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst FIFO cache size     1623, 288703872 req, miss ratio 0.3319, byte miss ratio 0.3319
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst FIFO cache size     4870, 288703872 req, miss ratio 0.2690, byte miss ratio 0.2690
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst FIFO cache size    16233, 288703872 req, miss ratio 0.1929, byte miss ratio 0.1929
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst FIFO cache size    48700, 288703872 req, miss ratio 0.1297, byte miss ratio 0.1297
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst FIFO cache size   162333, 288703872 req, miss ratio 0.0798, byte miss ratio 0.0798
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst FIFO cache size   324667, 288703872 req, miss ratio 0.0611, byte miss ratio 0.0611
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst FIFO cache size   649334, 288703872 req, miss ratio 0.0257, byte miss ratio 0.0257
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst FIFO cache size  1298668, 288703872 req, miss ratio 0.0083, byte miss ratio 0.0083
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst Cacheus cache size     1623, 288703872 req, miss ratio 0.3180, byte miss ratio 0.3180
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst Cacheus cache size     4870, 288703872 req, miss ratio 0.2490, byte miss ratio 0.2490
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst Cacheus cache size    16233, 288703872 req, miss ratio 0.1702, byte miss ratio 0.1702
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst Cacheus cache size    48700, 288703872 req, miss ratio 0.1066, byte miss ratio 0.1066
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst Cacheus cache size   162333, 288703872 req, miss ratio 0.0655, byte miss ratio 0.0655
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst Cacheus cache size   324667, 288703872 req, miss ratio 0.0503, byte miss ratio 0.0503
result/ibis_limiter_cache.0.oracleGeneral.sample10.zst Cacheus cache size   649334, 288703872 req, miss ratio 0.0149, byte miss ratio 0.0149
