result/w59.oracleGeneral.bin.zst FIFO cache size     1025, 10223136 req, miss ratio 0.9860, byte miss ratio 0.9860
result/w59.oracleGeneral.bin.zst FIFO cache size     3075, 10223136 req, miss ratio 0.9673, byte miss ratio 0.9673
result/w59.oracleGeneral.bin.zst FIFO cache size    10251, 10223136 req, miss ratio 0.9260, byte miss ratio 0.9260
result/w59.oracleGeneral.bin.zst FIFO cache size    30753, 10223136 req, miss ratio 0.8428, byte miss ratio 0.8428
result/w59.oracleGeneral.bin.zst FIFO cache size   102510, 10223136 req, miss ratio 0.6611, byte miss ratio 0.6611
result/w59.oracleGeneral.bin.zst FIFO cache size   205021, 10223136 req, miss ratio 0.4709, byte miss ratio 0.4709
result/w59.oracleGeneral.bin.zst FIFO cache size   410042, 10223136 req, miss ratio 0.2414, byte miss ratio 0.2414
result/w59.oracleGeneral.bin.zst FIFO cache size   820085, 10223136 req, miss ratio 0.1250, byte miss ratio 0.1250
result/w59.oracleGeneral.bin.zst LIRS cache size     1025, 10223136 req, miss ratio 0.9642, byte miss ratio 0.9642
result/w59.oracleGeneral.bin.zst LIRS cache size     3075, 10223136 req, miss ratio 0.9247, byte miss ratio 0.9247
result/w59.oracleGeneral.bin.zst LIRS cache size    10251, 10223136 req, miss ratio 0.8491, byte miss ratio 0.8491
result/w59.oracleGeneral.bin.zst LIRS cache size    30753, 10223136 req, miss ratio 0.7407, byte miss ratio 0.7407
result/w59.oracleGeneral.bin.zst LIRS cache size   102510, 10223136 req, miss ratio 0.5912, byte miss ratio 0.5912
result/w59.oracleGeneral.bin.zst LIRS cache size   205021, 10223136 req, miss ratio 0.4495, byte miss ratio 0.4495
result/w59.oracleGeneral.bin.zst LIRS cache size   410042, 10223136 req, miss ratio 0.2104, byte miss ratio 0.2104
result/w59.oracleGeneral.bin.zst LIRS cache size   820085, 10223136 req, miss ratio 0.1144, byte miss ratio 0.1144
result/w59.oracleGeneral.bin.zst LRU cache size     1025, 10223136 req, miss ratio 0.9841, byte miss ratio 0.9841
result/w59.oracleGeneral.bin.zst LRU cache size     3075, 10223136 req, miss ratio 0.9628, byte miss ratio 0.9628
result/w59.oracleGeneral.bin.zst LRU cache size    10251, 10223136 req, miss ratio 0.9197, byte miss ratio 0.9197
result/w59.oracleGeneral.bin.zst LRU cache size    30753, 10223136 req, miss ratio 0.8235, byte miss ratio 0.8235
result/w59.oracleGeneral.bin.zst LRU cache size   102510, 10223136 req, miss ratio 0.6268, byte miss ratio 0.6268
result/w59.oracleGeneral.bin.zst LRU cache size   205021, 10223136 req, miss ratio 0.4566, byte miss ratio 0.4566
result/w59.oracleGeneral.bin.zst LRU cache size   410042, 10223136 req, miss ratio 0.1862, byte miss ratio 0.1862
result/w59.oracleGeneral.bin.zst LRU cache size   820085, 10223136 req, miss ratio 0.1068, byte miss ratio 0.1068
result/w59.oracleGeneral.bin.zst LeCaR cache size     1025, 10223136 req, miss ratio 0.9822, byte miss ratio 0.9822
result/w59.oracleGeneral.bin.zst LeCaR cache size     3075, 10223136 req, miss ratio 0.9605, byte miss ratio 0.9605
result/w59.oracleGeneral.bin.zst LeCaR cache size    10251, 10223136 req, miss ratio 0.9169, byte miss ratio 0.9169
result/w59.oracleGeneral.bin.zst LeCaR cache size    30753, 10223136 req, miss ratio 0.8196, byte miss ratio 0.8196
result/w59.oracleGeneral.bin.zst LeCaR cache size   102510, 10223136 req, miss ratio 0.6234, byte miss ratio 0.6234
result/w59.oracleGeneral.bin.zst LeCaR cache size   205021, 10223136 req, miss ratio 0.4459, byte miss ratio 0.4459
result/w59.oracleGeneral.bin.zst LeCaR cache size   410042, 10223136 req, miss ratio 0.1876, byte miss ratio 0.1876
result/w59.oracleGeneral.bin.zst LeCaR cache size   820085, 10223136 req, miss ratio 0.1069, byte miss ratio 0.1069
result/w59.oracleGeneral.bin.zst clock2 cache size     1025, 10223136 req, miss ratio 0.9830, byte miss ratio 0.9830
result/w59.oracleGeneral.bin.zst clock2 cache size     3075, 10223136 req, miss ratio 0.9598, byte miss ratio 0.9598
result/w59.oracleGeneral.bin.zst clock2 cache size    10251, 10223136 req, miss ratio 0.9133, byte miss ratio 0.9133
result/w59.oracleGeneral.bin.zst clock2 cache size    30753, 10223136 req, miss ratio 0.8042, byte miss ratio 0.8042
result/w59.oracleGeneral.bin.zst clock2 cache size   102510, 10223136 req, miss ratio 0.6138, byte miss ratio 0.6138
result/w59.oracleGeneral.bin.zst clock2 cache size   205021, 10223136 req, miss ratio 0.4540, byte miss ratio 0.4540
result/w59.oracleGeneral.bin.zst clock2 cache size   410042, 10223136 req, miss ratio 0.1897, byte miss ratio 0.1897
result/w59.oracleGeneral.bin.zst clock2 cache size   820085, 10223136 req, miss ratio 0.1100, byte miss ratio 0.1100
result/w59.oracleGeneral.bin.zst Clock cache size     1025, 10223136 req, miss ratio 0.9832, byte miss ratio 0.9832
result/w59.oracleGeneral.bin.zst Clock cache size     3075, 10223136 req, miss ratio 0.9608, byte miss ratio 0.9608
result/w59.oracleGeneral.bin.zst Clock cache size    10251, 10223136 req, miss ratio 0.9160, byte miss ratio 0.9160
result/w59.oracleGeneral.bin.zst Clock cache size    30753, 10223136 req, miss ratio 0.8120, byte miss ratio 0.8120
result/w59.oracleGeneral.bin.zst Clock cache size   102510, 10223136 req, miss ratio 0.6163, byte miss ratio 0.6163
result/w59.oracleGeneral.bin.zst Clock cache size   205021, 10223136 req, miss ratio 0.4561, byte miss ratio 0.4561
result/w59.oracleGeneral.bin.zst Clock cache size   410042, 10223136 req, miss ratio 0.1889, byte miss ratio 0.1889
result/w59.oracleGeneral.bin.zst Clock cache size   820085, 10223136 req, miss ratio 0.1099, byte miss ratio 0.1099
result/w59.oracleGeneral.bin.zst LHD cache size     1025, 10223136 req, miss ratio 0.9812, byte miss ratio 0.9812
result/w59.oracleGeneral.bin.zst LHD cache size     3075, 10223136 req, miss ratio 0.9560, byte miss ratio 0.9560
result/w59.oracleGeneral.bin.zst LHD cache size    10251, 10223136 req, miss ratio 0.8983, byte miss ratio 0.8983
result/w59.oracleGeneral.bin.zst LHD cache size    30753, 10223136 req, miss ratio 0.7874, byte miss ratio 0.7874
result/w59.oracleGeneral.bin.zst LHD cache size   102510, 10223136 req, miss ratio 0.6128, byte miss ratio 0.6128
result/w59.oracleGeneral.bin.zst LHD cache size   205021, 10223136 req, miss ratio 0.4598, byte miss ratio 0.4598
result/w59.oracleGeneral.bin.zst LHD cache size   410042, 10223136 req, miss ratio 0.2006, byte miss ratio 0.2006
result/w59.oracleGeneral.bin.zst LHD cache size   820085, 10223136 req, miss ratio 0.1121, byte miss ratio 0.1121
result/w59.oracleGeneral.bin.zst ARC cache size     1025, 10223136 req, miss ratio 0.9651, byte miss ratio 0.9651
result/w59.oracleGeneral.bin.zst ARC cache size     3075, 10223136 req, miss ratio 0.9253, byte miss ratio 0.9253
result/w59.oracleGeneral.bin.zst ARC cache size    10251, 10223136 req, miss ratio 0.8508, byte miss ratio 0.8508
result/w59.oracleGeneral.bin.zst ARC cache size    30753, 10223136 req, miss ratio 0.7414, byte miss ratio 0.7414
result/w59.oracleGeneral.bin.zst ARC cache size   102510, 10223136 req, miss ratio 0.5931, byte miss ratio 0.5931
result/w59.oracleGeneral.bin.zst ARC cache size   205021, 10223136 req, miss ratio 0.4509, byte miss ratio 0.4509
result/w59.oracleGeneral.bin.zst ARC cache size   410042, 10223136 req, miss ratio 0.1947, byte miss ratio 0.1947
result/w59.oracleGeneral.bin.zst ARC cache size   820085, 10223136 req, miss ratio 0.1098, byte miss ratio 0.1098
result/w59.oracleGeneral.bin.zst S3FIFO-1 cache size     1025, 10223136 req, miss ratio 0.9662, byte miss ratio 0.9662
result/w59.oracleGeneral.bin.zst S3FIFO-1 cache size     3075, 10223136 req, miss ratio 0.9286, byte miss ratio 0.9286
result/w59.oracleGeneral.bin.zst S3FIFO-1 cache size    10251, 10223136 req, miss ratio 0.8556, byte miss ratio 0.8556
result/w59.oracleGeneral.bin.zst S3FIFO-1 cache size    30753, 10223136 req, miss ratio 0.7475, byte miss ratio 0.7475
