cdn1_allcolo.ns2378 S3FIFO-0.5000-0.9000 cache size     1177, 4253977 req, miss ratio 0.4116, byte miss ratio 0.4116
cdn1_allcolo.ns2378 S3FIFO-0.5000-0.9000 cache size     3532, 4253977 req, miss ratio 0.3792, byte miss ratio 0.3792
cdn1_allcolo.ns2378 S3FIFO-0.5000-0.9000 cache size    11775, 4253977 req, miss ratio 0.3496, byte miss ratio 0.3496
cdn1_allcolo.ns2378 S3FIFO-0.5000-0.9000 cache size    35325, 4253977 req, miss ratio 0.3245, byte miss ratio 0.3245
cdn1_allcolo.ns2378 S3FIFO-0.5000-0.9000 cache size   117751, 4253977 req, miss ratio 0.2984, byte miss ratio 0.2984
cdn1_allcolo.ns2378 S3FIFO-0.5000-0.9000 cache size   235503, 4253977 req, miss ratio 0.2876, byte miss ratio 0.2876
cdn1_allcolo.ns2378 S3FIFO-0.5000-0.9000 cache size   471007, 4253977 req, miss ratio 0.2804, byte miss ratio 0.2804
cdn1_allcolo.ns2378 S3FIFO-0.5000-0.9000 cache size   942014, 4253977 req, miss ratio 0.2771, byte miss ratio 0.2771
cdn1_allcolo.ns2378 S3FIFO-0.0050-0.9000 cache size     1177, 4253977 req, miss ratio 0.4321, byte miss ratio 0.4321
cdn1_allcolo.ns2378 S3FIFO-0.0050-0.9000 cache size     3532, 4253977 req, miss ratio 0.3986, byte miss ratio 0.3986
cdn1_allcolo.ns2378 S3FIFO-0.0050-0.9000 cache size    11775, 4253977 req, miss ratio 0.3626, byte miss ratio 0.3626
cdn1_allcolo.ns2378 S3FIFO-0.0050-0.9000 cache size    35325, 4253977 req, miss ratio 0.3299, byte miss ratio 0.3299
cdn1_allcolo.ns2378 S3FIFO-0.0050-0.9000 cache size   117751, 4253977 req, miss ratio 0.3008, byte miss ratio 0.3008
cdn1_allcolo.ns2378 S3FIFO-0.0050-0.9000 cache size   235503, 4253977 req, miss ratio 0.2888, byte miss ratio 0.2888
cdn1_allcolo.ns2378 S3FIFO-0.0050-0.9000 cache size   471007, 4253977 req, miss ratio 0.2804, byte miss ratio 0.2804
cdn1_allcolo.ns2378 S3FIFO-0.0050-0.9000 cache size   942014, 4253977 req, miss ratio 0.2771, byte miss ratio 0.2771
cdn1_allcolo.ns2378 S3FIFO-0.9000-0.9000 cache size     1177, 4253977 req, miss ratio 0.4347, byte miss ratio 0.4347
cdn1_allcolo.ns2378 S3FIFO-0.9000-0.9000 cache size     3532, 4253977 req, miss ratio 0.3969, byte miss ratio 0.3969
cdn1_allcolo.ns2378 S3FIFO-0.9000-0.9000 cache size    11775, 4253977 req, miss ratio 0.3646, byte miss ratio 0.3646
cdn1_allcolo.ns2378 S3FIFO-0.9000-0.9000 cache size    35325, 4253977 req, miss ratio 0.3389, byte miss ratio 0.3389
cdn1_allcolo.ns2378 S3FIFO-0.9000-0.9000 cache size   117751, 4253977 req, miss ratio 0.3122, byte miss ratio 0.3122
cdn1_allcolo.ns2378 S3FIFO-0.9000-0.9000 cache size   235503, 4253977 req, miss ratio 0.2962, byte miss ratio 0.2962
cdn1_allcolo.ns2378 S3FIFO-0.9000-0.9000 cache size   471007, 4253977 req, miss ratio 0.2845, byte miss ratio 0.2845
cdn1_allcolo.ns2378 S3FIFO-0.9000-0.9000 cache size   942014, 4253977 req, miss ratio 0.2771, byte miss ratio 0.2771
cdn1_allcolo.ns2378 S3FIFO-0.3000-0.9000 cache size     1177, 4253977 req, miss ratio 0.4094, byte miss ratio 0.4094
cdn1_allcolo.ns2378 S3FIFO-0.3000-0.9000 cache size     3532, 4253977 req, miss ratio 0.3767, byte miss ratio 0.3767
cdn1_allcolo.ns2378 S3FIFO-0.3000-0.9000 cache size    11775, 4253977 req, miss ratio 0.3470, byte miss ratio 0.3470
cdn1_allcolo.ns2378 S3FIFO-0.3000-0.9000 cache size    35325, 4253977 req, miss ratio 0.3215, byte miss ratio 0.3215
cdn1_allcolo.ns2378 S3FIFO-0.3000-0.9000 cache size   117751, 4253977 req, miss ratio 0.2968, byte miss ratio 0.2968
cdn1_allcolo.ns2378 S3FIFO-0.3000-0.9000 cache size   235503, 4253977 req, miss ratio 0.2870, byte miss ratio 0.2870
cdn1_allcolo.ns2378 S3FIFO-0.3000-0.9000 cache size   471007, 4253977 req, miss ratio 0.2804, byte miss ratio 0.2804
cdn1_allcolo.ns2378 S3FIFO-0.3000-0.9000 cache size   942014, 4253977 req, miss ratio 0.2771, byte miss ratio 0.2771
cdn1_allcolo.ns2378 S3FIFO-0.9900-0.9000 cache size     1177, 4253977 req, miss ratio 0.4488, byte miss ratio 0.4488
cdn1_allcolo.ns2378 S3FIFO-0.9900-0.9000 cache size     3532, 4253977 req, miss ratio 0.4078, byte miss ratio 0.4078
cdn1_allcolo.ns2378 S3FIFO-0.9900-0.9000 cache size    11775, 4253977 req, miss ratio 0.3730, byte miss ratio 0.3730
cdn1_allcolo.ns2378 S3FIFO-0.9900-0.9000 cache size    35325, 4253977 req, miss ratio 0.3460, byte miss ratio 0.3460
cdn1_allcolo.ns2378 S3FIFO-0.9900-0.9000 cache size   117751, 4253977 req, miss ratio 0.3183, byte miss ratio 0.3183
cdn1_allcolo.ns2378 S3FIFO-0.9900-0.9000 cache size   235503, 4253977 req, miss ratio 0.3018, byte miss ratio 0.3018
cdn1_allcolo.ns2378 S3FIFO-0.9900-0.9000 cache size   471007, 4253977 req, miss ratio 0.2890, byte miss ratio 0.2890
cdn1_allcolo.ns2378 S3FIFO-0.9900-0.9000 cache size   942014, 4253977 req, miss ratio 0.2796, byte miss ratio 0.2796
cdn1_allcolo.ns2378 S3FIFO-0.0500-0.9000 cache size     1177, 4253977 req, miss ratio 0.4194, byte miss ratio 0.4194
cdn1_allcolo.ns2378 S3FIFO-0.0500-0.9000 cache size     3532, 4253977 req, miss ratio 0.3834, byte miss ratio 0.3834
cdn1_allcolo.ns2378 S3FIFO-0.0500-0.9000 cache size    11775, 4253977 req, miss ratio 0.3498, byte miss ratio 0.3498
cdn1_allcolo.ns2378 S3FIFO-0.0500-0.9000 cache size    35325, 4253977 req, miss ratio 0.3222, byte miss ratio 0.3222
cdn1_allcolo.ns2378 S3FIFO-0.0500-0.9000 cache size   117751, 4253977 req, miss ratio 0.2977, byte miss ratio 0.2977
cdn1_allcolo.ns2378 S3FIFO-0.0500-0.9000 cache size   235503, 4253977 req, miss ratio 0.2878, byte miss ratio 0.2878
cdn1_allcolo.ns2378 S3FIFO-0.0500-0.9000 cache size   471007, 4253977 req, miss ratio 0.2804, byte miss ratio 0.2804
cdn1_allcolo.ns2378 S3FIFO-0.0500-0.9000 cache size   942014, 4253977 req, miss ratio 0.2771, byte miss ratio 0.2771
cdn1_allcolo.ns2378 S3FIFO-0.3000-1.9000 cache size     1177, 4253977 req, miss ratio 0.4087, byte miss ratio 0.4087
cdn1_allcolo.ns2378 S3FIFO-0.3000-1.9000 cache size     3532, 4253977 req, miss ratio 0.3761, byte miss ratio 0.3761
cdn1_allcolo.ns2378 S3FIFO-0.3000-1.9000 cache size    11775, 4253977 req, miss ratio 0.3466, byte miss ratio 0.3466
cdn1_allcolo.ns2378 S3FIFO-0.3000-1.9000 cache size    35325, 4253977 req, miss ratio 0.3210, byte miss ratio 0.3210
cdn1_allcolo.ns2378 S3FIFO-0.3000-1.9000 cache size   117751, 4253977 req, miss ratio 0.2961, byte miss ratio 0.2961
cdn1_allcolo.ns2378 S3FIFO-0.3000-1.9000 cache size   235503, 4253977 req, miss ratio 0.2867, byte miss ratio 0.2867
cdn1_allcolo.ns2378 S3FIFO-0.3000-1.9000 cache size   471007, 4253977 req, miss ratio 0.2804, byte miss ratio 0.2804
cdn1_allcolo.ns2378 S3FIFO-0.3000-1.9000 cache size   942014, 4253977 req, miss ratio 0.2771, byte miss ratio 0.2771
cdn1_allcolo.ns2378 S3FIFO-0.0100-0.9000 cache size     1177, 4253977 req, miss ratio 0.4292, byte miss ratio 0.4292
cdn1_allcolo.ns2378 S3FIFO-0.0100-0.9000 cache size     3532, 4253977 req, miss ratio 0.3946, byte miss ratio 0.3946
cdn1_allcolo.ns2378 S3FIFO-0.0100-0.9000 cache size    11775, 4253977 req, miss ratio 0.3583, byte miss ratio 0.3583
cdn1_allcolo.ns2378 S3FIFO-0.0100-0.9000 cache size    35325, 4253977 req, miss ratio 0.3269, byte miss ratio 0.3269
cdn1_allcolo.ns2378 S3FIFO-0.0100-0.9000 cache size   117751, 4253977 req, miss ratio 0.2997, byte miss ratio 0.2997
cdn1_allcolo.ns2378 S3FIFO-0.0100-0.9000 cache size   235503, 4253977 req, miss ratio 0.2885, byte miss ratio 0.2885
cdn1_allcolo.ns2378 S3FIFO-0.0100-0.9000 cache size   471007, 4253977 req, miss ratio 0.2804, byte miss ratio 0.2804
cdn1_allcolo.ns2378 S3FIFO-0.0100-0.9000 cache size   942014, 4253977 req, miss ratio 0.2771, byte miss ratio 0.2771
cdn1_allcolo.ns2378 S3FIFO-0.8500-1.9000 cache size     1177, 4253977 req, miss ratio 0.4302, byte miss ratio 0.4302
cdn1_allcolo.ns2378 S3FIFO-0.8500-1.9000 cache size     3532, 4253977 req, miss ratio 0.3936, byte miss ratio 0.3936
cdn1_allcolo.ns2378 S3FIFO-0.8500-1.9000 cache size    11775, 4253977 req, miss ratio 0.3620, byte miss ratio 0.3620
cdn1_allcolo.ns2378 S3FIFO-0.8500-1.9000 cache size    35325, 4253977 req, miss ratio 0.3366, byte miss ratio 0.3366
cdn1_allcolo.ns2378 S3FIFO-0.8500-1.9000 cache size   117751, 4253977 req, miss ratio 0.3098, byte miss ratio 0.3098
cdn1_allcolo.ns2378 S3FIFO-0.8500-1.9000 cache size   235503, 4253977 req, miss ratio 0.2942, byte miss ratio 0.2942
cdn1_allcolo.ns2378 S3FIFO-0.8500-1.9000 cache size   471007, 4253977 req, miss ratio 0.2829, byte miss ratio 0.2829
cdn1_allcolo.ns2378 S3FIFO-0.8500-1.9000 cache size   942014, 4253977 req, miss ratio 0.2771, byte miss ratio 0.2771
cdn1_allcolo.ns2378 S3FIFO-0.2000-1.9000 cache size     1177, 4253977 req, miss ratio 0.4093, byte miss ratio 0.4093
cdn1_allcolo.ns2378 S3FIFO-0.2000-1.9000 cache size     3532, 4253977 req, miss ratio 0.3760, byte miss ratio 0.3760
cdn1_allcolo.ns2378 S3FIFO-0.2000-1.9000 cache size    11775, 4253977 req, miss ratio 0.3460, byte miss ratio 0.3460
cdn1_allcolo.ns2378 S3FIFO-0.2000-1.9000 cache size    35325, 4253977 req, miss ratio 0.3201, byte miss ratio 0.3201
cdn1_allcolo.ns2378 S3FIFO-0.2000-1.9000 cache size   117751, 4253977 req, miss ratio 0.2959, byte miss ratio 0.2959
cdn1_allcolo.ns2378 S3FIFO-0.2000-1.9000 cache size   235503, 4253977 req, miss ratio 0.2867, byte miss ratio 0.2867
cdn1_allcolo.ns2378 S3FIFO-0.2000-1.9000 cache size   471007, 4253977 req, miss ratio 0.2804, byte miss ratio 0.2804
cdn1_allcolo.ns2378 S3FIFO-0.2000-1.9000 cache size   942014, 4253977 req, miss ratio 0.2771, byte miss ratio 0.2771
cdn1_allcolo.ns2378 S3FIFO-0.7000-0.9000 cache size     1177, 4253977 req, miss ratio 0.4185, byte miss ratio 0.4185
cdn1_allcolo.ns2378 S3FIFO-0.7000-0.9000 cache size     3532, 4253977 req, miss ratio 0.3851, byte miss ratio 0.3851
cdn1_allcolo.ns2378 S3FIFO-0.7000-0.9000 cache size    11775, 4253977 req, miss ratio 0.3547, byte miss ratio 0.3547
cdn1_allcolo.ns2378 S3FIFO-0.7000-0.9000 cache size    35325, 4253977 req, miss ratio 0.3299, byte miss ratio 0.3299
cdn1_allcolo.ns2378 S3FIFO-0.7000-0.9000 cache size   117751, 4253977 req, miss ratio 0.3032, byte miss ratio 0.3032
cdn1_allcolo.ns2378 S3FIFO-0.7000-0.9000 cache size   235503, 4253977 req, miss ratio 0.2897, byte miss ratio 0.2897
cdn1_allcolo.ns2378 S3FIFO-0.7000-0.9000 cache size   471007, 4253977 req, miss ratio 0.2811, byte miss ratio 0.2811
cdn1_allcolo.ns2378 S3FIFO-0.7000-0.9000 cache size   942014, 4253977 req, miss ratio 0.2771, byte miss ratio 0.2771
cdn1_allcolo.ns2378 S3FIFO-0.2500-1.9000 cache size     1177, 4253977 req, miss ratio 0.4088, byte miss ratio 0.4088
cdn1_allcolo.ns2378 S3FIFO-0.2500-1.9000 cache size     3532, 4253977 req, miss ratio 0.3759, byte miss ratio 0.3759
