cdn1_allcolo.ns3642 S3FIFO-0.2000-0.9000 cache size      371, 1620818 req, miss ratio 0.2617, byte miss ratio 0.2617
cdn1_allcolo.ns3642 S3FIFO-0.2000-0.9000 cache size     1114, 1620818 req, miss ratio 0.2349, byte miss ratio 0.2349
cdn1_allcolo.ns3642 S3FIFO-0.2000-0.9000 cache size     3714, 1620818 req, miss ratio 0.2309, byte miss ratio 0.2309
cdn1_allcolo.ns3642 S3FIFO-0.2000-0.9000 cache size    11144, 1620818 req, miss ratio 0.2300, byte miss ratio 0.2300
cdn1_allcolo.ns3642 S3FIFO-0.2000-0.9000 cache size    37149, 1620818 req, miss ratio 0.2295, byte miss ratio 0.2295
cdn1_allcolo.ns3642 S3FIFO-0.2000-0.9000 cache size    74298, 1620818 req, miss ratio 0.2294, byte miss ratio 0.2294
cdn1_allcolo.ns3642 S3FIFO-0.2000-0.9000 cache size   148596, 1620818 req, miss ratio 0.2293, byte miss ratio 0.2293
cdn1_allcolo.ns3642 S3FIFO-0.2000-0.9000 cache size   297193, 1620818 req, miss ratio 0.2292, byte miss ratio 0.2292
cdn1_allcolo.ns3642 S3FIFO-0.7500-1.9000 cache size      371, 1620818 req, miss ratio 0.3174, byte miss ratio 0.3174
cdn1_allcolo.ns3642 S3FIFO-0.7500-1.9000 cache size     1114, 1620818 req, miss ratio 0.2593, byte miss ratio 0.2593
cdn1_allcolo.ns3642 S3FIFO-0.7500-1.9000 cache size     3714, 1620818 req, miss ratio 0.2323, byte miss ratio 0.2323
cdn1_allcolo.ns3642 S3FIFO-0.7500-1.9000 cache size    11144, 1620818 req, miss ratio 0.2300, byte miss ratio 0.2300
cdn1_allcolo.ns3642 S3FIFO-0.7500-1.9000 cache size    37149, 1620818 req, miss ratio 0.2295, byte miss ratio 0.2295
cdn1_allcolo.ns3642 S3FIFO-0.7500-1.9000 cache size    74298, 1620818 req, miss ratio 0.2294, byte miss ratio 0.2294
cdn1_allcolo.ns3642 S3FIFO-0.7500-1.9000 cache size   148596, 1620818 req, miss ratio 0.2293, byte miss ratio 0.2293
cdn1_allcolo.ns3642 S3FIFO-0.7500-1.9000 cache size   297193, 1620818 req, miss ratio 0.2292, byte miss ratio 0.2292
cdn1_allcolo.ns3642 S3FIFO-0.3000-1.9000 cache size      371, 1620818 req, miss ratio 0.2678, byte miss ratio 0.2678
cdn1_allcolo.ns3642 S3FIFO-0.3000-1.9000 cache size     1114, 1620818 req, miss ratio 0.2347, byte miss ratio 0.2347
cdn1_allcolo.ns3642 S3FIFO-0.3000-1.9000 cache size     3714, 1620818 req, miss ratio 0.2307, byte miss ratio 0.2307
cdn1_allcolo.ns3642 S3FIFO-0.3000-1.9000 cache size    11144, 1620818 req, miss ratio 0.2299, byte miss ratio 0.2299
cdn1_allcolo.ns3642 S3FIFO-0.3000-1.9000 cache size    37149, 1620818 req, miss ratio 0.2295, byte miss ratio 0.2295
cdn1_allcolo.ns3642 S3FIFO-0.3000-1.9000 cache size    74298, 1620818 req, miss ratio 0.2294, byte miss ratio 0.2294
cdn1_allcolo.ns3642 S3FIFO-0.3000-1.9000 cache size   148596, 1620818 req, miss ratio 0.2293, byte miss ratio 0.2293
cdn1_allcolo.ns3642 S3FIFO-0.3000-1.9000 cache size   297193, 1620818 req, miss ratio 0.2292, byte miss ratio 0.2292
cdn1_allcolo.ns3642 S3FIFO-0.0500-0.9000 cache size      371, 1620818 req, miss ratio 0.2551, byte miss ratio 0.2551
cdn1_allcolo.ns3642 S3FIFO-0.0500-0.9000 cache size     1114, 1620818 req, miss ratio 0.2348, byte miss ratio 0.2348
cdn1_allcolo.ns3642 S3FIFO-0.0500-0.9000 cache size     3714, 1620818 req, miss ratio 0.2310, byte miss ratio 0.2310
cdn1_allcolo.ns3642 S3FIFO-0.0500-0.9000 cache size    11144, 1620818 req, miss ratio 0.2300, byte miss ratio 0.2300
cdn1_allcolo.ns3642 S3FIFO-0.0500-0.9000 cache size    37149, 1620818 req, miss ratio 0.2295, byte miss ratio 0.2295
cdn1_allcolo.ns3642 S3FIFO-0.0500-0.9000 cache size    74298, 1620818 req, miss ratio 0.2294, byte miss ratio 0.2294
cdn1_allcolo.ns3642 S3FIFO-0.0500-0.9000 cache size   148596, 1620818 req, miss ratio 0.2293, byte miss ratio 0.2293
cdn1_allcolo.ns3642 S3FIFO-0.0500-0.9000 cache size   297193, 1620818 req, miss ratio 0.2292, byte miss ratio 0.2292
cdn1_allcolo.ns3642 S3FIFO-0.0010-0.9000 cache size      371, 1620818 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns3642 S3FIFO-0.0010-0.9000 cache size     1114, 1620818 req, miss ratio 0.2349, byte miss ratio 0.2349
cdn1_allcolo.ns3642 S3FIFO-0.0010-0.9000 cache size     3714, 1620818 req, miss ratio 0.2310, byte miss ratio 0.2310
cdn1_allcolo.ns3642 S3FIFO-0.0010-0.9000 cache size    11144, 1620818 req, miss ratio 0.2300, byte miss ratio 0.2300
cdn1_allcolo.ns3642 S3FIFO-0.0010-0.9000 cache size    37149, 1620818 req, miss ratio 0.2295, byte miss ratio 0.2295
cdn1_allcolo.ns3642 S3FIFO-0.0010-0.9000 cache size    74298, 1620818 req, miss ratio 0.2294, byte miss ratio 0.2294
cdn1_allcolo.ns3642 S3FIFO-0.0010-0.9000 cache size   148596, 1620818 req, miss ratio 0.2293, byte miss ratio 0.2293
cdn1_allcolo.ns3642 S3FIFO-0.0010-0.9000 cache size   297193, 1620818 req, miss ratio 0.2292, byte miss ratio 0.2292
cdn1_allcolo.ns3642 S3FIFO-0.9500-0.9000 cache size      371, 1620818 req, miss ratio 0.3599, byte miss ratio 0.3599
cdn1_allcolo.ns3642 S3FIFO-0.9500-0.9000 cache size     1114, 1620818 req, miss ratio 0.2931, byte miss ratio 0.2931
cdn1_allcolo.ns3642 S3FIFO-0.9500-0.9000 cache size     3714, 1620818 req, miss ratio 0.2525, byte miss ratio 0.2525
cdn1_allcolo.ns3642 S3FIFO-0.9500-0.9000 cache size    11144, 1620818 req, miss ratio 0.2347, byte miss ratio 0.2347
cdn1_allcolo.ns3642 S3FIFO-0.9500-0.9000 cache size    37149, 1620818 req, miss ratio 0.2299, byte miss ratio 0.2299
cdn1_allcolo.ns3642 S3FIFO-0.9500-0.9000 cache size    74298, 1620818 req, miss ratio 0.2294, byte miss ratio 0.2294
cdn1_allcolo.ns3642 S3FIFO-0.9500-0.9000 cache size   148596, 1620818 req, miss ratio 0.2293, byte miss ratio 0.2293
cdn1_allcolo.ns3642 S3FIFO-0.9500-0.9000 cache size   297193, 1620818 req, miss ratio 0.2292, byte miss ratio 0.2292
cdn1_allcolo.ns3642 S3FIFO-0.0050-0.9000 cache size      371, 1620818 req, miss ratio 0.2538, byte miss ratio 0.2538
cdn1_allcolo.ns3642 S3FIFO-0.0050-0.9000 cache size     1114, 1620818 req, miss ratio 0.2348, byte miss ratio 0.2348
cdn1_allcolo.ns3642 S3FIFO-0.0050-0.9000 cache size     3714, 1620818 req, miss ratio 0.2310, byte miss ratio 0.2310
cdn1_allcolo.ns3642 S3FIFO-0.0050-0.9000 cache size    11144, 1620818 req, miss ratio 0.2300, byte miss ratio 0.2300
cdn1_allcolo.ns3642 S3FIFO-0.0050-0.9000 cache size    37149, 1620818 req, miss ratio 0.2295, byte miss ratio 0.2295
cdn1_allcolo.ns3642 S3FIFO-0.0050-0.9000 cache size    74298, 1620818 req, miss ratio 0.2294, byte miss ratio 0.2294
cdn1_allcolo.ns3642 S3FIFO-0.0050-0.9000 cache size   148596, 1620818 req, miss ratio 0.2293, byte miss ratio 0.2293
cdn1_allcolo.ns3642 S3FIFO-0.0050-0.9000 cache size   297193, 1620818 req, miss ratio 0.2292, byte miss ratio 0.2292
cdn1_allcolo.ns3642 S3FIFO-0.9900-1.9000 cache size      371, 1620818 req, miss ratio 0.3728, byte miss ratio 0.3728
cdn1_allcolo.ns3642 S3FIFO-0.9900-1.9000 cache size     1114, 1620818 req, miss ratio 0.3036, byte miss ratio 0.3036
cdn1_allcolo.ns3642 S3FIFO-0.9900-1.9000 cache size     3714, 1620818 req, miss ratio 0.2615, byte miss ratio 0.2615
