cdn1_allcolo.ns5367 S3FIFO-0.0500-0.9000 cache size        8, 1019593 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns5367 S3FIFO-0.0500-0.9000 cache size       24, 1019593 req, miss ratio 0.0345, byte miss ratio 0.0345
cdn1_allcolo.ns5367 S3FIFO-0.0500-0.9000 cache size       81, 1019593 req, miss ratio 0.0216, byte miss ratio 0.0216
cdn1_allcolo.ns5367 S3FIFO-0.0500-0.9000 cache size      245, 1019593 req, miss ratio 0.0158, byte miss ratio 0.0158
cdn1_allcolo.ns5367 S3FIFO-0.0500-0.9000 cache size      818, 1019593 req, miss ratio 0.0116, byte miss ratio 0.0116
cdn1_allcolo.ns5367 S3FIFO-0.0500-0.9000 cache size     1637, 1019593 req, miss ratio 0.0097, byte miss ratio 0.0097
cdn1_allcolo.ns5367 S3FIFO-0.0500-0.9000 cache size     3274, 1019593 req, miss ratio 0.0089, byte miss ratio 0.0089
cdn1_allcolo.ns5367 S3FIFO-0.0500-0.9000 cache size     6548, 1019593 req, miss ratio 0.0081, byte miss ratio 0.0081
cdn1_allcolo.ns5367 S3FIFO-0.7000-1.9000 cache size        8, 1019593 req, miss ratio 0.0514, byte miss ratio 0.0514
cdn1_allcolo.ns5367 S3FIFO-0.7000-1.9000 cache size       24, 1019593 req, miss ratio 0.0386, byte miss ratio 0.0386
cdn1_allcolo.ns5367 S3FIFO-0.7000-1.9000 cache size       81, 1019593 req, miss ratio 0.0252, byte miss ratio 0.0252
cdn1_allcolo.ns5367 S3FIFO-0.7000-1.9000 cache size      245, 1019593 req, miss ratio 0.0178, byte miss ratio 0.0178
cdn1_allcolo.ns5367 S3FIFO-0.7000-1.9000 cache size      818, 1019593 req, miss ratio 0.0124, byte miss ratio 0.0124
cdn1_allcolo.ns5367 S3FIFO-0.7000-1.9000 cache size     1637, 1019593 req, miss ratio 0.0102, byte miss ratio 0.0102
cdn1_allcolo.ns5367 S3FIFO-0.7000-1.9000 cache size     3274, 1019593 req, miss ratio 0.0089, byte miss ratio 0.0089
cdn1_allcolo.ns5367 S3FIFO-0.7000-1.9000 cache size     6548, 1019593 req, miss ratio 0.0082, byte miss ratio 0.0082
cdn1_allcolo.ns5367 S3FIFO-0.2500-0.9000 cache size        8, 1019593 req, miss ratio 0.0492, byte miss ratio 0.0492
cdn1_allcolo.ns5367 S3FIFO-0.2500-0.9000 cache size       24, 1019593 req, miss ratio 0.0350, byte miss ratio 0.0350
cdn1_allcolo.ns5367 S3FIFO-0.2500-0.9000 cache size       81, 1019593 req, miss ratio 0.0223, byte miss ratio 0.0223
cdn1_allcolo.ns5367 S3FIFO-0.2500-0.9000 cache size      245, 1019593 req, miss ratio 0.0162, byte miss ratio 0.0162
cdn1_allcolo.ns5367 S3FIFO-0.2500-0.9000 cache size      818, 1019593 req, miss ratio 0.0118, byte miss ratio 0.0118
cdn1_allcolo.ns5367 S3FIFO-0.2500-0.9000 cache size     1637, 1019593 req, miss ratio 0.0097, byte miss ratio 0.0097
cdn1_allcolo.ns5367 S3FIFO-0.2500-0.9000 cache size     3274, 1019593 req, miss ratio 0.0086, byte miss ratio 0.0086
cdn1_allcolo.ns5367 S3FIFO-0.2500-0.9000 cache size     6548, 1019593 req, miss ratio 0.0081, byte miss ratio 0.0081
cdn1_allcolo.ns5367 S3FIFO-0.0050-1.9000 cache size        8, 1019593 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns5367 S3FIFO-0.0050-1.9000 cache size       24, 1019593 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns5367 S3FIFO-0.0050-1.9000 cache size       81, 1019593 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns5367 S3FIFO-0.0050-1.9000 cache size      245, 1019593 req, miss ratio 0.0164, byte miss ratio 0.0164
cdn1_allcolo.ns5367 S3FIFO-0.0050-1.9000 cache size      818, 1019593 req, miss ratio 0.0116, byte miss ratio 0.0116
cdn1_allcolo.ns5367 S3FIFO-0.0050-1.9000 cache size     1637, 1019593 req, miss ratio 0.0098, byte miss ratio 0.0098
cdn1_allcolo.ns5367 S3FIFO-0.0050-1.9000 cache size     3274, 1019593 req, miss ratio 0.0089, byte miss ratio 0.0089
cdn1_allcolo.ns5367 S3FIFO-0.0050-1.9000 cache size     6548, 1019593 req, miss ratio 0.0081, byte miss ratio 0.0081
cdn1_allcolo.ns5367 S3FIFO-0.0050-0.9000 cache size        8, 1019593 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns5367 S3FIFO-0.0050-0.9000 cache size       24, 1019593 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns5367 S3FIFO-0.0050-0.9000 cache size       81, 1019593 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns5367 S3FIFO-0.0050-0.9000 cache size      245, 1019593 req, miss ratio 0.0164, byte miss ratio 0.0164
cdn1_allcolo.ns5367 S3FIFO-0.0050-0.9000 cache size      818, 1019593 req, miss ratio 0.0116, byte miss ratio 0.0116
cdn1_allcolo.ns5367 S3FIFO-0.0050-0.9000 cache size     1637, 1019593 req, miss ratio 0.0098, byte miss ratio 0.0098
cdn1_allcolo.ns5367 S3FIFO-0.0050-0.9000 cache size     3274, 1019593 req, miss ratio 0.0089, byte miss ratio 0.0089
cdn1_allcolo.ns5367 S3FIFO-0.0050-0.9000 cache size     6548, 1019593 req, miss ratio 0.0081, byte miss ratio 0.0081
cdn1_allcolo.ns5367 S3FIFO-0.2000-0.9000 cache size        8, 1019593 req, miss ratio 0.0494, byte miss ratio 0.0494
cdn1_allcolo.ns5367 S3FIFO-0.2000-0.9000 cache size       24, 1019593 req, miss ratio 0.0343, byte miss ratio 0.0343
cdn1_allcolo.ns5367 S3FIFO-0.2000-0.9000 cache size       81, 1019593 req, miss ratio 0.0221, byte miss ratio 0.0221
cdn1_allcolo.ns5367 S3FIFO-0.2000-0.9000 cache size      245, 1019593 req, miss ratio 0.0161, byte miss ratio 0.0161
cdn1_allcolo.ns5367 S3FIFO-0.2000-0.9000 cache size      818, 1019593 req, miss ratio 0.0117, byte miss ratio 0.0117
cdn1_allcolo.ns5367 S3FIFO-0.2000-0.9000 cache size     1637, 1019593 req, miss ratio 0.0097, byte miss ratio 0.0097
cdn1_allcolo.ns5367 S3FIFO-0.2000-0.9000 cache size     3274, 1019593 req, miss ratio 0.0086, byte miss ratio 0.0086
cdn1_allcolo.ns5367 S3FIFO-0.2000-0.9000 cache size     6548, 1019593 req, miss ratio 0.0081, byte miss ratio 0.0081
cdn1_allcolo.ns5367 S3FIFO-0.6000-1.9000 cache size        8, 1019593 req, miss ratio 0.0507, byte miss ratio 0.0507
cdn1_allcolo.ns5367 S3FIFO-0.6000-1.9000 cache size       24, 1019593 req, miss ratio 0.0378, byte miss ratio 0.0378
cdn1_allcolo.ns5367 S3FIFO-0.6000-1.9000 cache size       81, 1019593 req, miss ratio 0.0244, byte miss ratio 0.0244
cdn1_allcolo.ns5367 S3FIFO-0.6000-1.9000 cache size      245, 1019593 req, miss ratio 0.0174, byte miss ratio 0.0174
cdn1_allcolo.ns5367 S3FIFO-0.6000-1.9000 cache size      818, 1019593 req, miss ratio 0.0123, byte miss ratio 0.0123
cdn1_allcolo.ns5367 S3FIFO-0.6000-1.9000 cache size     1637, 1019593 req, miss ratio 0.0100, byte miss ratio 0.0100
cdn1_allcolo.ns5367 S3FIFO-0.6000-1.9000 cache size     3274, 1019593 req, miss ratio 0.0088, byte miss ratio 0.0088
cdn1_allcolo.ns5367 S3FIFO-0.6000-1.9000 cache size     6548, 1019593 req, miss ratio 0.0082, byte miss ratio 0.0082
cdn1_allcolo.ns5367 S3FIFO-0.1500-1.9000 cache size        8, 1019593 req, miss ratio 0.0495, byte miss ratio 0.0495
cdn1_allcolo.ns5367 S3FIFO-0.1500-1.9000 cache size       24, 1019593 req, miss ratio 0.0342, byte miss ratio 0.0342
cdn1_allcolo.ns5367 S3FIFO-0.1500-1.9000 cache size       81, 1019593 req, miss ratio 0.0219, byte miss ratio 0.0219
cdn1_allcolo.ns5367 S3FIFO-0.1500-1.9000 cache size      245, 1019593 req, miss ratio 0.0160, byte miss ratio 0.0160
cdn1_allcolo.ns5367 S3FIFO-0.1500-1.9000 cache size      818, 1019593 req, miss ratio 0.0117, byte miss ratio 0.0117
cdn1_allcolo.ns5367 S3FIFO-0.1500-1.9000 cache size     1637, 1019593 req, miss ratio 0.0097, byte miss ratio 0.0097
cdn1_allcolo.ns5367 S3FIFO-0.1500-1.9000 cache size     3274, 1019593 req, miss ratio 0.0086, byte miss ratio 0.0086
cdn1_allcolo.ns5367 S3FIFO-0.1500-1.9000 cache size     6548, 1019593 req, miss ratio 0.0081, byte miss ratio 0.0081
cdn1_allcolo.ns5367 S3FIFO-0.9000-1.9000 cache size        8, 1019593 req, miss ratio 0.0573, byte miss ratio 0.0573
cdn1_allcolo.ns5367 S3FIFO-0.9000-1.9000 cache size       24, 1019593 req, miss ratio 0.0402, byte miss ratio 0.0402
cdn1_allcolo.ns5367 S3FIFO-0.9000-1.9000 cache size       81, 1019593 req, miss ratio 0.0270, byte miss ratio 0.0270
cdn1_allcolo.ns5367 S3FIFO-0.9000-1.9000 cache size      245, 1019593 req, miss ratio 0.0191, byte miss ratio 0.0191
cdn1_allcolo.ns5367 S3FIFO-0.9000-1.9000 cache size      818, 1019593 req, miss ratio 0.0130, byte miss ratio 0.0130
cdn1_allcolo.ns5367 S3FIFO-0.9000-1.9000 cache size     1637, 1019593 req, miss ratio 0.0106, byte miss ratio 0.0106
cdn1_allcolo.ns5367 S3FIFO-0.9000-1.9000 cache size     3274, 1019593 req, miss ratio 0.0093, byte miss ratio 0.0093
cdn1_allcolo.ns5367 S3FIFO-0.9000-1.9000 cache size     6548, 1019593 req, miss ratio 0.0083, byte miss ratio 0.0083
cdn1_allcolo.ns5367 S3FIFO-0.3000-1.9000 cache size        8, 1019593 req, miss ratio 0.0494, byte miss ratio 0.0494
cdn1_allcolo.ns5367 S3FIFO-0.3000-1.9000 cache size       24, 1019593 req, miss ratio 0.0353, byte miss ratio 0.0353
cdn1_allcolo.ns5367 S3FIFO-0.3000-1.9000 cache size       81, 1019593 req, miss ratio 0.0226, byte miss ratio 0.0226
cdn1_allcolo.ns5367 S3FIFO-0.3000-1.9000 cache size      245, 1019593 req, miss ratio 0.0164, byte miss ratio 0.0164
cdn1_allcolo.ns5367 S3FIFO-0.3000-1.9000 cache size      818, 1019593 req, miss ratio 0.0118, byte miss ratio 0.0118
cdn1_allcolo.ns5367 S3FIFO-0.3000-1.9000 cache size     1637, 1019593 req, miss ratio 0.0097, byte miss ratio 0.0097
cdn1_allcolo.ns5367 S3FIFO-0.3000-1.9000 cache size     3274, 1019593 req, miss ratio 0.0086, byte miss ratio 0.0086
