cdn1_allcolo.ns56652 S3FIFO-0.6000-1.9000 cache size       12, 2504745 req, miss ratio 0.0020, byte miss ratio 0.0020
cdn1_allcolo.ns56652 S3FIFO-0.6000-1.9000 cache size       41, 2504745 req, miss ratio 0.0018, byte miss ratio 0.0018
cdn1_allcolo.ns56652 S3FIFO-0.6000-1.9000 cache size      124, 2504745 req, miss ratio 0.0017, byte miss ratio 0.0017
cdn1_allcolo.ns56652 S3FIFO-0.6000-1.9000 cache size      415, 2504745 req, miss ratio 0.0017, byte miss ratio 0.0017
cdn1_allcolo.ns56652 S3FIFO-0.6000-1.9000 cache size      830, 2504745 req, miss ratio 0.0017, byte miss ratio 0.0017
cdn1_allcolo.ns56652 S3FIFO-0.6000-1.9000 cache size     1660, 2504745 req, miss ratio 0.0017, byte miss ratio 0.0017
cdn1_allcolo.ns56652 S3FIFO-0.6000-1.9000 cache size     3320, 2504745 req, miss ratio 0.0017, byte miss ratio 0.0017
cdn1_allcolo.ns56652 S3FIFO-0.0010-0.9000 cache size       12, 2504745 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns56652 S3FIFO-0.0010-0.9000 cache size       41, 2504745 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns56652 S3FIFO-0.0010-0.9000 cache size      124, 2504745 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns56652 S3FIFO-0.0010-0.9000 cache size      415, 2504745 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns56652 S3FIFO-0.0010-0.9000 cache size      830, 2504745 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns56652 S3FIFO-0.0010-0.9000 cache size     1660, 2504745 req, miss ratio 0.0017, byte miss ratio 0.0017
cdn1_allcolo.ns56652 S3FIFO-0.0010-0.9000 cache size     3320, 2504745 req, miss ratio 0.0017, byte miss ratio 0.0017
cdn1_allcolo.ns56652 S3FIFO-0.9000-1.9000 cache size       12, 2504745 req, miss ratio 0.0021, byte miss ratio 0.0021
cdn1_allcolo.ns56652 S3FIFO-0.9000-1.9000 cache size       41, 2504745 req, miss ratio 0.0019, byte miss ratio 0.0019
cdn1_allcolo.ns56652 S3FIFO-0.9000-1.9000 cache size      124, 2504745 req, miss ratio 0.0018, byte miss ratio 0.0018
cdn1_allcolo.ns56652 S3FIFO-0.9000-1.9000 cache size      415, 2504745 req, miss ratio 0.0017, byte miss ratio 0.0017
cdn1_allcolo.ns56652 S3FIFO-0.9000-1.9000 cache size      830, 2504745 req, miss ratio 0.0017, byte miss ratio 0.0017
cdn1_allcolo.ns56652 S3FIFO-0.9000-1.9000 cache size     1660, 2504745 req, miss ratio 0.0017, byte miss ratio 0.0017
