cdn1_colo28.ns1094 S3FIFO-0.0010-1.9000 cache size        9, 1165209 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1094 S3FIFO-0.0010-1.9000 cache size       29, 1165209 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1094 S3FIFO-0.0010-1.9000 cache size       98, 1165209 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1094 S3FIFO-0.0010-1.9000 cache size      294, 1165209 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1094 S3FIFO-0.0010-1.9000 cache size      980, 1165209 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1094 S3FIFO-0.0010-1.9000 cache size     1960, 1165209 req, miss ratio 0.1001, byte miss ratio 0.1001
cdn1_colo28.ns1094 S3FIFO-0.0010-1.9000 cache size     3921, 1165209 req, miss ratio 0.0384, byte miss ratio 0.0384
cdn1_colo28.ns1094 S3FIFO-0.0010-1.9000 cache size     7842, 1165209 req, miss ratio 0.0096, byte miss ratio 0.0096
cdn1_colo28.ns1094 S3FIFO-0.0100-1.9000 cache size        9, 1165209 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1094 S3FIFO-0.0100-1.9000 cache size       29, 1165209 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1094 S3FIFO-0.0100-1.9000 cache size       98, 1165209 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1094 S3FIFO-0.0100-1.9000 cache size      294, 1165209 req, miss ratio 0.3715, byte miss ratio 0.3715
cdn1_colo28.ns1094 S3FIFO-0.0100-1.9000 cache size      980, 1165209 req, miss ratio 0.1738, byte miss ratio 0.1738
cdn1_colo28.ns1094 S3FIFO-0.0100-1.9000 cache size     1960, 1165209 req, miss ratio 0.0985, byte miss ratio 0.0985
cdn1_colo28.ns1094 S3FIFO-0.0100-1.9000 cache size     3921, 1165209 req, miss ratio 0.0380, byte miss ratio 0.0380
cdn1_colo28.ns1094 S3FIFO-0.0100-1.9000 cache size     7842, 1165209 req, miss ratio 0.0095, byte miss ratio 0.0095
cdn1_colo28.ns1094 S3FIFO-0.0010-0.9000 cache size        9, 1165209 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1094 S3FIFO-0.0010-0.9000 cache size       29, 1165209 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1094 S3FIFO-0.0010-0.9000 cache size       98, 1165209 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1094 S3FIFO-0.0010-0.9000 cache size      294, 1165209 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1094 S3FIFO-0.0010-0.9000 cache size      980, 1165209 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1094 S3FIFO-0.0010-0.9000 cache size     1960, 1165209 req, miss ratio 0.0984, byte miss ratio 0.0984
cdn1_colo28.ns1094 S3FIFO-0.0010-0.9000 cache size     3921, 1165209 req, miss ratio 0.0384, byte miss ratio 0.0384
cdn1_colo28.ns1094 S3FIFO-0.0010-0.9000 cache size     7842, 1165209 req, miss ratio 0.0096, byte miss ratio 0.0096
cdn1_colo28.ns1094 S3FIFO-0.8500-0.9000 cache size        9, 1165209 req, miss ratio 0.8179, byte miss ratio 0.8179
cdn1_colo28.ns1094 S3FIFO-0.8500-0.9000 cache size       29, 1165209 req, miss ratio 0.7306, byte miss ratio 0.7306
cdn1_colo28.ns1094 S3FIFO-0.8500-0.9000 cache size       98, 1165209 req, miss ratio 0.6047, byte miss ratio 0.6047
cdn1_colo28.ns1094 S3FIFO-0.8500-0.9000 cache size      294, 1165209 req, miss ratio 0.4527, byte miss ratio 0.4527
cdn1_colo28.ns1094 S3FIFO-0.8500-0.9000 cache size      980, 1165209 req, miss ratio 0.2392, byte miss ratio 0.2392
cdn1_colo28.ns1094 S3FIFO-0.8500-0.9000 cache size     1960, 1165209 req, miss ratio 0.1331, byte miss ratio 0.1331
