cdn1_colo28.ns19 S3FIFO-0.2000-1.9000 cache size    15108, 120746519 req, miss ratio 0.3174, byte miss ratio 0.3174
cdn1_colo28.ns19 S3FIFO-0.2000-1.9000 cache size    45324, 120746519 req, miss ratio 0.1865, byte miss ratio 0.1865
cdn1_colo28.ns19 S3FIFO-0.2000-1.9000 cache size   151083, 120746519 req, miss ratio 0.1403, byte miss ratio 0.1403
cdn1_colo28.ns19 S3FIFO-0.2000-1.9000 cache size   453249, 120746519 req, miss ratio 0.1271, byte miss ratio 0.1271
cdn1_colo28.ns19 S3FIFO-0.2000-1.9000 cache size  1510831, 120746519 req, miss ratio 0.1252, byte miss ratio 0.1252
cdn1_colo28.ns19 S3FIFO-0.2000-1.9000 cache size  3021663, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.2000-1.9000 cache size  6043327, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.2000-1.9000 cache size 12086654, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.0100-0.9000 cache size    15108, 120746519 req, miss ratio 0.3051, byte miss ratio 0.3051
cdn1_colo28.ns19 S3FIFO-0.0100-0.9000 cache size    45324, 120746519 req, miss ratio 0.2039, byte miss ratio 0.2039
cdn1_colo28.ns19 S3FIFO-0.0100-0.9000 cache size   151083, 120746519 req, miss ratio 0.1736, byte miss ratio 0.1736
cdn1_colo28.ns19 S3FIFO-0.0100-0.9000 cache size   453249, 120746519 req, miss ratio 0.1621, byte miss ratio 0.1621
cdn1_colo28.ns19 S3FIFO-0.0100-0.9000 cache size  1510831, 120746519 req, miss ratio 0.1448, byte miss ratio 0.1448
cdn1_colo28.ns19 S3FIFO-0.0100-0.9000 cache size  3021663, 120746519 req, miss ratio 0.1339, byte miss ratio 0.1339
cdn1_colo28.ns19 S3FIFO-0.0100-0.9000 cache size  6043327, 120746519 req, miss ratio 0.1260, byte miss ratio 0.1260
cdn1_colo28.ns19 S3FIFO-0.0100-0.9000 cache size 12086654, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
cdn1_colo28.ns19 S3FIFO-0.5500-0.9000 cache size    15108, 120746519 req, miss ratio 0.3541, byte miss ratio 0.3541
