cdn1_colo28.ns241 S3FIFO-0.8000-1.9000 cache size     1398, 32126732 req, miss ratio 0.7790, byte miss ratio 0.7790
cdn1_colo28.ns241 S3FIFO-0.8000-1.9000 cache size     4196, 32126732 req, miss ratio 0.5676, byte miss ratio 0.5676
cdn1_colo28.ns241 S3FIFO-0.8000-1.9000 cache size    13987, 32126732 req, miss ratio 0.3158, byte miss ratio 0.3158
cdn1_colo28.ns241 S3FIFO-0.8000-1.9000 cache size    41961, 32126732 req, miss ratio 0.1843, byte miss ratio 0.1843
cdn1_colo28.ns241 S3FIFO-0.8000-1.9000 cache size   139870, 32126732 req, miss ratio 0.1143, byte miss ratio 0.1143
cdn1_colo28.ns241 S3FIFO-0.8000-1.9000 cache size   279740, 32126732 req, miss ratio 0.0831, byte miss ratio 0.0831
cdn1_colo28.ns241 S3FIFO-0.8000-1.9000 cache size   559480, 32126732 req, miss ratio 0.0588, byte miss ratio 0.0588
cdn1_colo28.ns241 S3FIFO-0.8000-1.9000 cache size  1118960, 32126732 req, miss ratio 0.0450, byte miss ratio 0.0450
cdn1_colo28.ns241 S3FIFO-0.5000-0.9000 cache size     1398, 32126732 req, miss ratio 0.7177, byte miss ratio 0.7177
cdn1_colo28.ns241 S3FIFO-0.5000-0.9000 cache size     4196, 32126732 req, miss ratio 0.5016, byte miss ratio 0.5016
cdn1_colo28.ns241 S3FIFO-0.5000-0.9000 cache size    13987, 32126732 req, miss ratio 0.2748, byte miss ratio 0.2748
cdn1_colo28.ns241 S3FIFO-0.5000-0.9000 cache size    41961, 32126732 req, miss ratio 0.1665, byte miss ratio 0.1665
cdn1_colo28.ns241 S3FIFO-0.5000-0.9000 cache size   139870, 32126732 req, miss ratio 0.1029, byte miss ratio 0.1029
cdn1_colo28.ns241 S3FIFO-0.5000-0.9000 cache size   279740, 32126732 req, miss ratio 0.0745, byte miss ratio 0.0745
cdn1_colo28.ns241 S3FIFO-0.5000-0.9000 cache size   559480, 32126732 req, miss ratio 0.0542, byte miss ratio 0.0542
cdn1_colo28.ns241 S3FIFO-0.5000-0.9000 cache size  1118960, 32126732 req, miss ratio 0.0442, byte miss ratio 0.0442
cdn1_colo28.ns241 S3FIFO-0.9900-1.9000 cache size     1398, 32126732 req, miss ratio 0.8057, byte miss ratio 0.8057
cdn1_colo28.ns241 S3FIFO-0.9900-1.9000 cache size     4196, 32126732 req, miss ratio 0.6003, byte miss ratio 0.6003
cdn1_colo28.ns241 S3FIFO-0.9900-1.9000 cache size    13987, 32126732 req, miss ratio 0.3488, byte miss ratio 0.3488
cdn1_colo28.ns241 S3FIFO-0.9900-1.9000 cache size    41961, 32126732 req, miss ratio 0.2061, byte miss ratio 0.2061
cdn1_colo28.ns241 S3FIFO-0.9900-1.9000 cache size   139870, 32126732 req, miss ratio 0.1259, byte miss ratio 0.1259
cdn1_colo28.ns241 S3FIFO-0.9900-1.9000 cache size   279740, 32126732 req, miss ratio 0.0911, byte miss ratio 0.0911
cdn1_colo28.ns241 S3FIFO-0.9900-1.9000 cache size   559480, 32126732 req, miss ratio 0.0641, byte miss ratio 0.0641
cdn1_colo28.ns241 S3FIFO-0.9900-1.9000 cache size  1118960, 32126732 req, miss ratio 0.0479, byte miss ratio 0.0479
cdn1_colo28.ns241 S3FIFO-0.2000-1.9000 cache size     1398, 32126732 req, miss ratio 0.6839, byte miss ratio 0.6839
cdn1_colo28.ns241 S3FIFO-0.2000-1.9000 cache size     4196, 32126732 req, miss ratio 0.4605, byte miss ratio 0.4605
cdn1_colo28.ns241 S3FIFO-0.2000-1.9000 cache size    13987, 32126732 req, miss ratio 0.2564, byte miss ratio 0.2564
cdn1_colo28.ns241 S3FIFO-0.2000-1.9000 cache size    41961, 32126732 req, miss ratio 0.1615, byte miss ratio 0.1615
cdn1_colo28.ns241 S3FIFO-0.2000-1.9000 cache size   139870, 32126732 req, miss ratio 0.0959, byte miss ratio 0.0959
cdn1_colo28.ns241 S3FIFO-0.2000-1.9000 cache size   279740, 32126732 req, miss ratio 0.0696, byte miss ratio 0.0696
cdn1_colo28.ns241 S3FIFO-0.2000-1.9000 cache size   559480, 32126732 req, miss ratio 0.0523, byte miss ratio 0.0523
cdn1_colo28.ns241 S3FIFO-0.2000-1.9000 cache size  1118960, 32126732 req, miss ratio 0.0442, byte miss ratio 0.0442
cdn1_colo28.ns241 S3FIFO-0.8500-1.9000 cache size     1398, 32126732 req, miss ratio 0.7869, byte miss ratio 0.7869
cdn1_colo28.ns241 S3FIFO-0.8500-1.9000 cache size     4196, 32126732 req, miss ratio 0.5774, byte miss ratio 0.5774
cdn1_colo28.ns241 S3FIFO-0.8500-1.9000 cache size    13987, 32126732 req, miss ratio 0.3244, byte miss ratio 0.3244
cdn1_colo28.ns241 S3FIFO-0.8500-1.9000 cache size    41961, 32126732 req, miss ratio 0.1889, byte miss ratio 0.1889
cdn1_colo28.ns241 S3FIFO-0.8500-1.9000 cache size   139870, 32126732 req, miss ratio 0.1165, byte miss ratio 0.1165
cdn1_colo28.ns241 S3FIFO-0.8500-1.9000 cache size   279740, 32126732 req, miss ratio 0.0849, byte miss ratio 0.0849
cdn1_colo28.ns241 S3FIFO-0.8500-1.9000 cache size   559480, 32126732 req, miss ratio 0.0600, byte miss ratio 0.0600
cdn1_colo28.ns241 S3FIFO-0.8500-1.9000 cache size  1118960, 32126732 req, miss ratio 0.0454, byte miss ratio 0.0454
cdn1_colo28.ns241 S3FIFO-0.8000-0.9000 cache size     1398, 32126732 req, miss ratio 0.7714, byte miss ratio 0.7714
cdn1_colo28.ns241 S3FIFO-0.8000-0.9000 cache size     4196, 32126732 req, miss ratio 0.5652, byte miss ratio 0.5652
cdn1_colo28.ns241 S3FIFO-0.8000-0.9000 cache size    13987, 32126732 req, miss ratio 0.3154, byte miss ratio 0.3154
cdn1_colo28.ns241 S3FIFO-0.8000-0.9000 cache size    41961, 32126732 req, miss ratio 0.1832, byte miss ratio 0.1832
cdn1_colo28.ns241 S3FIFO-0.8000-0.9000 cache size   139870, 32126732 req, miss ratio 0.1144, byte miss ratio 0.1144
cdn1_colo28.ns241 S3FIFO-0.8000-0.9000 cache size   279740, 32126732 req, miss ratio 0.0832, byte miss ratio 0.0832
cdn1_colo28.ns241 S3FIFO-0.8000-0.9000 cache size   559480, 32126732 req, miss ratio 0.0588, byte miss ratio 0.0588
cdn1_colo28.ns241 S3FIFO-0.8000-0.9000 cache size  1118960, 32126732 req, miss ratio 0.0450, byte miss ratio 0.0450
cdn1_colo28.ns241 S3FIFO-0.1500-0.9000 cache size     1398, 32126732 req, miss ratio 0.6670, byte miss ratio 0.6670
cdn1_colo28.ns241 S3FIFO-0.1500-0.9000 cache size     4196, 32126732 req, miss ratio 0.4458, byte miss ratio 0.4458
cdn1_colo28.ns241 S3FIFO-0.1500-0.9000 cache size    13987, 32126732 req, miss ratio 0.2537, byte miss ratio 0.2537
cdn1_colo28.ns241 S3FIFO-0.1500-0.9000 cache size    41961, 32126732 req, miss ratio 0.1617, byte miss ratio 0.1617
cdn1_colo28.ns241 S3FIFO-0.1500-0.9000 cache size   139870, 32126732 req, miss ratio 0.0942, byte miss ratio 0.0942
cdn1_colo28.ns241 S3FIFO-0.1500-0.9000 cache size   279740, 32126732 req, miss ratio 0.0687, byte miss ratio 0.0687
cdn1_colo28.ns241 S3FIFO-0.1500-0.9000 cache size   559480, 32126732 req, miss ratio 0.0523, byte miss ratio 0.0523
cdn1_colo28.ns241 S3FIFO-0.1500-0.9000 cache size  1118960, 32126732 req, miss ratio 0.0442, byte miss ratio 0.0442
cdn1_colo28.ns241 S3FIFO-0.7000-1.9000 cache size     1398, 32126732 req, miss ratio 0.7623, byte miss ratio 0.7623
