cdn1_colo28.ns527 S3FIFO-0.0100-0.9000 cache size      298, 1136325 req, miss ratio 0.6043, byte miss ratio 0.6043
cdn1_colo28.ns527 S3FIFO-0.0100-0.9000 cache size      896, 1136325 req, miss ratio 0.5145, byte miss ratio 0.5145
cdn1_colo28.ns527 S3FIFO-0.0100-0.9000 cache size     2987, 1136325 req, miss ratio 0.4219, byte miss ratio 0.4219
cdn1_colo28.ns527 S3FIFO-0.0100-0.9000 cache size     8961, 1136325 req, miss ratio 0.3555, byte miss ratio 0.3555
cdn1_colo28.ns527 S3FIFO-0.0100-0.9000 cache size    29873, 1136325 req, miss ratio 0.3072, byte miss ratio 0.3072
cdn1_colo28.ns527 S3FIFO-0.0100-0.9000 cache size    59746, 1136325 req, miss ratio 0.2833, byte miss ratio 0.2833
cdn1_colo28.ns527 S3FIFO-0.0100-0.9000 cache size   119492, 1136325 req, miss ratio 0.2653, byte miss ratio 0.2653
cdn1_colo28.ns527 S3FIFO-0.0100-0.9000 cache size   238984, 1136325 req, miss ratio 0.2631, byte miss ratio 0.2631
cdn1_colo28.ns527 S3FIFO-0.4500-0.9000 cache size      298, 1136325 req, miss ratio 0.6073, byte miss ratio 0.6073
cdn1_colo28.ns527 S3FIFO-0.4500-0.9000 cache size      896, 1136325 req, miss ratio 0.5151, byte miss ratio 0.5151
cdn1_colo28.ns527 S3FIFO-0.4500-0.9000 cache size     2987, 1136325 req, miss ratio 0.4225, byte miss ratio 0.4225
cdn1_colo28.ns527 S3FIFO-0.4500-0.9000 cache size     8961, 1136325 req, miss ratio 0.3464, byte miss ratio 0.3464
cdn1_colo28.ns527 S3FIFO-0.4500-0.9000 cache size    29873, 1136325 req, miss ratio 0.2888, byte miss ratio 0.2888
cdn1_colo28.ns527 S3FIFO-0.4500-0.9000 cache size    59746, 1136325 req, miss ratio 0.2727, byte miss ratio 0.2727
cdn1_colo28.ns527 S3FIFO-0.4500-0.9000 cache size   119492, 1136325 req, miss ratio 0.2653, byte miss ratio 0.2653
cdn1_colo28.ns527 S3FIFO-0.4500-0.9000 cache size   238984, 1136325 req, miss ratio 0.2631, byte miss ratio 0.2631
cdn1_colo28.ns527 S3FIFO-0.4000-1.9000 cache size      298, 1136325 req, miss ratio 0.6049, byte miss ratio 0.6049
cdn1_colo28.ns527 S3FIFO-0.4000-1.9000 cache size      896, 1136325 req, miss ratio 0.5131, byte miss ratio 0.5131
cdn1_colo28.ns527 S3FIFO-0.4000-1.9000 cache size     2987, 1136325 req, miss ratio 0.4212, byte miss ratio 0.4212
cdn1_colo28.ns527 S3FIFO-0.4000-1.9000 cache size     8961, 1136325 req, miss ratio 0.3455, byte miss ratio 0.3455
cdn1_colo28.ns527 S3FIFO-0.4000-1.9000 cache size    29873, 1136325 req, miss ratio 0.2884, byte miss ratio 0.2884
cdn1_colo28.ns527 S3FIFO-0.4000-1.9000 cache size    59746, 1136325 req, miss ratio 0.2727, byte miss ratio 0.2727
cdn1_colo28.ns527 S3FIFO-0.4000-1.9000 cache size   119492, 1136325 req, miss ratio 0.2653, byte miss ratio 0.2653
cdn1_colo28.ns527 S3FIFO-0.4000-1.9000 cache size   238984, 1136325 req, miss ratio 0.2631, byte miss ratio 0.2631
cdn1_colo28.ns527 S3FIFO-0.6000-0.9000 cache size      298, 1136325 req, miss ratio 0.6209, byte miss ratio 0.6209
cdn1_colo28.ns527 S3FIFO-0.6000-0.9000 cache size      896, 1136325 req, miss ratio 0.5269, byte miss ratio 0.5269
cdn1_colo28.ns527 S3FIFO-0.6000-0.9000 cache size     2987, 1136325 req, miss ratio 0.4330, byte miss ratio 0.4330
cdn1_colo28.ns527 S3FIFO-0.6000-0.9000 cache size     8961, 1136325 req, miss ratio 0.3524, byte miss ratio 0.3524
cdn1_colo28.ns527 S3FIFO-0.6000-0.9000 cache size    29873, 1136325 req, miss ratio 0.2904, byte miss ratio 0.2904
cdn1_colo28.ns527 S3FIFO-0.6000-0.9000 cache size    59746, 1136325 req, miss ratio 0.2726, byte miss ratio 0.2726
cdn1_colo28.ns527 S3FIFO-0.6000-0.9000 cache size   119492, 1136325 req, miss ratio 0.2653, byte miss ratio 0.2653
