cdn1_colo28.ns975 S3FIFO-0.9900-0.9000 cache size       32, 2315384 req, miss ratio 0.7247, byte miss ratio 0.7247
cdn1_colo28.ns975 S3FIFO-0.9900-0.9000 cache size       98, 2315384 req, miss ratio 0.5615, byte miss ratio 0.5615
cdn1_colo28.ns975 S3FIFO-0.9900-0.9000 cache size      328, 2315384 req, miss ratio 0.4331, byte miss ratio 0.4331
cdn1_colo28.ns975 S3FIFO-0.9900-0.9000 cache size      986, 2315384 req, miss ratio 0.3098, byte miss ratio 0.3098
cdn1_colo28.ns975 S3FIFO-0.9900-0.9000 cache size     3289, 2315384 req, miss ratio 0.1535, byte miss ratio 0.1535
cdn1_colo28.ns975 S3FIFO-0.9900-0.9000 cache size     6578, 2315384 req, miss ratio 0.0839, byte miss ratio 0.0839
cdn1_colo28.ns975 S3FIFO-0.9900-0.9000 cache size    13156, 2315384 req, miss ratio 0.0409, byte miss ratio 0.0409
cdn1_colo28.ns975 S3FIFO-0.9900-0.9000 cache size    26313, 2315384 req, miss ratio 0.0191, byte miss ratio 0.0191
cdn1_colo28.ns975 S3FIFO-0.4500-1.9000 cache size       32, 2315384 req, miss ratio 0.5584, byte miss ratio 0.5584
cdn1_colo28.ns975 S3FIFO-0.4500-1.9000 cache size       98, 2315384 req, miss ratio 0.4524, byte miss ratio 0.4524
cdn1_colo28.ns975 S3FIFO-0.4500-1.9000 cache size      328, 2315384 req, miss ratio 0.3697, byte miss ratio 0.3697
cdn1_colo28.ns975 S3FIFO-0.4500-1.9000 cache size      986, 2315384 req, miss ratio 0.2589, byte miss ratio 0.2589
cdn1_colo28.ns975 S3FIFO-0.4500-1.9000 cache size     3289, 2315384 req, miss ratio 0.1163, byte miss ratio 0.1163
cdn1_colo28.ns975 S3FIFO-0.4500-1.9000 cache size     6578, 2315384 req, miss ratio 0.0610, byte miss ratio 0.0610
cdn1_colo28.ns975 S3FIFO-0.4500-1.9000 cache size    13156, 2315384 req, miss ratio 0.0301, byte miss ratio 0.0301
cdn1_colo28.ns975 S3FIFO-0.4500-1.9000 cache size    26313, 2315384 req, miss ratio 0.0153, byte miss ratio 0.0153
cdn1_colo28.ns975 S3FIFO-0.0100-0.9000 cache size       32, 2315384 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns975 S3FIFO-0.0100-0.9000 cache size       98, 2315384 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns975 S3FIFO-0.0100-0.9000 cache size      328, 2315384 req, miss ratio 0.3306, byte miss ratio 0.3306
cdn1_colo28.ns975 S3FIFO-0.0100-0.9000 cache size      986, 2315384 req, miss ratio 0.2161, byte miss ratio 0.2161
cdn1_colo28.ns975 S3FIFO-0.0100-0.9000 cache size     3289, 2315384 req, miss ratio 0.0896, byte miss ratio 0.0896
cdn1_colo28.ns975 S3FIFO-0.0100-0.9000 cache size     6578, 2315384 req, miss ratio 0.0496, byte miss ratio 0.0496
cdn1_colo28.ns975 S3FIFO-0.0100-0.9000 cache size    13156, 2315384 req, miss ratio 0.0252, byte miss ratio 0.0252
cdn1_colo28.ns975 S3FIFO-0.0100-0.9000 cache size    26313, 2315384 req, miss ratio 0.0149, byte miss ratio 0.0149
cdn1_colo28.ns975 S3FIFO-0.3000-0.9000 cache size       32, 2315384 req, miss ratio 0.5149, byte miss ratio 0.5149
cdn1_colo28.ns975 S3FIFO-0.3000-0.9000 cache size       98, 2315384 req, miss ratio 0.4362, byte miss ratio 0.4362
cdn1_colo28.ns975 S3FIFO-0.3000-0.9000 cache size      328, 2315384 req, miss ratio 0.3508, byte miss ratio 0.3508
cdn1_colo28.ns975 S3FIFO-0.3000-0.9000 cache size      986, 2315384 req, miss ratio 0.2396, byte miss ratio 0.2396
cdn1_colo28.ns975 S3FIFO-0.3000-0.9000 cache size     3289, 2315384 req, miss ratio 0.1058, byte miss ratio 0.1058
cdn1_colo28.ns975 S3FIFO-0.3000-0.9000 cache size     6578, 2315384 req, miss ratio 0.0566, byte miss ratio 0.0566
cdn1_colo28.ns975 S3FIFO-0.3000-0.9000 cache size    13156, 2315384 req, miss ratio 0.0282, byte miss ratio 0.0282
cdn1_colo28.ns975 S3FIFO-0.3000-0.9000 cache size    26313, 2315384 req, miss ratio 0.0150, byte miss ratio 0.0150
cdn1_colo28.ns975 S3FIFO-0.8000-1.9000 cache size       32, 2315384 req, miss ratio 0.6695, byte miss ratio 0.6695
cdn1_colo28.ns975 S3FIFO-0.8000-1.9000 cache size       98, 2315384 req, miss ratio 0.5027, byte miss ratio 0.5027
cdn1_colo28.ns975 S3FIFO-0.8000-1.9000 cache size      328, 2315384 req, miss ratio 0.4022, byte miss ratio 0.4022
cdn1_colo28.ns975 S3FIFO-0.8000-1.9000 cache size      986, 2315384 req, miss ratio 0.2891, byte miss ratio 0.2891
cdn1_colo28.ns975 S3FIFO-0.8000-1.9000 cache size     3289, 2315384 req, miss ratio 0.1372, byte miss ratio 0.1372
cdn1_colo28.ns975 S3FIFO-0.8000-1.9000 cache size     6578, 2315384 req, miss ratio 0.0734, byte miss ratio 0.0734
