cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size       21, 4953252 req, miss ratio 0.5631, byte miss ratio 0.5631
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size       63, 4953252 req, miss ratio 0.5134, byte miss ratio 0.5134
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size      210, 4953252 req, miss ratio 0.2406, byte miss ratio 0.2406
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size      631, 4953252 req, miss ratio 0.0622, byte miss ratio 0.0622
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size     2105, 4953252 req, miss ratio 0.0122, byte miss ratio 0.0122
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size     4210, 4953252 req, miss ratio 0.0080, byte miss ratio 0.0080
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size     8420, 4953252 req, miss ratio 0.0057, byte miss ratio 0.0057
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.3000-0.9000 cache size    16840, 4953252 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size       21, 4953252 req, miss ratio 0.5846, byte miss ratio 0.5846
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size       63, 4953252 req, miss ratio 0.5322, byte miss ratio 0.5322
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size      210, 4953252 req, miss ratio 0.2760, byte miss ratio 0.2760
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size      631, 4953252 req, miss ratio 0.0918, byte miss ratio 0.0918
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size     2105, 4953252 req, miss ratio 0.0209, byte miss ratio 0.0209
cdn2_lax.ns533.oracleGeneral.bin.zst S3FIFO-0.9900-0.9000 cache size     4210, 4953252 req, miss ratio 0.0115, byte miss ratio 0.0115
