cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size      377, 3138748 req, miss ratio 0.1264, byte miss ratio 0.1264
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size     1132, 3138748 req, miss ratio 0.1232, byte miss ratio 0.1232
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size     3773, 3138748 req, miss ratio 0.1214, byte miss ratio 0.1214
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size    11320, 3138748 req, miss ratio 0.1209, byte miss ratio 0.1209
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size    37735, 3138748 req, miss ratio 0.1205, byte miss ratio 0.1205
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size    75471, 3138748 req, miss ratio 0.1204, byte miss ratio 0.1204
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size   150942, 3138748 req, miss ratio 0.1203, byte miss ratio 0.1203
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size   301884, 3138748 req, miss ratio 0.1202, byte miss ratio 0.1202
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size      377, 3138748 req, miss ratio 0.1239, byte miss ratio 0.1239
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size     1132, 3138748 req, miss ratio 0.1225, byte miss ratio 0.1225
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size     3773, 3138748 req, miss ratio 0.1217, byte miss ratio 0.1217
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size    11320, 3138748 req, miss ratio 0.1211, byte miss ratio 0.1211
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size    37735, 3138748 req, miss ratio 0.1207, byte miss ratio 0.1207
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size    75471, 3138748 req, miss ratio 0.1205, byte miss ratio 0.1205
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size   150942, 3138748 req, miss ratio 0.1203, byte miss ratio 0.1203
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size   301884, 3138748 req, miss ratio 0.1202, byte miss ratio 0.1202
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.0010-0.9000 cache size      377, 3138748 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.0010-0.9000 cache size     1132, 3138748 req, miss ratio 0.1598, byte miss ratio 0.1598
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.0010-0.9000 cache size     3773, 3138748 req, miss ratio 0.1374, byte miss ratio 0.1374
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.0010-0.9000 cache size    11320, 3138748 req, miss ratio 0.1269, byte miss ratio 0.1269
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.0010-0.9000 cache size    37735, 3138748 req, miss ratio 0.1231, byte miss ratio 0.1231
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.0010-0.9000 cache size    75471, 3138748 req, miss ratio 0.1216, byte miss ratio 0.1216
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.0010-0.9000 cache size   150942, 3138748 req, miss ratio 0.1205, byte miss ratio 0.1205
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.0010-0.9000 cache size   301884, 3138748 req, miss ratio 0.1202, byte miss ratio 0.1202
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size      377, 3138748 req, miss ratio 0.1237, byte miss ratio 0.1237
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size     1132, 3138748 req, miss ratio 0.1223, byte miss ratio 0.1223
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size     3773, 3138748 req, miss ratio 0.1216, byte miss ratio 0.1216
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size    11320, 3138748 req, miss ratio 0.1210, byte miss ratio 0.1210
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size    37735, 3138748 req, miss ratio 0.1206, byte miss ratio 0.1206
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size    75471, 3138748 req, miss ratio 0.1204, byte miss ratio 0.1204
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size   150942, 3138748 req, miss ratio 0.1203, byte miss ratio 0.1203
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size   301884, 3138748 req, miss ratio 0.1202, byte miss ratio 0.1202
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size      377, 3138748 req, miss ratio 0.1249, byte miss ratio 0.1249
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size     1132, 3138748 req, miss ratio 0.1230, byte miss ratio 0.1230
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size     3773, 3138748 req, miss ratio 0.1220, byte miss ratio 0.1220
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size    11320, 3138748 req, miss ratio 0.1215, byte miss ratio 0.1215
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size    37735, 3138748 req, miss ratio 0.1209, byte miss ratio 0.1209
