cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size     1185, 1994940 req, miss ratio 0.5998, byte miss ratio 0.5998
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size     3555, 1994940 req, miss ratio 0.5972, byte miss ratio 0.5972
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size    11851, 1994940 req, miss ratio 0.5961, byte miss ratio 0.5961
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size    35553, 1994940 req, miss ratio 0.5947, byte miss ratio 0.5947
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size   118510, 1994940 req, miss ratio 0.5942, byte miss ratio 0.5942
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size   237020, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size   474041, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size   948083, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.2500-0.9000 cache size     1185, 1994940 req, miss ratio 0.6148, byte miss ratio 0.6148
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.2500-0.9000 cache size     3555, 1994940 req, miss ratio 0.5993, byte miss ratio 0.5993
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.2500-0.9000 cache size    11851, 1994940 req, miss ratio 0.5954, byte miss ratio 0.5954
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.2500-0.9000 cache size    35553, 1994940 req, miss ratio 0.5949, byte miss ratio 0.5949
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.2500-0.9000 cache size   118510, 1994940 req, miss ratio 0.5942, byte miss ratio 0.5942
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.2500-0.9000 cache size   237020, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.2500-0.9000 cache size   474041, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.2500-0.9000 cache size   948083, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size     1185, 1994940 req, miss ratio 0.6098, byte miss ratio 0.6098
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size     3555, 1994940 req, miss ratio 0.5968, byte miss ratio 0.5968
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size    11851, 1994940 req, miss ratio 0.5954, byte miss ratio 0.5954
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size    35553, 1994940 req, miss ratio 0.5945, byte miss ratio 0.5945
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size   118510, 1994940 req, miss ratio 0.5942, byte miss ratio 0.5942
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size   237020, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size   474041, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
cdn2_lax.ns969.oracleGeneral.bin.zst S3FIFO-0.4000-1.9000 cache size   948083, 1994940 req, miss ratio 0.5941, byte miss ratio 0.5941
