cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size     7308, 25527458 req, miss ratio 0.2867, byte miss ratio 0.2867
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size    21926, 25527458 req, miss ratio 0.2864, byte miss ratio 0.2864
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size    73086, 25527458 req, miss ratio 0.2864, byte miss ratio 0.2864
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size   219260, 25527458 req, miss ratio 0.2863, byte miss ratio 0.2863
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size   730868, 25527458 req, miss ratio 0.2863, byte miss ratio 0.2863
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size  1461736, 25527458 req, miss ratio 0.2863, byte miss ratio 0.2863
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size  2923472, 25527458 req, miss ratio 0.2863, byte miss ratio 0.2863
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.8000-0.9000 cache size  5846945, 25527458 req, miss ratio 0.2863, byte miss ratio 0.2863
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size     7308, 25527458 req, miss ratio 0.3650, byte miss ratio 0.3650
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size    21926, 25527458 req, miss ratio 0.3396, byte miss ratio 0.3396
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size    73086, 25527458 req, miss ratio 0.3078, byte miss ratio 0.3078
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size   219260, 25527458 req, miss ratio 0.2902, byte miss ratio 0.2902
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size   730868, 25527458 req, miss ratio 0.2880, byte miss ratio 0.2880
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size  1461736, 25527458 req, miss ratio 0.2869, byte miss ratio 0.2869
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size  2923472, 25527458 req, miss ratio 0.2864, byte miss ratio 0.2864
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.0010-1.9000 cache size  5846945, 25527458 req, miss ratio 0.2863, byte miss ratio 0.2863
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size     7308, 25527458 req, miss ratio 0.2885, byte miss ratio 0.2885
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size    21926, 25527458 req, miss ratio 0.2872, byte miss ratio 0.2872
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size    73086, 25527458 req, miss ratio 0.2864, byte miss ratio 0.2864
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size   219260, 25527458 req, miss ratio 0.2863, byte miss ratio 0.2863
cdn2_nyc.ns280.oracleGeneral.bin.zst S3FIFO-0.1000-0.9000 cache size   730868, 25527458 req, miss ratio 0.2863, byte miss ratio 0.2863
