cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size      254, 1187208 req, miss ratio 0.2753, byte miss ratio 0.2753
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size      763, 1187208 req, miss ratio 0.2691, byte miss ratio 0.2691
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size     2543, 1187208 req, miss ratio 0.2569, byte miss ratio 0.2569
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size     7631, 1187208 req, miss ratio 0.2365, byte miss ratio 0.2365
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size    25436, 1187208 req, miss ratio 0.2201, byte miss ratio 0.2201
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size    50873, 1187208 req, miss ratio 0.2166, byte miss ratio 0.2166
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size   101746, 1187208 req, miss ratio 0.2143, byte miss ratio 0.2143
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.6000-0.9000 cache size   203493, 1187208 req, miss ratio 0.2143, byte miss ratio 0.2143
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.0250-1.9000 cache size      254, 1187208 req, miss ratio 0.2854, byte miss ratio 0.2854
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.0250-1.9000 cache size      763, 1187208 req, miss ratio 0.2736, byte miss ratio 0.2736
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.0250-1.9000 cache size     2543, 1187208 req, miss ratio 0.2566, byte miss ratio 0.2566
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.0250-1.9000 cache size     7631, 1187208 req, miss ratio 0.2390, byte miss ratio 0.2390
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.0250-1.9000 cache size    25436, 1187208 req, miss ratio 0.2258, byte miss ratio 0.2258
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.0250-1.9000 cache size    50873, 1187208 req, miss ratio 0.2187, byte miss ratio 0.2187
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.0250-1.9000 cache size   101746, 1187208 req, miss ratio 0.2157, byte miss ratio 0.2157
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.0250-1.9000 cache size   203493, 1187208 req, miss ratio 0.2143, byte miss ratio 0.2143
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size      254, 1187208 req, miss ratio 0.2788, byte miss ratio 0.2788
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size      763, 1187208 req, miss ratio 0.2707, byte miss ratio 0.2707
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size     2543, 1187208 req, miss ratio 0.2573, byte miss ratio 0.2573
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size     7631, 1187208 req, miss ratio 0.2397, byte miss ratio 0.2397
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size    25436, 1187208 req, miss ratio 0.2193, byte miss ratio 0.2193
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size    50873, 1187208 req, miss ratio 0.2168, byte miss ratio 0.2168
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size   101746, 1187208 req, miss ratio 0.2144, byte miss ratio 0.2144
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size   203493, 1187208 req, miss ratio 0.2143, byte miss ratio 0.2143
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size      254, 1187208 req, miss ratio 0.3033, byte miss ratio 0.3033
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size      763, 1187208 req, miss ratio 0.2779, byte miss ratio 0.2779
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size     2543, 1187208 req, miss ratio 0.2590, byte miss ratio 0.2590
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size     7631, 1187208 req, miss ratio 0.2406, byte miss ratio 0.2406
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.0100-1.9000 cache size    25436, 1187208 req, miss ratio 0.2271, byte miss ratio 0.2271
