cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size     5564, 17143213 req, miss ratio 0.5030, byte miss ratio 0.5030
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size    16692, 17143213 req, miss ratio 0.4489, byte miss ratio 0.4489
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size    55641, 17143213 req, miss ratio 0.3856, byte miss ratio 0.3856
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size   166924, 17143213 req, miss ratio 0.3515, byte miss ratio 0.3515
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size   556413, 17143213 req, miss ratio 0.3388, byte miss ratio 0.3388
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size  1112827, 17143213 req, miss ratio 0.3325, byte miss ratio 0.3325
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size  2225655, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size  4451310, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size     5564, 17143213 req, miss ratio 0.4540, byte miss ratio 0.4540
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size    16692, 17143213 req, miss ratio 0.4059, byte miss ratio 0.4059
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size    55641, 17143213 req, miss ratio 0.3663, byte miss ratio 0.3663
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size   166924, 17143213 req, miss ratio 0.3346, byte miss ratio 0.3346
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size   556413, 17143213 req, miss ratio 0.3248, byte miss ratio 0.3248
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size  1112827, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size  2225655, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.5000-0.9000 cache size  4451310, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size     5564, 17143213 req, miss ratio 0.4773, byte miss ratio 0.4773
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size    16692, 17143213 req, miss ratio 0.4202, byte miss ratio 0.4202
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size    55641, 17143213 req, miss ratio 0.3761, byte miss ratio 0.3761
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size   166924, 17143213 req, miss ratio 0.3383, byte miss ratio 0.3383
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size   556413, 17143213 req, miss ratio 0.3249, byte miss ratio 0.3249
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size  1112827, 17143213 req, miss ratio 0.3247, byte miss ratio 0.3247
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size  2225655, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.9900-1.9000 cache size  4451310, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size     5564, 17143213 req, miss ratio 0.5140, byte miss ratio 0.5140
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size    16692, 17143213 req, miss ratio 0.4675, byte miss ratio 0.4675
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size    55641, 17143213 req, miss ratio 0.4052, byte miss ratio 0.4052
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size   166924, 17143213 req, miss ratio 0.3637, byte miss ratio 0.3637
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size   556413, 17143213 req, miss ratio 0.3430, byte miss ratio 0.3430
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size  1112827, 17143213 req, miss ratio 0.3353, byte miss ratio 0.3353
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size  2225655, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size  4451310, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.1500-0.9000 cache size     5564, 17143213 req, miss ratio 0.4688, byte miss ratio 0.4688
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.1500-0.9000 cache size    16692, 17143213 req, miss ratio 0.4131, byte miss ratio 0.4131
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.1500-0.9000 cache size    55641, 17143213 req, miss ratio 0.3662, byte miss ratio 0.3662
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.1500-0.9000 cache size   166924, 17143213 req, miss ratio 0.3418, byte miss ratio 0.3418
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.1500-0.9000 cache size   556413, 17143213 req, miss ratio 0.3293, byte miss ratio 0.3293
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.1500-0.9000 cache size  1112827, 17143213 req, miss ratio 0.3253, byte miss ratio 0.3253
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.1500-0.9000 cache size  2225655, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.1500-0.9000 cache size  4451310, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size     5564, 17143213 req, miss ratio 0.4725, byte miss ratio 0.4725
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size    16692, 17143213 req, miss ratio 0.4181, byte miss ratio 0.4181
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size    55641, 17143213 req, miss ratio 0.3749, byte miss ratio 0.3749
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size   166924, 17143213 req, miss ratio 0.3372, byte miss ratio 0.3372
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size   556413, 17143213 req, miss ratio 0.3248, byte miss ratio 0.3248
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size  1112827, 17143213 req, miss ratio 0.3247, byte miss ratio 0.3247
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size  2225655, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.9500-1.9000 cache size  4451310, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size     5564, 17143213 req, miss ratio 0.4587, byte miss ratio 0.4587
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size    16692, 17143213 req, miss ratio 0.4118, byte miss ratio 0.4118
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size    55641, 17143213 req, miss ratio 0.3697, byte miss ratio 0.3697
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size   166924, 17143213 req, miss ratio 0.3345, byte miss ratio 0.3345
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size   556413, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size  1112827, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
cdn2_sjc.ns6.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size  2225655, 17143213 req, miss ratio 0.3246, byte miss ratio 0.3246
