cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size       30, 2252816 req, miss ratio 0.0901, byte miss ratio 0.0901
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size       91, 2252816 req, miss ratio 0.0726, byte miss ratio 0.0726
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size      303, 2252816 req, miss ratio 0.0563, byte miss ratio 0.0563
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size      910, 2252816 req, miss ratio 0.0444, byte miss ratio 0.0444
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size     3035, 2252816 req, miss ratio 0.0354, byte miss ratio 0.0354
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size     6070, 2252816 req, miss ratio 0.0280, byte miss ratio 0.0280
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size    12141, 2252816 req, miss ratio 0.0210, byte miss ratio 0.0210
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.9500-0.9000 cache size    24282, 2252816 req, miss ratio 0.0150, byte miss ratio 0.0150
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size       30, 2252816 req, miss ratio 0.0813, byte miss ratio 0.0813
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size       91, 2252816 req, miss ratio 0.0679, byte miss ratio 0.0679
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size      303, 2252816 req, miss ratio 0.0530, byte miss ratio 0.0530
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size      910, 2252816 req, miss ratio 0.0410, byte miss ratio 0.0410
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size     3035, 2252816 req, miss ratio 0.0327, byte miss ratio 0.0327
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size     6070, 2252816 req, miss ratio 0.0262, byte miss ratio 0.0262
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size    12141, 2252816 req, miss ratio 0.0199, byte miss ratio 0.0199
