cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size        6, 5102234 req, miss ratio 0.1500, byte miss ratio 0.1500
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size       19, 5102234 req, miss ratio 0.0075, byte miss ratio 0.0075
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size       64, 5102234 req, miss ratio 0.0021, byte miss ratio 0.0021
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size      193, 5102234 req, miss ratio 0.0016, byte miss ratio 0.0016
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size      644, 5102234 req, miss ratio 0.0014, byte miss ratio 0.0014
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size     1288, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size     2577, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.3000-1.9000 cache size     5155, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size        6, 5102234 req, miss ratio 0.1623, byte miss ratio 0.1623
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size       19, 5102234 req, miss ratio 0.0090, byte miss ratio 0.0090
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size       64, 5102234 req, miss ratio 0.0022, byte miss ratio 0.0022
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size      193, 5102234 req, miss ratio 0.0016, byte miss ratio 0.0016
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size      644, 5102234 req, miss ratio 0.0014, byte miss ratio 0.0014
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size     1288, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size     2577, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size     5155, 5102234 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn2_sjc.ns798.oracleGeneral.bin.zst S3FIFO-0.0500-0.9000 cache size        6, 5102234 req, miss ratio 1.0000, byte miss ratio 1.0000
