cluster30.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size     1295, 239772077 req, miss ratio 0.1689, byte miss ratio 0.1689
cluster30.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size     3886, 239772077 req, miss ratio 0.0995, byte miss ratio 0.0995
cluster30.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size    12954, 239772077 req, miss ratio 0.0512, byte miss ratio 0.0512
cluster30.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size    38864, 239772077 req, miss ratio 0.0210, byte miss ratio 0.0210
cluster30.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size   129548, 239772077 req, miss ratio 0.0087, byte miss ratio 0.0087
cluster30.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size   259096, 239772077 req, miss ratio 0.0069, byte miss ratio 0.0069
cluster30.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size   518192, 239772077 req, miss ratio 0.0055, byte miss ratio 0.0055
cluster30.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size  1036384, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size     1295, 239772077 req, miss ratio 0.2098, byte miss ratio 0.2098
cluster30.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size     3886, 239772077 req, miss ratio 0.1244, byte miss ratio 0.1244
cluster30.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size    12954, 239772077 req, miss ratio 0.0634, byte miss ratio 0.0634
cluster30.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size    38864, 239772077 req, miss ratio 0.0261, byte miss ratio 0.0261
cluster30.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size   129548, 239772077 req, miss ratio 0.0092, byte miss ratio 0.0092
cluster30.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size   259096, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size   518192, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size  1036384, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size     1295, 239772077 req, miss ratio 0.1825, byte miss ratio 0.1825
cluster30.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size     3886, 239772077 req, miss ratio 0.1088, byte miss ratio 0.1088
cluster30.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size    12954, 239772077 req, miss ratio 0.0563, byte miss ratio 0.0563
cluster30.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size    38864, 239772077 req, miss ratio 0.0230, byte miss ratio 0.0230
cluster30.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size   129548, 239772077 req, miss ratio 0.0086, byte miss ratio 0.0086
cluster30.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size   259096, 239772077 req, miss ratio 0.0055, byte miss ratio 0.0055
cluster30.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size   518192, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.2500-0.9000 cache size  1036384, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size     1295, 239772077 req, miss ratio 0.2266, byte miss ratio 0.2266
cluster30.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size     3886, 239772077 req, miss ratio 0.1339, byte miss ratio 0.1339
cluster30.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size    12954, 239772077 req, miss ratio 0.0675, byte miss ratio 0.0675
cluster30.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size    38864, 239772077 req, miss ratio 0.0280, byte miss ratio 0.0280
cluster30.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size   129548, 239772077 req, miss ratio 0.0095, byte miss ratio 0.0095
cluster30.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size   259096, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size   518192, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size  1036384, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size     1295, 239772077 req, miss ratio 0.2511, byte miss ratio 0.2511
cluster30.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size     3886, 239772077 req, miss ratio 0.1470, byte miss ratio 0.1470
cluster30.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size    12954, 239772077 req, miss ratio 0.0723, byte miss ratio 0.0723
cluster30.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size    38864, 239772077 req, miss ratio 0.0306, byte miss ratio 0.0306
cluster30.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size   129548, 239772077 req, miss ratio 0.0107, byte miss ratio 0.0107
cluster30.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size   259096, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size   518192, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size  1036384, 239772077 req, miss ratio 0.0054, byte miss ratio 0.0054
cluster30.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size     1295, 239772077 req, miss ratio 0.1685, byte miss ratio 0.1685
cluster30.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size     3886, 239772077 req, miss ratio 0.0999, byte miss ratio 0.0999
cluster30.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size    12954, 239772077 req, miss ratio 0.0515, byte miss ratio 0.0515
cluster30.oracleGeneral.sample10.zst S3FIFO-0.0250-0.9000 cache size    38864, 239772077 req, miss ratio 0.0211, byte miss ratio 0.0211
