cluster51.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size      501, 612199280 req, miss ratio 0.2995, byte miss ratio 0.2995
cluster51.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size     1504, 612199280 req, miss ratio 0.1633, byte miss ratio 0.1633
cluster51.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size     5016, 612199280 req, miss ratio 0.0661, byte miss ratio 0.0661
cluster51.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size    15048, 612199280 req, miss ratio 0.0195, byte miss ratio 0.0195
cluster51.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size    50160, 612199280 req, miss ratio 0.0037, byte miss ratio 0.0037
cluster51.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size   100320, 612199280 req, miss ratio 0.0014, byte miss ratio 0.0014
cluster51.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size   200640, 612199280 req, miss ratio 0.0009, byte miss ratio 0.0009
cluster51.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size   401280, 612199280 req, miss ratio 0.0008, byte miss ratio 0.0008
cluster51.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size      501, 612199280 req, miss ratio 0.2598, byte miss ratio 0.2598
cluster51.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size     1504, 612199280 req, miss ratio 0.1540, byte miss ratio 0.1540
cluster51.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size     5016, 612199280 req, miss ratio 0.0686, byte miss ratio 0.0686
cluster51.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size    15048, 612199280 req, miss ratio 0.0197, byte miss ratio 0.0197
cluster51.oracleGeneral.sample10.zst S3FIFO-0.1000-1.9000 cache size    50160, 612199280 req, miss ratio 0.0037, byte miss ratio 0.0037
