io_traces.ns333 S3FIFO-0.1500-0.9000 cache size       37, 1200000 req, miss ratio 0.3240, byte miss ratio 0.3240
io_traces.ns333 S3FIFO-0.1500-0.9000 cache size      112, 1200000 req, miss ratio 0.2120, byte miss ratio 0.2120
io_traces.ns333 S3FIFO-0.1500-0.9000 cache size      376, 1200000 req, miss ratio 0.1672, byte miss ratio 0.1672
io_traces.ns333 S3FIFO-0.1500-0.9000 cache size     1128, 1200000 req, miss ratio 0.1470, byte miss ratio 0.1470
io_traces.ns333 S3FIFO-0.1500-0.9000 cache size     3760, 1200000 req, miss ratio 0.1284, byte miss ratio 0.1284
io_traces.ns333 S3FIFO-0.1500-0.9000 cache size     7521, 1200000 req, miss ratio 0.1078, byte miss ratio 0.1078
io_traces.ns333 S3FIFO-0.1500-0.9000 cache size    15042, 1200000 req, miss ratio 0.0615, byte miss ratio 0.0615
io_traces.ns333 S3FIFO-0.1500-0.9000 cache size    30084, 1200000 req, miss ratio 0.0327, byte miss ratio 0.0327
io_traces.ns333 S3FIFO-0.4500-1.9000 cache size       37, 1200000 req, miss ratio 0.3779, byte miss ratio 0.3779
io_traces.ns333 S3FIFO-0.4500-1.9000 cache size      112, 1200000 req, miss ratio 0.2221, byte miss ratio 0.2221
io_traces.ns333 S3FIFO-0.4500-1.9000 cache size      376, 1200000 req, miss ratio 0.1722, byte miss ratio 0.1722
io_traces.ns333 S3FIFO-0.4500-1.9000 cache size     1128, 1200000 req, miss ratio 0.1509, byte miss ratio 0.1509
io_traces.ns333 S3FIFO-0.4500-1.9000 cache size     3760, 1200000 req, miss ratio 0.1426, byte miss ratio 0.1426
io_traces.ns333 S3FIFO-0.4500-1.9000 cache size     7521, 1200000 req, miss ratio 0.1064, byte miss ratio 0.1064
io_traces.ns333 S3FIFO-0.4500-1.9000 cache size    15042, 1200000 req, miss ratio 0.0665, byte miss ratio 0.0665
io_traces.ns333 S3FIFO-0.4500-1.9000 cache size    30084, 1200000 req, miss ratio 0.0334, byte miss ratio 0.0334
io_traces.ns333 S3FIFO-0.5000-0.9000 cache size       37, 1200000 req, miss ratio 0.3822, byte miss ratio 0.3822
io_traces.ns333 S3FIFO-0.5000-0.9000 cache size      112, 1200000 req, miss ratio 0.2241, byte miss ratio 0.2241
io_traces.ns333 S3FIFO-0.5000-0.9000 cache size      376, 1200000 req, miss ratio 0.1735, byte miss ratio 0.1735
io_traces.ns333 S3FIFO-0.5000-0.9000 cache size     1128, 1200000 req, miss ratio 0.1520, byte miss ratio 0.1520
io_traces.ns333 S3FIFO-0.5000-0.9000 cache size     3760, 1200000 req, miss ratio 0.1397, byte miss ratio 0.1397
io_traces.ns333 S3FIFO-0.5000-0.9000 cache size     7521, 1200000 req, miss ratio 0.1083, byte miss ratio 0.1083
io_traces.ns333 S3FIFO-0.5000-0.9000 cache size    15042, 1200000 req, miss ratio 0.0675, byte miss ratio 0.0675
io_traces.ns333 S3FIFO-0.5000-0.9000 cache size    30084, 1200000 req, miss ratio 0.0338, byte miss ratio 0.0338
io_traces.ns333 S3FIFO-0.8500-0.9000 cache size       37, 1200000 req, miss ratio 0.4565, byte miss ratio 0.4565
io_traces.ns333 S3FIFO-0.8500-0.9000 cache size      112, 1200000 req, miss ratio 0.2723, byte miss ratio 0.2723
io_traces.ns333 S3FIFO-0.8500-0.9000 cache size      376, 1200000 req, miss ratio 0.1943, byte miss ratio 0.1943
io_traces.ns333 S3FIFO-0.8500-0.9000 cache size     1128, 1200000 req, miss ratio 0.1648, byte miss ratio 0.1648
io_traces.ns333 S3FIFO-0.8500-0.9000 cache size     3760, 1200000 req, miss ratio 0.1484, byte miss ratio 0.1484
io_traces.ns333 S3FIFO-0.8500-0.9000 cache size     7521, 1200000 req, miss ratio 0.1122, byte miss ratio 0.1122
io_traces.ns333 S3FIFO-0.8500-0.9000 cache size    15042, 1200000 req, miss ratio 0.0720, byte miss ratio 0.0720
io_traces.ns333 S3FIFO-0.8500-0.9000 cache size    30084, 1200000 req, miss ratio 0.0384, byte miss ratio 0.0384
io_traces.ns333 S3FIFO-0.6500-1.9000 cache size       37, 1200000 req, miss ratio 0.4151, byte miss ratio 0.4151
io_traces.ns333 S3FIFO-0.6500-1.9000 cache size      112, 1200000 req, miss ratio 0.2421, byte miss ratio 0.2421
io_traces.ns333 S3FIFO-0.6500-1.9000 cache size      376, 1200000 req, miss ratio 0.1800, byte miss ratio 0.1800
io_traces.ns333 S3FIFO-0.6500-1.9000 cache size     1128, 1200000 req, miss ratio 0.1564, byte miss ratio 0.1564
io_traces.ns333 S3FIFO-0.6500-1.9000 cache size     3760, 1200000 req, miss ratio 0.1449, byte miss ratio 0.1449
io_traces.ns333 S3FIFO-0.6500-1.9000 cache size     7521, 1200000 req, miss ratio 0.1138, byte miss ratio 0.1138
io_traces.ns333 S3FIFO-0.6500-1.9000 cache size    15042, 1200000 req, miss ratio 0.0694, byte miss ratio 0.0694
io_traces.ns333 S3FIFO-0.6500-1.9000 cache size    30084, 1200000 req, miss ratio 0.0354, byte miss ratio 0.0354
io_traces.ns333 S3FIFO-0.3500-1.9000 cache size       37, 1200000 req, miss ratio 0.3598, byte miss ratio 0.3598
io_traces.ns333 S3FIFO-0.3500-1.9000 cache size      112, 1200000 req, miss ratio 0.2159, byte miss ratio 0.2159
io_traces.ns333 S3FIFO-0.3500-1.9000 cache size      376, 1200000 req, miss ratio 0.1701, byte miss ratio 0.1701
io_traces.ns333 S3FIFO-0.3500-1.9000 cache size     1128, 1200000 req, miss ratio 0.1488, byte miss ratio 0.1488
io_traces.ns333 S3FIFO-0.3500-1.9000 cache size     3760, 1200000 req, miss ratio 0.1402, byte miss ratio 0.1402
io_traces.ns333 S3FIFO-0.3500-1.9000 cache size     7521, 1200000 req, miss ratio 0.1060, byte miss ratio 0.1060
io_traces.ns333 S3FIFO-0.3500-1.9000 cache size    15042, 1200000 req, miss ratio 0.0650, byte miss ratio 0.0650
io_traces.ns333 S3FIFO-0.3500-1.9000 cache size    30084, 1200000 req, miss ratio 0.0329, byte miss ratio 0.0329
io_traces.ns333 S3FIFO-0.9900-1.9000 cache size       37, 1200000 req, miss ratio 0.4791, byte miss ratio 0.4791
io_traces.ns333 S3FIFO-0.9900-1.9000 cache size      112, 1200000 req, miss ratio 0.2972, byte miss ratio 0.2972
io_traces.ns333 S3FIFO-0.9900-1.9000 cache size      376, 1200000 req, miss ratio 0.2141, byte miss ratio 0.2141
io_traces.ns333 S3FIFO-0.9900-1.9000 cache size     1128, 1200000 req, miss ratio 0.1785, byte miss ratio 0.1785
io_traces.ns333 S3FIFO-0.9900-1.9000 cache size     3760, 1200000 req, miss ratio 0.1414, byte miss ratio 0.1414
io_traces.ns333 S3FIFO-0.9900-1.9000 cache size     7521, 1200000 req, miss ratio 0.1128, byte miss ratio 0.1128
io_traces.ns333 S3FIFO-0.9900-1.9000 cache size    15042, 1200000 req, miss ratio 0.0735, byte miss ratio 0.0735
io_traces.ns333 S3FIFO-0.9900-1.9000 cache size    30084, 1200000 req, miss ratio 0.0403, byte miss ratio 0.0403
io_traces.ns333 S3FIFO-0.0010-1.9000 cache size       37, 1200000 req, miss ratio 1.0000, byte miss ratio 1.0000
io_traces.ns333 S3FIFO-0.0010-1.9000 cache size      112, 1200000 req, miss ratio 1.0000, byte miss ratio 1.0000
