io_traces.ns538 S3FIFO-0.4000-1.9000 cache size     6078, 14200000 req, miss ratio 0.9546, byte miss ratio 0.9546
io_traces.ns538 S3FIFO-0.4000-1.9000 cache size    18236, 14200000 req, miss ratio 0.9366, byte miss ratio 0.9366
io_traces.ns538 S3FIFO-0.4000-1.9000 cache size    60788, 14200000 req, miss ratio 0.8643, byte miss ratio 0.8643
io_traces.ns538 S3FIFO-0.4000-1.9000 cache size   182364, 14200000 req, miss ratio 0.7344, byte miss ratio 0.7344
io_traces.ns538 S3FIFO-0.4000-1.9000 cache size   607881, 14200000 req, miss ratio 0.5361, byte miss ratio 0.5361
io_traces.ns538 S3FIFO-0.4000-1.9000 cache size  1215762, 14200000 req, miss ratio 0.4859, byte miss ratio 0.4859
io_traces.ns538 S3FIFO-0.4000-1.9000 cache size  2431524, 14200000 req, miss ratio 0.4569, byte miss ratio 0.4569
io_traces.ns538 S3FIFO-0.4000-1.9000 cache size  4863049, 14200000 req, miss ratio 0.4312, byte miss ratio 0.4312
io_traces.ns538 S3FIFO-0.0100-0.9000 cache size     6078, 14200000 req, miss ratio 0.9542, byte miss ratio 0.9542
io_traces.ns538 S3FIFO-0.0100-0.9000 cache size    18236, 14200000 req, miss ratio 0.9478, byte miss ratio 0.9478
io_traces.ns538 S3FIFO-0.0100-0.9000 cache size    60788, 14200000 req, miss ratio 0.8816, byte miss ratio 0.8816
io_traces.ns538 S3FIFO-0.0100-0.9000 cache size   182364, 14200000 req, miss ratio 0.6648, byte miss ratio 0.6648
io_traces.ns538 S3FIFO-0.0100-0.9000 cache size   607881, 14200000 req, miss ratio 0.5286, byte miss ratio 0.5286
io_traces.ns538 S3FIFO-0.0100-0.9000 cache size  1215762, 14200000 req, miss ratio 0.4836, byte miss ratio 0.4836
io_traces.ns538 S3FIFO-0.0100-0.9000 cache size  2431524, 14200000 req, miss ratio 0.4569, byte miss ratio 0.4569
io_traces.ns538 S3FIFO-0.0100-0.9000 cache size  4863049, 14200000 req, miss ratio 0.4312, byte miss ratio 0.4312
io_traces.ns538 S3FIFO-0.0100-1.9000 cache size     6078, 14200000 req, miss ratio 0.9539, byte miss ratio 0.9539
io_traces.ns538 S3FIFO-0.0100-1.9000 cache size    18236, 14200000 req, miss ratio 0.9378, byte miss ratio 0.9378
io_traces.ns538 S3FIFO-0.0100-1.9000 cache size    60788, 14200000 req, miss ratio 0.8169, byte miss ratio 0.8169
io_traces.ns538 S3FIFO-0.0100-1.9000 cache size   182364, 14200000 req, miss ratio 0.6531, byte miss ratio 0.6531
io_traces.ns538 S3FIFO-0.0100-1.9000 cache size   607881, 14200000 req, miss ratio 0.5255, byte miss ratio 0.5255
io_traces.ns538 S3FIFO-0.0100-1.9000 cache size  1215762, 14200000 req, miss ratio 0.4861, byte miss ratio 0.4861
io_traces.ns538 S3FIFO-0.0100-1.9000 cache size  2431524, 14200000 req, miss ratio 0.4569, byte miss ratio 0.4569
io_traces.ns538 S3FIFO-0.0100-1.9000 cache size  4863049, 14200000 req, miss ratio 0.4312, byte miss ratio 0.4312
io_traces.ns538 S3FIFO-0.9000-0.9000 cache size     6078, 14200000 req, miss ratio 0.9612, byte miss ratio 0.9612
io_traces.ns538 S3FIFO-0.9000-0.9000 cache size    18236, 14200000 req, miss ratio 0.9565, byte miss ratio 0.9565
io_traces.ns538 S3FIFO-0.9000-0.9000 cache size    60788, 14200000 req, miss ratio 0.9460, byte miss ratio 0.9460
io_traces.ns538 S3FIFO-0.9000-0.9000 cache size   182364, 14200000 req, miss ratio 0.8781, byte miss ratio 0.8781
io_traces.ns538 S3FIFO-0.9000-0.9000 cache size   607881, 14200000 req, miss ratio 0.6483, byte miss ratio 0.6483
io_traces.ns538 S3FIFO-0.9000-0.9000 cache size  1215762, 14200000 req, miss ratio 0.5494, byte miss ratio 0.5494
io_traces.ns538 S3FIFO-0.9000-0.9000 cache size  2431524, 14200000 req, miss ratio 0.4793, byte miss ratio 0.4793
io_traces.ns538 S3FIFO-0.9000-0.9000 cache size  4863049, 14200000 req, miss ratio 0.4331, byte miss ratio 0.4331
io_traces.ns538 S3FIFO-0.1000-1.9000 cache size     6078, 14200000 req, miss ratio 0.9539, byte miss ratio 0.9539
io_traces.ns538 S3FIFO-0.1000-1.9000 cache size    18236, 14200000 req, miss ratio 0.9378, byte miss ratio 0.9378
io_traces.ns538 S3FIFO-0.1000-1.9000 cache size    60788, 14200000 req, miss ratio 0.8253, byte miss ratio 0.8253
io_traces.ns538 S3FIFO-0.1000-1.9000 cache size   182364, 14200000 req, miss ratio 0.6651, byte miss ratio 0.6651
io_traces.ns538 S3FIFO-0.1000-1.9000 cache size   607881, 14200000 req, miss ratio 0.5287, byte miss ratio 0.5287
io_traces.ns538 S3FIFO-0.1000-1.9000 cache size  1215762, 14200000 req, miss ratio 0.4830, byte miss ratio 0.4830
io_traces.ns538 S3FIFO-0.1000-1.9000 cache size  2431524, 14200000 req, miss ratio 0.4569, byte miss ratio 0.4569
io_traces.ns538 S3FIFO-0.1000-1.9000 cache size  4863049, 14200000 req, miss ratio 0.4312, byte miss ratio 0.4312
io_traces.ns538 S3FIFO-0.6000-1.9000 cache size     6078, 14200000 req, miss ratio 0.9561, byte miss ratio 0.9561
io_traces.ns538 S3FIFO-0.6000-1.9000 cache size    18236, 14200000 req, miss ratio 0.9414, byte miss ratio 0.9414
io_traces.ns538 S3FIFO-0.6000-1.9000 cache size    60788, 14200000 req, miss ratio 0.9067, byte miss ratio 0.9067
io_traces.ns538 S3FIFO-0.6000-1.9000 cache size   182364, 14200000 req, miss ratio 0.8004, byte miss ratio 0.8004
io_traces.ns538 S3FIFO-0.6000-1.9000 cache size   607881, 14200000 req, miss ratio 0.5657, byte miss ratio 0.5657
io_traces.ns538 S3FIFO-0.6000-1.9000 cache size  1215762, 14200000 req, miss ratio 0.4964, byte miss ratio 0.4964
io_traces.ns538 S3FIFO-0.6000-1.9000 cache size  2431524, 14200000 req, miss ratio 0.4578, byte miss ratio 0.4578
io_traces.ns538 S3FIFO-0.6000-1.9000 cache size  4863049, 14200000 req, miss ratio 0.4312, byte miss ratio 0.4312
io_traces.ns538 S3FIFO-0.0050-0.9000 cache size     6078, 14200000 req, miss ratio 0.9542, byte miss ratio 0.9542
