io_traces.ns58 S3FIFO-0.3000-0.9000 cache size    61246, 382600000 req, miss ratio 0.6005, byte miss ratio 0.6005
io_traces.ns58 S3FIFO-0.3000-0.9000 cache size   183738, 382600000 req, miss ratio 0.5136, byte miss ratio 0.5136
io_traces.ns58 S3FIFO-0.3000-0.9000 cache size   612461, 382600000 req, miss ratio 0.4162, byte miss ratio 0.4162
io_traces.ns58 S3FIFO-0.3000-0.9000 cache size  1837383, 382600000 req, miss ratio 0.3566, byte miss ratio 0.3566
io_traces.ns58 S3FIFO-0.3000-0.9000 cache size  6124613, 382600000 req, miss ratio 0.2988, byte miss ratio 0.2988
io_traces.ns58 S3FIFO-0.3000-0.9000 cache size 12249226, 382600000 req, miss ratio 0.2559, byte miss ratio 0.2559
io_traces.ns58 S3FIFO-0.3000-0.9000 cache size 24498452, 382600000 req, miss ratio 0.2034, byte miss ratio 0.2034
io_traces.ns58 S3FIFO-0.3000-0.9000 cache size 48996904, 382600000 req, miss ratio 0.1657, byte miss ratio 0.1657
io_traces.ns58 S3FIFO-0.7000-0.9000 cache size    61246, 382600000 req, miss ratio 0.5824, byte miss ratio 0.5824
io_traces.ns58 S3FIFO-0.7000-0.9000 cache size   183738, 382600000 req, miss ratio 0.5404, byte miss ratio 0.5404
io_traces.ns58 S3FIFO-0.7000-0.9000 cache size   612461, 382600000 req, miss ratio 0.4633, byte miss ratio 0.4633
io_traces.ns58 S3FIFO-0.7000-0.9000 cache size  1837383, 382600000 req, miss ratio 0.3708, byte miss ratio 0.3708
io_traces.ns58 S3FIFO-0.7000-0.9000 cache size  6124613, 382600000 req, miss ratio 0.3060, byte miss ratio 0.3060
io_traces.ns58 S3FIFO-0.7000-0.9000 cache size 12249226, 382600000 req, miss ratio 0.2619, byte miss ratio 0.2619
io_traces.ns58 S3FIFO-0.7000-0.9000 cache size 24498452, 382600000 req, miss ratio 0.2050, byte miss ratio 0.2050
io_traces.ns58 S3FIFO-0.7000-0.9000 cache size 48996904, 382600000 req, miss ratio 0.1676, byte miss ratio 0.1676
io_traces.ns58 S3FIFO-0.6000-1.9000 cache size    61246, 382600000 req, miss ratio 0.5820, byte miss ratio 0.5820
io_traces.ns58 S3FIFO-0.6000-1.9000 cache size   183738, 382600000 req, miss ratio 0.5374, byte miss ratio 0.5374
io_traces.ns58 S3FIFO-0.6000-1.9000 cache size   612461, 382600000 req, miss ratio 0.4554, byte miss ratio 0.4554
io_traces.ns58 S3FIFO-0.6000-1.9000 cache size  1837383, 382600000 req, miss ratio 0.3665, byte miss ratio 0.3665
io_traces.ns58 S3FIFO-0.6000-1.9000 cache size  6124613, 382600000 req, miss ratio 0.3036, byte miss ratio 0.3036
io_traces.ns58 S3FIFO-0.6000-1.9000 cache size 12249226, 382600000 req, miss ratio 0.2604, byte miss ratio 0.2604
io_traces.ns58 S3FIFO-0.6000-1.9000 cache size 24498452, 382600000 req, miss ratio 0.2035, byte miss ratio 0.2035
io_traces.ns58 S3FIFO-0.6000-1.9000 cache size 48996904, 382600000 req, miss ratio 0.1670, byte miss ratio 0.1670
io_traces.ns58 S3FIFO-0.4000-0.9000 cache size    61246, 382600000 req, miss ratio 0.5905, byte miss ratio 0.5905
io_traces.ns58 S3FIFO-0.4000-0.9000 cache size   183738, 382600000 req, miss ratio 0.5186, byte miss ratio 0.5186
io_traces.ns58 S3FIFO-0.4000-0.9000 cache size   612461, 382600000 req, miss ratio 0.4240, byte miss ratio 0.4240
io_traces.ns58 S3FIFO-0.4000-0.9000 cache size  1837383, 382600000 req, miss ratio 0.3586, byte miss ratio 0.3586
io_traces.ns58 S3FIFO-0.4000-0.9000 cache size  6124613, 382600000 req, miss ratio 0.2999, byte miss ratio 0.2999
io_traces.ns58 S3FIFO-0.4000-0.9000 cache size 12249226, 382600000 req, miss ratio 0.2571, byte miss ratio 0.2571
io_traces.ns58 S3FIFO-0.4000-0.9000 cache size 24498452, 382600000 req, miss ratio 0.2029, byte miss ratio 0.2029
io_traces.ns58 S3FIFO-0.4000-0.9000 cache size 48996904, 382600000 req, miss ratio 0.1658, byte miss ratio 0.1658
io_traces.ns58 S3FIFO-0.3000-1.9000 cache size    61246, 382600000 req, miss ratio 0.5969, byte miss ratio 0.5969
io_traces.ns58 S3FIFO-0.3000-1.9000 cache size   183738, 382600000 req, miss ratio 0.5166, byte miss ratio 0.5166
io_traces.ns58 S3FIFO-0.3000-1.9000 cache size   612461, 382600000 req, miss ratio 0.4170, byte miss ratio 0.4170
io_traces.ns58 S3FIFO-0.3000-1.9000 cache size  1837383, 382600000 req, miss ratio 0.3568, byte miss ratio 0.3568
io_traces.ns58 S3FIFO-0.3000-1.9000 cache size  6124613, 382600000 req, miss ratio 0.2994, byte miss ratio 0.2994
io_traces.ns58 S3FIFO-0.3000-1.9000 cache size 12249226, 382600000 req, miss ratio 0.2563, byte miss ratio 0.2563
io_traces.ns58 S3FIFO-0.3000-1.9000 cache size 24498452, 382600000 req, miss ratio 0.2034, byte miss ratio 0.2034
io_traces.ns58 S3FIFO-0.3000-1.9000 cache size 48996904, 382600000 req, miss ratio 0.1657, byte miss ratio 0.1657
