io_traces.ns659 S3FIFO-0.7000-0.9000 cache size      139, 2200000 req, miss ratio 0.5036, byte miss ratio 0.5036
io_traces.ns659 S3FIFO-0.7000-0.9000 cache size      419, 2200000 req, miss ratio 0.4916, byte miss ratio 0.4916
io_traces.ns659 S3FIFO-0.7000-0.9000 cache size     1397, 2200000 req, miss ratio 0.4870, byte miss ratio 0.4870
io_traces.ns659 S3FIFO-0.7000-0.9000 cache size     4191, 2200000 req, miss ratio 0.4545, byte miss ratio 0.4545
io_traces.ns659 S3FIFO-0.7000-0.9000 cache size    13971, 2200000 req, miss ratio 0.4384, byte miss ratio 0.4384
io_traces.ns659 S3FIFO-0.7000-0.9000 cache size    27943, 2200000 req, miss ratio 0.3242, byte miss ratio 0.3242
io_traces.ns659 S3FIFO-0.7000-0.9000 cache size    55886, 2200000 req, miss ratio 0.1718, byte miss ratio 0.1718
io_traces.ns659 S3FIFO-0.7000-0.9000 cache size   111773, 2200000 req, miss ratio 0.0742, byte miss ratio 0.0742
io_traces.ns659 S3FIFO-0.4000-1.9000 cache size      139, 2200000 req, miss ratio 0.4946, byte miss ratio 0.4946
io_traces.ns659 S3FIFO-0.4000-1.9000 cache size      419, 2200000 req, miss ratio 0.4908, byte miss ratio 0.4908
io_traces.ns659 S3FIFO-0.4000-1.9000 cache size     1397, 2200000 req, miss ratio 0.4633, byte miss ratio 0.4633
io_traces.ns659 S3FIFO-0.4000-1.9000 cache size     4191, 2200000 req, miss ratio 0.4453, byte miss ratio 0.4453
io_traces.ns659 S3FIFO-0.4000-1.9000 cache size    13971, 2200000 req, miss ratio 0.4345, byte miss ratio 0.4345
io_traces.ns659 S3FIFO-0.4000-1.9000 cache size    27943, 2200000 req, miss ratio 0.3229, byte miss ratio 0.3229
io_traces.ns659 S3FIFO-0.4000-1.9000 cache size    55886, 2200000 req, miss ratio 0.1562, byte miss ratio 0.1562
io_traces.ns659 S3FIFO-0.4000-1.9000 cache size   111773, 2200000 req, miss ratio 0.0698, byte miss ratio 0.0698
io_traces.ns659 S3FIFO-0.0010-1.9000 cache size      139, 2200000 req, miss ratio 1.0000, byte miss ratio 1.0000
io_traces.ns659 S3FIFO-0.0010-1.9000 cache size      419, 2200000 req, miss ratio 1.0000, byte miss ratio 1.0000
