cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size    16553, 182558107 req, miss ratio 0.1347, byte miss ratio 0.1347
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size    49660, 182558107 req, miss ratio 0.1176, byte miss ratio 0.1176
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size   165535, 182558107 req, miss ratio 0.1043, byte miss ratio 0.1043
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size   496607, 182558107 req, miss ratio 0.0967, byte miss ratio 0.0967
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size  1655357, 182558107 req, miss ratio 0.0926, byte miss ratio 0.0926
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size  3310715, 182558107 req, miss ratio 0.0915, byte miss ratio 0.0915
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size  6621430, 182558107 req, miss ratio 0.0910, byte miss ratio 0.0910
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.2000-1.9000 cache size 13242861, 182558107 req, miss ratio 0.0907, byte miss ratio 0.0907
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size    16553, 182558107 req, miss ratio 0.1507, byte miss ratio 0.1507
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size    49660, 182558107 req, miss ratio 0.1323, byte miss ratio 0.1323
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size   165535, 182558107 req, miss ratio 0.1053, byte miss ratio 0.1053
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size   496607, 182558107 req, miss ratio 0.0975, byte miss ratio 0.0975
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size  1655357, 182558107 req, miss ratio 0.0934, byte miss ratio 0.0934
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size  3310715, 182558107 req, miss ratio 0.0921, byte miss ratio 0.0921
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size  6621430, 182558107 req, miss ratio 0.0913, byte miss ratio 0.0913
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size 13242861, 182558107 req, miss ratio 0.0907, byte miss ratio 0.0907
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size    16553, 182558107 req, miss ratio 0.1341, byte miss ratio 0.1341
