events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size      106, 51757858 req, miss ratio 0.2575, byte miss ratio 0.2575
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size      320, 51757858 req, miss ratio 0.0975, byte miss ratio 0.0975
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size     1067, 51757858 req, miss ratio 0.0641, byte miss ratio 0.0641
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size     3203, 51757858 req, miss ratio 0.0530, byte miss ratio 0.0530
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size    10678, 51757858 req, miss ratio 0.0346, byte miss ratio 0.0346
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size    21356, 51757858 req, miss ratio 0.0299, byte miss ratio 0.0299
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size    42712, 51757858 req, miss ratio 0.0156, byte miss ratio 0.0156
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9500-1.9000 cache size    85424, 51757858 req, miss ratio 0.0034, byte miss ratio 0.0034
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size      106, 51757858 req, miss ratio 0.1254, byte miss ratio 0.1254
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size      320, 51757858 req, miss ratio 0.0607, byte miss ratio 0.0607
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size     1067, 51757858 req, miss ratio 0.0532, byte miss ratio 0.0532
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size     3203, 51757858 req, miss ratio 0.0469, byte miss ratio 0.0469
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size    10678, 51757858 req, miss ratio 0.0292, byte miss ratio 0.0292
