exchange_auctioncache_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-2.0000 cache size   142738, 179842167 req, miss ratio 0.7967, byte miss ratio 0.7967
exchange_auctioncache_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-2.0000 cache size   428215, 179842167 req, miss ratio 0.7943, byte miss ratio 0.7943
exchange_auctioncache_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-2.0000 cache size  1427383, 179842167 req, miss ratio 0.7939, byte miss ratio 0.7939
exchange_auctioncache_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-2.0000 cache size  4282150, 179842167 req, miss ratio 0.7938, byte miss ratio 0.7938
exchange_auctioncache_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-2.0000 cache size 14273833, 179842167 req, miss ratio 0.7937, byte miss ratio 0.7937
exchange_auctioncache_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-2.0000 cache size 28547667, 179842167 req, miss ratio 0.7937, byte miss ratio 0.7937
exchange_auctioncache_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-2.0000 cache size 57095334, 179842167 req, miss ratio 0.7937, byte miss ratio 0.7937
exchange_auctioncache_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-2.0000 cache size 114190669, 179842167 req, miss ratio 0.7937, byte miss ratio 0.7937
exchange_auctioncache_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.6000 cache size   142738, 179842167 req, miss ratio 0.7942, byte miss ratio 0.7942
exchange_auctioncache_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.6000 cache size   428215, 179842167 req, miss ratio 0.7939, byte miss ratio 0.7939
exchange_auctioncache_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.6000 cache size  1427383, 179842167 req, miss ratio 0.7938, byte miss ratio 0.7938
exchange_auctioncache_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.6000 cache size  4282150, 179842167 req, miss ratio 0.7937, byte miss ratio 0.7937
exchange_auctioncache_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.6000 cache size 14273833, 179842167 req, miss ratio 0.7937, byte miss ratio 0.7937
