gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size      655, 814062339 req, miss ratio 0.2215, byte miss ratio 0.2215
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size     1966, 814062339 req, miss ratio 0.1234, byte miss ratio 0.1234
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size     6553, 814062339 req, miss ratio 0.0589, byte miss ratio 0.0589
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size    19660, 814062339 req, miss ratio 0.0283, byte miss ratio 0.0283
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size    65535, 814062339 req, miss ratio 0.0097, byte miss ratio 0.0097
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size   131071, 814062339 req, miss ratio 0.0041, byte miss ratio 0.0041
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size   262143, 814062339 req, miss ratio 0.0019, byte miss ratio 0.0019
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-0.9000 cache size   524286, 814062339 req, miss ratio 0.0010, byte miss ratio 0.0010
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.6000 cache size      655, 814062339 req, miss ratio 1.0000, byte miss ratio 1.0000
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.6000 cache size     1966, 814062339 req, miss ratio 0.1079, byte miss ratio 0.1079
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.6000 cache size     6553, 814062339 req, miss ratio 0.0432, byte miss ratio 0.0432
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.6000 cache size    19660, 814062339 req, miss ratio 0.0202, byte miss ratio 0.0202
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.6000 cache size    65535, 814062339 req, miss ratio 0.0052, byte miss ratio 0.0052
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.6000 cache size   131071, 814062339 req, miss ratio 0.0021, byte miss ratio 0.0021
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.6000 cache size   262143, 814062339 req, miss ratio 0.0013, byte miss ratio 0.0013
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.6000 cache size   524286, 814062339 req, miss ratio 0.0009, byte miss ratio 0.0009
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-0.3000 cache size      655, 814062339 req, miss ratio 0.1701, byte miss ratio 0.1701
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-0.3000 cache size     1966, 814062339 req, miss ratio 0.0900, byte miss ratio 0.0900
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-0.3000 cache size     6553, 814062339 req, miss ratio 0.0411, byte miss ratio 0.0411
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-0.3000 cache size    19660, 814062339 req, miss ratio 0.0201, byte miss ratio 0.0201
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-0.3000 cache size    65535, 814062339 req, miss ratio 0.0064, byte miss ratio 0.0064
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-0.3000 cache size   131071, 814062339 req, miss ratio 0.0023, byte miss ratio 0.0023
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-0.3000 cache size   262143, 814062339 req, miss ratio 0.0013, byte miss ratio 0.0013
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-0.3000 cache size   524286, 814062339 req, miss ratio 0.0009, byte miss ratio 0.0009
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.2000 cache size      655, 814062339 req, miss ratio 1.0000, byte miss ratio 1.0000
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.2000 cache size     1966, 814062339 req, miss ratio 0.1078, byte miss ratio 0.1078
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.2000 cache size     6553, 814062339 req, miss ratio 0.0431, byte miss ratio 0.0431
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.2000 cache size    19660, 814062339 req, miss ratio 0.0200, byte miss ratio 0.0200
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.2000 cache size    65535, 814062339 req, miss ratio 0.0052, byte miss ratio 0.0052
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.2000 cache size   131071, 814062339 req, miss ratio 0.0021, byte miss ratio 0.0021
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.2000 cache size   262143, 814062339 req, miss ratio 0.0013, byte miss ratio 0.0013
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.2000 cache size   524286, 814062339 req, miss ratio 0.0009, byte miss ratio 0.0009
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.3000 cache size      655, 814062339 req, miss ratio 0.1884, byte miss ratio 0.1884
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.3000 cache size     1966, 814062339 req, miss ratio 0.1035, byte miss ratio 0.1035
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.3000 cache size     6553, 814062339 req, miss ratio 0.0485, byte miss ratio 0.0485
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.3000 cache size    19660, 814062339 req, miss ratio 0.0236, byte miss ratio 0.0236
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.3000 cache size    65535, 814062339 req, miss ratio 0.0083, byte miss ratio 0.0083
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.3000 cache size   131071, 814062339 req, miss ratio 0.0030, byte miss ratio 0.0030
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.3000 cache size   262143, 814062339 req, miss ratio 0.0016, byte miss ratio 0.0016
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5500-0.3000 cache size   524286, 814062339 req, miss ratio 0.0009, byte miss ratio 0.0009
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.1000 cache size      655, 814062339 req, miss ratio 0.1984, byte miss ratio 0.1984
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.1000 cache size     1966, 814062339 req, miss ratio 0.1093, byte miss ratio 0.1093
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.1000 cache size     6553, 814062339 req, miss ratio 0.0513, byte miss ratio 0.0513
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.1000 cache size    19660, 814062339 req, miss ratio 0.0248, byte miss ratio 0.0248
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.1000 cache size    65535, 814062339 req, miss ratio 0.0085, byte miss ratio 0.0085
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.1000 cache size   131071, 814062339 req, miss ratio 0.0033, byte miss ratio 0.0033
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.1000 cache size   262143, 814062339 req, miss ratio 0.0016, byte miss ratio 0.0016
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.1000 cache size   524286, 814062339 req, miss ratio 0.0010, byte miss ratio 0.0010
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.2000 cache size      655, 814062339 req, miss ratio 0.2269, byte miss ratio 0.2269
gizmoduck_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9500-0.2000 cache size     1966, 814062339 req, miss ratio 0.1274, byte miss ratio 0.1274
