ibis_dedup_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size   134333, 143166104 req, miss ratio 0.9496, byte miss ratio 0.9496
ibis_dedup_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size   403001, 143166104 req, miss ratio 0.9459, byte miss ratio 0.9459
ibis_dedup_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size  1343337, 143166104 req, miss ratio 0.9417, byte miss ratio 0.9417
ibis_dedup_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size  4030011, 143166104 req, miss ratio 0.9411, byte miss ratio 0.9411
ibis_dedup_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size 13433370, 143166104 req, miss ratio 0.9395, byte miss ratio 0.9395
ibis_dedup_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size 26866741, 143166104 req, miss ratio 0.9390, byte miss ratio 0.9390
ibis_dedup_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size 53733482, 143166104 req, miss ratio 0.9386, byte miss ratio 0.9386
ibis_dedup_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size 107466965, 143166104 req, miss ratio 0.9383, byte miss ratio 0.9383
ibis_dedup_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size   134333, 143166104 req, miss ratio 0.9472, byte miss ratio 0.9472
ibis_dedup_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size   403001, 143166104 req, miss ratio 0.9440, byte miss ratio 0.9440
ibis_dedup_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size  1343337, 143166104 req, miss ratio 0.9416, byte miss ratio 0.9416
ibis_dedup_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size  4030011, 143166104 req, miss ratio 0.9412, byte miss ratio 0.9412
ibis_dedup_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size 13433370, 143166104 req, miss ratio 0.9397, byte miss ratio 0.9397
ibis_dedup_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size 26866741, 143166104 req, miss ratio 0.9391, byte miss ratio 0.9391
ibis_dedup_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size 53733482, 143166104 req, miss ratio 0.9386, byte miss ratio 0.9386
ibis_dedup_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size 107466965, 143166104 req, miss ratio 0.9383, byte miss ratio 0.9383
